variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.06341329184077503,0.06532511416928359,0.09626825348890647,0.6387693147665068,0.6387693147665068,-0.11722690067885055,4.869694063631017,1.2094542365803744,0.2094542365803746,205.0,116.0,0.4334038054968288,0.2452431289640592,205.0,0.41,-0.07355719933246103,116.0,0.232,-0.04236320234799983,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.061471918510525136,0.06321464719250246,0.09351673492664336,0.6334243569373937,0.6334243569373937,-0.11520979026615519,4.692334417082279,1.2031399257865554,0.20313992578655526,217.0,115.0,0.4587737843551797,0.24312896405919662,217.0,0.434,-0.078902157161574,115.0,0.23,-0.04430457567824972,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.06303781373109257,0.06487215206891549,0.0966633802501301,0.6262087919678774,0.6262087919678774,-0.12066139122339486,5.058808177108968,1.2091780050459409,0.20917800504594092,223.0,114.0,0.4714587737843552,0.24101479915433405,223.0,0.446,-0.08611772213109051,114.0,0.228,-0.042738680457682275,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.06061745743627543,0.062238104943663726,0.09235891202143484,0.625016905522286,0.625016905522286,-0.11613205968596513,4.803483246327829,1.2007141643674752,0.20071416436747505,216.0,116.0,0.45665961945031713,0.2452431289640592,216.0,0.432,-0.08730960857668185,116.0,0.232,-0.045159036752499424,strategy
"set_[100, 200]__x100_2_200_1",0.0620708781471769,0.06386030079602549,0.09510296784714348,0.624047144384873,0.624047144384873,-0.11915452493810444,5.04909826741475,1.2055959275633374,0.2055959275633374,211.0,115.0,0.44608879492600423,0.24312896405919662,211.0,0.422,-0.08827936971409495,115.0,0.23,-0.04370561604159796,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.060046973849819975,0.06182459806160907,0.09305258422413662,0.6214547374855098,0.6214547374855098,-0.11686827820676342,4.812118192119395,1.1983042911936155,0.19830429119361537,216.0,115.0,0.45665961945031713,0.24312896405919662,216.0,0.432,-0.09087177661345805,115.0,0.23,-0.04572952033895489,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.062138583194347105,0.06389560982007675,0.09593619943106935,0.61632484635644,0.61632484635644,-0.12160616066882009,5.175427599554918,1.206605308821718,0.20660530882171788,218.0,116.0,0.4608879492600423,0.2452431289640592,218.0,0.436,-0.09600166774252773,116.0,0.232,-0.04363791099442776,strategy
sma100_3in_2out,0.06589693377548611,0.06831401099365307,0.10443421491548777,0.6143135963205875,0.6143135963205875,-0.12380415232816015,5.333463003067786,1.2193452419786626,0.2193452419786627,200.0,112.0,0.42283298097251587,0.23678646934460887,200.0,0.4,-0.09801291777838039,112.0,0.224,-0.039879560413288745,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.058310800918988534,0.060164188900774136,0.09190750746360697,0.6140505334987092,0.6140505334987092,-0.1144111647728354,4.7095399108099825,1.1917961395646903,0.19179613956469035,208.0,112.0,0.4397463002114165,0.23678646934460887,208.0,0.416,-0.09827598060025858,112.0,0.224,-0.04746569326978632,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.0591806191699521,0.06084805581277034,0.0919950866807367,0.6121544139377129,0.6121544139377129,-0.11798442570919382,4.926646903723022,1.1958205307324972,0.19582053073249728,210.0,115.0,0.4439746300211416,0.24312896405919662,210.0,0.42,-0.10017210016125494,115.0,0.23,-0.04659587501882276,strategy
"set_[100, 200]__x100_1_200_2",0.058656855421984525,0.06074942673169109,0.0939726681531686,0.6100792993355614,0.6100792993355614,-0.11677072104229566,4.925983670624525,1.1923548872977603,0.1923548872977604,190.0,115.0,0.40169133192389006,0.24312896405919662,190.0,0.38,-0.10224721476340652,115.0,0.23,-0.04711963876679033,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.05986591864142995,0.06182169377718715,0.09498826267291703,0.6079872049281195,0.6079872049281195,-0.12043949743041114,5.082800833436649,1.1976361546031133,0.1976361546031132,204.0,113.0,0.4312896405919662,0.23890063424947147,204.0,0.408,-0.10433930917084823,113.0,0.226,-0.04591057554734491,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.05744831581137266,0.059187646651935405,0.09083818391470494,0.6044671170149607,0.6044671170149607,-0.11562375647203622,4.833818016268374,1.1893386238921895,0.18933862389218942,209.0,112.0,0.4418604651162791,0.23678646934460887,209.0,0.418,-0.1078593970840072,112.0,0.224,-0.0483281783774022,strategy
