variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08840715164577206,0.08981246229350075,0.10544241815661191,0.5279449234425713,0.8202195691955849,-0.13269357008732954,5.233472865721525,1.5462615773308972,0.5462615773308971,275.0,163.0,0.5876068376068376,0.3482905982905983,275.0,0.55,-0.017451478129520227,163.0,0.326,-0.02727486761734836,strategy
"set_[100, 200]__x100_2_200_2",0.08859601485801863,0.09000333672674543,0.10601782341705454,0.5266614611062578,0.8168146520085735,-0.13302340506035554,5.106515820113153,1.5485987723489314,0.5485987723489313,270.0,164.0,0.5769230769230769,0.3504273504273504,270.0,0.54,-0.018734940465833714,164.0,0.328,-0.027086004405101793,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08752678977038933,0.0888011481104919,0.10405119331797621,0.5223013581190485,0.8185184785645909,-0.13138264747531955,5.351742087349552,1.5417232946530017,0.5417232946530016,279.0,167.0,0.5961538461538461,0.35683760683760685,279.0,0.558,-0.023095043453042943,167.0,0.334,-0.028155229492731092,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08875075841926666,0.0900725434898954,0.10631878312162218,0.5218208089392664,0.8108894111576082,-0.1333336920109437,5.296066879075988,1.5528930281454971,0.5528930281454971,281.0,161.0,0.6004273504273504,0.344017094017094,281.0,0.562,-0.023575592632825135,161.0,0.322,-0.02693126084385377,strategy
"set_[100, 200]__x100_2_200_1",0.08719020084615843,0.08848636545223218,0.10466318711072843,0.5146351667508308,0.808657509634615,-0.13028585421867075,5.305270276015904,1.5412816892708168,0.5412816892708168,277.0,172.0,0.5918803418803419,0.36752136752136755,277.0,0.554,-0.030761234821260777,172.0,0.344,-0.028491818416961988,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08655933956723667,0.08806973712250697,0.10491081165266399,0.5143559659791616,0.8081963692398451,-0.1347635374064567,5.413031750918954,1.5328158924866817,0.5328158924866816,264.0,156.0,0.5641025641025641,0.3333333333333333,264.0,0.528,-0.031040435592929995,156.0,0.312,-0.029122679695883745,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08780892142363551,0.08906122930688658,0.10548309339712679,0.5136115858694578,0.805060460770401,-0.13176328818121044,5.403286216539308,1.548096175146311,0.548096175146311,281.0,168.0,0.6004273504273504,0.358974358974359,281.0,0.562,-0.03178481570263381,168.0,0.336,-0.027873097839484905,strategy
sma100_3in_2out,0.08944396698467759,0.09100201845625848,0.11047991965572114,0.5088055089225971,0.7864923019530803,-0.12810334780014457,5.23669788233443,1.5630130108710734,0.5630130108710734,262.0,170.0,0.5598290598290598,0.36324786324786323,262.0,0.524,-0.036590892649494396,170.0,0.34,-0.026238052278442833,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08566387963558932,0.08705842293949814,0.10363998279891595,0.5078581429150241,0.805327547582847,-0.1340158180069148,5.523621858016779,1.528125311982698,0.5281253119826981,270.0,160.0,0.5769230769230769,0.3418803418803419,270.0,0.54,-0.037538258657067475,160.0,0.32,-0.030018139627531113,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08454384005059705,0.08615905280291378,0.10368099466530356,0.5046546560507396,0.8021808914670876,-0.13156622308629495,5.232158998746101,1.5164149028629692,0.5164149028629692,255.0,153.0,0.5448717948717948,0.3269230769230769,255.0,0.51,-0.040741745521351944,153.0,0.306,-0.03113817921252338,strategy
sma200_3in_2out,0.08662049784266802,0.08900465499723238,0.11219424781770793,0.5005260399691123,0.7744352723040835,-0.15390656030130007,5.886600249735522,1.530562434732557,0.530562434732557,221.0,153.0,0.4722222222222222,0.3269230769230769,221.0,0.442,-0.044870361602979233,153.0,0.306,-0.029061521420452395,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0848803099812106,0.08641913399930844,0.10451938764300536,0.4983157299018977,0.7926514862237044,-0.13249238208125313,5.3133852691994345,1.5225142149669928,0.5225142149669929,258.0,152.0,0.5512820512820513,0.3247863247863248,258.0,0.516,-0.04708067167019374,152.0,0.304,-0.030801709281909815,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08365345215585758,0.08514773861990495,0.10238081138546104,0.49790203654795645,0.799226019946059,-0.13082307329487045,5.371969434682383,1.511824777343162,0.5118247773431619,264.0,157.0,0.5641025641025641,0.33547008547008544,264.0,0.528,-0.047494365024135,157.0,0.314,-0.03202856710726285,strategy
sma150_3in_2out,0.08868554981142569,0.09021095701619535,0.11073960103711919,0.49736235391870476,0.7739627954452291,-0.1409986171205592,5.886908044798971,1.5612758200597907,0.5612758200597906,276.0,171.0,0.5897435897435898,0.36538461538461536,276.0,0.552,-0.04803404765338675,171.0,0.342,-0.026996469451694743,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08561663661527111,0.08704397819183769,0.10532168378321931,0.4948128008055761,0.786968842149146,-0.1377409690188152,5.6075316225739495,1.5320092347108545,0.5320092347108547,259.0,162.0,0.5534188034188035,0.34615384615384615,259.0,0.518,-0.050583600766515406,162.0,0.324,-0.030065382647849324,strategy
sma250_3in_2out,0.08704279254205098,0.08943071342701137,0.11276754972118706,0.49212242941729567,0.7666757021773583,-0.14880502344357366,5.974594910760755,1.5362825929239154,0.5362825929239156,242.0,156.0,0.5170940170940171,0.3333333333333333,242.0,0.484,-0.05327397215479584,156.0,0.312,-0.02863922672106944,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08269706321575312,0.08441632763192002,0.10321416611561918,0.49044532451614586,0.7893968520481077,-0.13484765748624114,5.417705844346327,1.5032655163302686,0.5032655163302685,247.0,143.0,0.5277777777777778,0.3055555555555556,247.0,0.494,-0.0549510770559456,143.0,0.286,-0.03298495604736731,strategy
"set_[100, 200]__x100_1_200_2",0.08279259820592079,0.08452322249086498,0.10353892755063301,0.49035905849136585,0.7878917110676585,-0.13161676322903781,5.16857459674721,1.5040615722872965,0.5040615722872966,238.0,147.0,0.5085470085470085,0.3141025641025641,238.0,0.476,-0.055037343080725665,147.0,0.294,-0.03288942105719964,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08392873702808118,0.08540781981629961,0.10378202969103519,0.48907841795506846,0.7855832299406315,-0.13167631170833982,5.434028770102561,1.5176715864940982,0.5176715864940982,262.0,156.0,0.5598290598290598,0.3333333333333333,262.0,0.524,-0.056317983617023046,156.0,0.312,-0.03175328223503926,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.08466175952117379,0.08603266400882886,0.10468808166393477,0.48518005862772634,0.7791600143833475,-0.13587556404984133,5.737622891834334,1.5273896585890756,0.5273896585890757,263.0,167.0,0.561965811965812,0.35683760683760685,263.0,0.526,-0.06021634294436518,167.0,0.334,-0.031020259741946637,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08179165104108459,0.08340501344891117,0.10203854204588667,0.48283419739550626,0.7852332654181623,-0.1337657342270563,5.5483396569093815,1.498529043663785,0.49852904366378487,253.0,155.0,0.5405982905982906,0.3311965811965812,253.0,0.506,-0.06256220417658527,155.0,0.31,-0.03389036822203583,strategy
sma200_3in_1out,0.08389847629049588,0.08597071244820588,0.10867607572090783,0.4804176541740953,0.7630745688978869,-0.15052807738785087,6.3236112174724965,1.5152714576709263,0.5152714576709262,237.0,171.0,0.5064102564102564,0.36538461538461536,237.0,0.474,-0.06497874739799617,171.0,0.342,-0.03178354297262454,strategy
"set_[100, 200]__x100_1_200_1",0.08136515550302272,0.08300625121635173,0.10241214534459787,0.4759889636755138,0.7768577802549318,-0.13067493408347877,5.416350414530608,1.4966566173267415,0.49665661732674155,247.0,158.0,0.5277777777777778,0.33760683760683763,247.0,0.494,-0.0694074378965777,158.0,0.316,-0.034316863760097696,strategy
sma150_3in_3out,0.08784656620677307,0.09026649596047046,0.11667512586036119,0.47362807256626743,0.7373160879422782,-0.16494875368488776,6.589388457372477,1.5520255334183515,0.5520255334183514,266.0,162.0,0.5683760683760684,0.34615384615384615,266.0,0.532,-0.07176832900582408,162.0,0.324,-0.027835453056347353,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.08173755546693494,0.08339056870125072,0.10368729413254628,0.4699416679178783,0.7669352126025033,-0.13863834411635428,5.63933776372685,1.5019019441717598,0.5019019441717599,235.0,158.0,0.5021367521367521,0.33760683760683763,235.0,0.47,-0.0754547336542132,158.0,0.316,-0.03394446379618549,strategy
sma200_3in_3out,0.08510259163857858,0.08784078794355679,0.11575054921199827,0.4691760225885815,0.7353385003015782,-0.16546014892293084,6.742752491134882,1.526084472474817,0.526084472474817,230.0,134.0,0.49145299145299143,0.2863247863247863,230.0,0.46,-0.07622037898351001,134.0,0.268,-0.03057942762454183,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08077325429088036,0.08237925451824189,0.103159095652979,0.45936233585996855,0.757904374773096,-0.13761480177439936,5.772509883469311,1.497236750458812,0.49723675045881177,237.0,160.0,0.5064102564102564,0.3418803418803419,237.0,0.474,-0.08603406571212294,160.0,0.32,-0.03490876497224007,strategy
sma250_3in_1out,0.0815918401401269,0.08420253791403004,0.1106990353488588,0.4552642237220938,0.735103301118786,-0.15760840047340674,6.508276187503215,1.4971091245006352,0.49710912450063516,223.0,130.0,0.47649572649572647,0.2777777777777778,223.0,0.446,-0.0901321778499977,130.0,0.26,-0.03409017912299353,strategy
sma100_3in_3out,0.08332571659179382,0.0861183795960488,0.11599896151894312,0.4422232175692561,0.7071342528454181,-0.1545698795028936,6.206564889864836,1.5162262672022935,0.5162262672022936,201.0,144.0,0.42948717948717946,0.3076923076923077,201.0,0.402,-0.1031731840028354,144.0,0.288,-0.0323563026713266,strategy
sma250_3in_3out,0.08032790578061895,0.08360162753801449,0.11491133002366856,0.4419266684474036,0.7115396029233859,-0.17545662522987246,7.336544318178296,1.4860172945306753,0.48601729453067544,181.0,110.0,0.38675213675213677,0.23504273504273504,181.0,0.362,-0.10346973312468791,110.0,0.22,-0.035354113482501476,strategy
sma100_3in_1out,0.077721480412054,0.0800417899844976,0.1067380447061701,0.4283017950978192,0.7164895337406921,-0.13237297313965096,5.479125105291456,1.4728957356387078,0.47289573563870774,206.0,132.0,0.44017094017094016,0.28205128205128205,206.0,0.412,-0.11709460647427229,132.0,0.264,-0.037960538851066435,strategy
sma150_3in_1out,0.07927223455118823,0.0811252611220222,0.10839015385629647,0.41587958326417795,0.6991393756860924,-0.15826382944969708,6.947734775511737,1.4994263833790011,0.4994263833790012,236.0,169.0,0.5042735042735043,0.3611111111111111,236.0,0.472,-0.12951681830791353,169.0,0.338,-0.03640978471193219,strategy
baseline_buyhold,0.11568201926312043,0.12638404992397423,0.18880239764413517,0.5453964015720915,0.7130044129151536,-0.2949681129907441,9.245455744140326,1.7880638841438872,0.7880638841438872,,,,,,,,,,,baseline
