variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.08448849348297355,0.0860443201410346,0.10434592039530864,0.4964160236546962,0.7914071529587743,-0.13087714601341305,5.104137951969443,1.5195816506458457,0.5195816506458457,267.0,170.0,0.5754310344827587,0.36637931034482757,267.0,0.534,-0.016086014467527623,170.0,0.34,-0.02487434165576369,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08388423447663318,0.08546238056780477,0.10370248597715899,0.4938605313320608,0.7912360229765956,-0.13084125675291788,5.237856574657085,1.5144250531379164,0.5144250531379165,281.0,173.0,0.6056034482758621,0.3728448275862069,281.0,0.562,-0.018641506790163034,173.0,0.346,-0.02547860066210407,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08434070765757207,0.08583838773654498,0.10466991086129197,0.4889457574069623,0.782723750594872,-0.13205429750775113,5.32143068095499,1.5216534789766123,0.5216534789766124,283.0,171.0,0.6099137931034483,0.36853448275862066,283.0,0.566,-0.02355628071526157,171.0,0.342,-0.02502212748116518,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08310102170259329,0.08455162551561612,0.10236395585358359,0.48871549581635876,0.7899933234679757,-0.13001199123266793,5.358455167001592,1.510437106376631,0.5104371063766311,283.0,179.0,0.6099137931034483,0.3857758620689655,283.0,0.566,-0.023786542305865084,179.0,0.358,-0.026261813436143967,strategy
"set_[100, 200]__x100_2_200_1",0.08323036761485007,0.08467818756275163,0.10306315919286109,0.48544199902120727,0.7841771034883352,-0.1289761268804946,5.309650367919771,1.513084882662705,0.513084882662705,280.0,176.0,0.603448275862069,0.3793103448275862,280.0,0.56,-0.0270600391010166,176.0,0.352,-0.02613246752388719,strategy
sma100_3in_2out,0.08561089724802293,0.08737167132344258,0.10915020178879913,0.48201383321221625,0.7633822436250218,-0.12808744682308093,5.226015457367702,1.5344705819197353,0.5344705819197352,260.0,177.0,0.5603448275862069,0.38146551724137934,260.0,0.52,-0.03048820491000764,177.0,0.354,-0.023751937890714322,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08349748305271401,0.08492763268435632,0.10388222007152441,0.4814444037301019,0.7775118582991047,-0.13089545748705547,5.434206657540436,1.5174007088542394,0.5174007088542395,281.0,175.0,0.6056034482758621,0.3771551724137931,281.0,0.562,-0.031057634392122002,175.0,0.35,-0.025865352086023228,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08205393955719788,0.08373036981015637,0.10319159583994758,0.47983260241072023,0.778745399068933,-0.13308605113330024,5.421949425159606,1.5013595008342333,0.5013595008342333,269.0,168.0,0.5797413793103449,0.3620689655172414,269.0,0.538,-0.03266943571150359,168.0,0.336,-0.027308895581539375,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08060550750990182,0.08234142327841057,0.10201282474968114,0.4742269955723813,0.7767750730496222,-0.12973069164516277,5.239716717797899,1.4891915833876233,0.4891915833876233,264.0,161.0,0.5689655172413793,0.34698275862068967,264.0,0.528,-0.038275042549842625,161.0,0.322,-0.028757327628835427,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.0812569168429184,0.08281961475796774,0.10196694925685583,0.47387774101371927,0.7763952871235015,-0.13262567328467156,5.536021611198724,1.4972440980810677,0.49724409808106756,278.0,175.0,0.5991379310344828,0.3771551724137931,278.0,0.556,-0.03862429710850457,175.0,0.35,-0.028105918295818846,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.08105707448367011,0.08271743044715077,0.10293921115210027,0.46913500556536675,0.7681161071545554,-0.13111268686795483,5.3429417093601606,1.495979695670135,0.49597969567013506,266.0,158.0,0.5732758620689655,0.34051724137931033,266.0,0.532,-0.04336703255685717,158.0,0.316,-0.028305760655067146,strategy
sma200_3in_2out,0.08221103150655966,0.08471696895862663,0.11046274947636553,0.4682511220914317,0.7466135574431897,-0.15128230985578622,5.856413244598437,1.5004458291476928,0.500445829147693,224.0,155.0,0.4827586206896552,0.33405172413793105,224.0,0.448,-0.044250916030792155,155.0,0.31,-0.027151803632177583,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.07981374968385407,0.08143066822622194,0.10075252349907132,0.46811951775485255,0.7744588864564366,-0.12924304986919052,5.381110090421236,1.4851663308754146,0.4851663308754147,273.0,167.0,0.5883620689655172,0.3599137931034483,273.0,0.546,-0.04438252036737133,167.0,0.334,-0.029549085454883182,strategy
"set_[100, 200]__x100_1_200_2",0.07956084979707456,0.0813628842069433,0.10197079941671462,0.46577257379421744,0.7680206089608951,-0.12949188972452494,5.168108157623366,1.4818971137548453,0.4818971137548453,244.0,159.0,0.5258620689655172,0.3426724137931034,244.0,0.488,-0.04672946432800641,159.0,0.318,-0.029801985341662684,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08122347697730682,0.08281434523016164,0.1036700036391393,0.46144114397703934,0.7583912087228656,-0.1364745234923843,5.631107612444411,1.501234550226879,0.5012345502268788,258.0,173.0,0.5560344827586207,0.3728448275862069,258.0,0.516,-0.05106089414518452,173.0,0.346,-0.028139358161430435,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08020553408808816,0.08180667539496214,0.10223702544794705,0.46072937992508267,0.7618203232139867,-0.1305785090684884,5.468857116377437,1.4916944305732522,0.49169443057325224,268.0,165.0,0.5775862068965517,0.35560344827586204,268.0,0.536,-0.051772658197141184,165.0,0.33,-0.02915730105064909,strategy
sma150_3in_2out,0.08365749288245304,0.08542652292756571,0.10922258151743909,0.4600040483724088,0.740610165030406,-0.1403740102288639,5.960712645800879,1.5252228516052926,0.5252228516052926,273.0,185.0,0.5883620689655172,0.39870689655172414,273.0,0.546,-0.05249798974981507,185.0,0.37,-0.025705342256284215,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.07877548196481547,0.08060941252076219,0.10156197599564208,0.4596091750015536,0.763565202204819,-0.13302366926160716,5.4300038574623235,1.4763707736206089,0.4763707736206089,247.0,155.0,0.5323275862068966,0.33405172413793105,247.0,0.494,-0.05289286312067024,155.0,0.31,-0.030587353173921777,strategy
"set_[100, 200]__x100_1_200_1",0.07828425928912307,0.07999675162866035,0.10088621585220477,0.4527405328424027,0.7582775586391474,-0.129006246101593,5.421419541694853,1.475340257862164,0.47534025786216405,251.0,167.0,0.540948275862069,0.3599137931034483,251.0,0.502,-0.05976150527982122,167.0,0.334,-0.03107857584961419,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.07796997629408063,0.07969865746857355,0.10041938204320006,0.4526862693739718,0.7601020980964226,-0.13216544745732273,5.563193725390422,1.4722228150251366,0.4722228150251366,260.0,164.0,0.5603448275862069,0.35344827586206895,260.0,0.52,-0.059815768748252125,164.0,0.328,-0.03139285884465662,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.08036771101328241,0.08190359017797298,0.10307134693590504,0.4526196860712136,0.7513283110532195,-0.1348385944550341,5.76538741436381,1.4971255139757413,0.49712551397574134,261.0,176.0,0.5625,0.3793103448275862,261.0,0.522,-0.059882352051010265,176.0,0.352,-0.02899512412545483,strategy
sma250_3in_2out,0.08170579907742863,0.08429850142134511,0.11096223734328765,0.4524770180956907,0.7317374321926505,-0.14644894216693832,5.96668958220109,1.4991783114691302,0.49917831146913016,242.0,172.0,0.521551724137931,0.3706896551724138,242.0,0.484,-0.06002502002653318,172.0,0.344,-0.027657036061308628,strategy
sma200_3in_1out,0.07979936183967651,0.0819847038020607,0.10702742621505267,0.44991211179441426,0.7370627575750779,-0.14881220545126472,6.308156701203215,1.487246947656972,0.4872469476569719,234.0,170.0,0.5043103448275862,0.36637931034482757,234.0,0.468,-0.06258992632780959,170.0,0.34,-0.029563473299060748,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.07792994402850087,0.07969338794076745,0.10210650040460313,0.4403240318132601,0.742024184611444,-0.13725185573821136,5.6664007372219505,1.4757767995338784,0.4757767995338784,233.0,163.0,0.5021551724137931,0.35129310344827586,233.0,0.466,-0.07217800630896379,163.0,0.326,-0.03143289111023638,strategy
sma200_3in_3out,0.08031525625793329,0.0831807614953893,0.11388417886561421,0.4362775017326545,0.7070517656550825,-0.1632329363523597,6.7048699077025296,1.4933076726406704,0.4933076726406704,238.0,135.0,0.5129310344827587,0.29094827586206895,238.0,0.476,-0.07622453638956936,135.0,0.27,-0.029047578880803962,strategy
sma150_3in_3out,0.08238978519489448,0.08503681617979852,0.11486681299551828,0.43510125780780495,0.7031228492936925,-0.16351040294011865,6.659284859680434,1.5132012696619608,0.513201269661961,260.0,169.0,0.5603448275862069,0.3642241379310345,260.0,0.52,-0.07740078031441892,169.0,0.338,-0.026973049943842767,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.07706613328993656,0.0787826328885788,0.10159981031879797,0.43066994848890544,0.7338894401814567,-0.13661175220146782,5.804374205481878,1.4716356588943424,0.47163565889434245,231.0,171.0,0.4978448275862069,0.36853448275862066,231.0,0.462,-0.0818320896333184,171.0,0.342,-0.03229670184880069,strategy
sma100_3in_3out,0.07998738728663762,0.08286789575296685,0.11443991238113319,0.4191226535738944,0.6878742936112234,-0.15423358561115294,6.241157268194309,1.4925088121243206,0.4925088121243206,208.0,141.0,0.4482758620689655,0.30387931034482757,208.0,0.416,-0.09337938454832946,141.0,0.282,-0.029375447852099626,strategy
sma250_3in_1out,0.07630342081309513,0.07910246914839994,0.1089562297568595,0.4141573229304506,0.6987116027005075,-0.15555633553053114,6.512779055312473,1.4610516560011024,0.46105165600110243,217.0,149.0,0.4676724137931034,0.32112068965517243,217.0,0.434,-0.09834471519177325,149.0,0.298,-0.03305941432564213,strategy
sma100_3in_1out,0.07564827959912829,0.07800879945526,0.10557389653359632,0.41357226610023673,0.7051853969441407,-0.13221649296308682,5.472270077155482,1.4582774647335213,0.45827746473352127,209.0,140.0,0.4504310344827586,0.3017241379310345,209.0,0.418,-0.09892977202198713,140.0,0.28,-0.03371455553960897,strategy
sma250_3in_3out,0.07503041699069618,0.07846434430317381,0.11312270834448984,0.402025246727564,0.6761753092345106,-0.17268166761183038,7.322859774321923,1.450440936577668,0.4504409365776681,168.0,124.0,0.3620689655172414,0.2672413793103448,168.0,0.336,-0.11047679139465987,124.0,0.248,-0.03433241814804107,strategy
sma150_3in_1out,0.0743051286137903,0.0763543954084157,0.10682934710209768,0.3773281262909553,0.6648728841152408,-0.1582995822147166,7.007681934706134,1.464963970378601,0.464963970378601,219.0,177.0,0.47198275862068967,0.38146551724137934,219.0,0.438,-0.1351739118312686,177.0,0.354,-0.03505770652494697,strategy
baseline_buyhold,0.10936283513873725,0.12056746548441959,0.18871998368990187,0.512502038122224,0.6801411891898324,-0.2989071554402759,9.450015322337746,1.7414373878345424,0.7414373878345422,,,,,,,,,,,baseline
