variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.07462732445453277,0.07608858142793348,0.09877652435163728,0.7355224280602982,0.7355224280602982,-0.11264852959512618,4.567901102437451,1.2480481989140078,0.2480481989140077,245.0,113.0,0.5179704016913319,0.23890063424947147,245.0,0.49,0.007061924218731302,113.0,0.226,-0.03706407666105588,strategy
"set_[100, 200]__x100_2_200_1",0.07242880393069093,0.07404188322912988,0.09797140246860256,0.7232131085146986,0.7232131085146986,-0.11311271859744106,4.6197510816922955,1.2397701016603089,0.239770101660309,234.0,111.0,0.49471458773784355,0.2346723044397463,234.0,0.468,-0.005247395326868352,111.0,0.222,-0.0392625971848977,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.07241818956891839,0.07412954176589835,0.09975459587541691,0.7083289100525477,0.7083289100525477,-0.11793315149527929,4.889480163206741,1.2403801844185187,0.24038018441851866,228.0,109.0,0.4820295983086681,0.23044397463002114,228.0,0.456,-0.020131593789019207,109.0,0.218,-0.03927321154667024,strategy
sma100_3in_2out,0.0759026687549623,0.07831515374358076,0.10750643621498786,0.7060657598465341,0.7060657598465341,-0.11931309178553554,5.05085450651673,1.2514183800853869,0.25141838008538686,221.0,111.0,0.46723044397463004,0.2346723044397463,221.0,0.442,-0.02239474399503279,111.0,0.222,-0.03578873236062634,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.07122399869950748,0.07280901732964433,0.09832272062081011,0.7012873700415786,0.7012873700415786,-0.11796626702760299,4.945796523376748,1.2367052860724304,0.23670528607243033,219.0,112.0,0.4630021141649049,0.23678646934460887,219.0,0.438,-0.02717313379998835,112.0,0.224,-0.04046740241608117,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.07095970284337814,0.07276507630002929,0.09918167978641355,0.7003145521297971,0.7003145521297971,-0.11820527732146184,4.91919601131448,1.234917379961406,0.23491737996140588,223.0,112.0,0.4714587737843552,0.23678646934460887,223.0,0.446,-0.02814595171176974,112.0,0.224,-0.040731698272210494,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.06974756846968115,0.07144455186377525,0.09792999001325912,0.6919082742668005,0.6919082742668005,-0.11830913175254394,4.977545226698632,1.2311783164395969,0.23117831643959683,210.0,113.0,0.4439746300211416,0.23890063424947147,210.0,0.42,-0.03655222957476642,113.0,0.226,-0.04194383264590748,strategy
sma100_3in_3out,0.07733041933968307,0.0800788334190352,0.11277761401000211,0.689904092341911,0.689904092341911,-0.1363022806674582,5.584788303117828,1.2578644850994496,0.25786448509944954,235.0,102.0,0.49682875264270615,0.2156448202959831,235.0,0.47,-0.03855641149965591,102.0,0.204,-0.03436098177590556,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.06795871246297626,0.06963729221217081,0.09606001184217824,0.689343212159605,0.689343212159605,-0.11839224239007923,4.668837418081737,1.2248601037447706,0.22486010374477075,224.0,112.0,0.47357293868921774,0.23678646934460887,224.0,0.448,-0.03911729168196181,112.0,0.224,-0.043732688652612366,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.06737878032521237,0.06897580789251907,0.09530288026659414,0.6850271275508099,0.6850271275508099,-0.11702755522105222,4.712599351681319,1.2231645334031311,0.22316453340313122,222.0,112.0,0.4693446088794926,0.23678646934460887,222.0,0.444,-0.04343337629075707,112.0,0.224,-0.044312620790376275,strategy
