variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.10027922593184631,0.10091600888641968,0.10835799955987788,0.6171796241732331,0.9018005706918965,-0.12333410620340247,4.772657962255545,1.6353472425588786,0.6353472425588786,301.0,174.0,0.6431623931623932,0.3717948717948718,301.0,0.602,0.05490993572298573,174.0,0.348,-0.021016965638664814,strategy
"set_[100, 200]__x100_2_200_1",0.09696549357263938,0.09787615478413428,0.10739658457397483,0.5982550111225904,0.885543561871546,-0.12484729652938839,4.847021964329317,1.608137563338887,0.6081375633388869,272.0,164.0,0.5811965811965812,0.3504273504273504,272.0,0.544,0.03598532267234309,164.0,0.328,-0.024330697997871763,strategy
sma200_3in_2out,0.10163624049051766,0.10287719007171917,0.1154722535995937,0.5920832473311206,0.8605188285808019,-0.1434280694186315,5.248327796460985,1.6497316943329763,0.6497316943329763,292.0,183.0,0.6239316239316239,0.391025641025641,292.0,0.584,0.029813558880873194,183.0,0.366,-0.019659951079993476,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09769708863264277,0.09873240811998744,0.10935914741173614,0.5919797674171091,0.8739222545631777,-0.13059925051782564,5.116581214584591,1.6144505008661876,0.6144505008661877,280.0,163.0,0.5982905982905983,0.3482905982905983,280.0,0.56,0.029710078966861696,163.0,0.326,-0.023599102937868356,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09667395045678998,0.09754472705718148,0.10774689503067163,0.5864712067958733,0.8727675309689475,-0.12984733096103365,5.19998948390596,1.6094843247785071,0.6094843247785069,279.0,167.0,0.5961538461538461,0.35683760683760685,279.0,0.558,0.024201518345625905,167.0,0.334,-0.024622241113721147,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.0954933235715367,0.09670583871846383,0.10868001691569262,0.5795352689128308,0.8633769057948721,-0.1310114186209711,5.163031697073939,1.5964073662751916,0.5964073662751916,260.0,153.0,0.5555555555555556,0.3269230769230769,260.0,0.52,0.01726558046258339,153.0,0.306,-0.025802867998974445,strategy
sma100_3in_2out,0.09748560145749133,0.0989548277011202,0.11332771609821546,0.5778007025702029,0.8484259608865574,-0.12686353684685192,4.981047366436386,1.6127791595006435,0.6127791595006435,262.0,157.0,0.5598290598290598,0.33547008547008544,262.0,0.524,0.015531014119955536,157.0,0.314,-0.023810590113019798,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.0945635184012337,0.09583257168742298,0.10810158639442266,0.5747683259359323,0.8610709259265596,-0.13772673965096377,5.209344258021484,1.5892438530927127,0.5892438530927127,268.0,154.0,0.5726495726495726,0.32905982905982906,268.0,0.536,0.012498637485685025,154.0,0.308,-0.02673267316927744,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09444536372482938,0.09551815765565787,0.10727340923586147,0.5726661564275652,0.8602726579653747,-0.13069107246677938,5.241172834692355,1.591197461391716,0.591197461391716,261.0,157.0,0.5576923076923077,0.33547008547008544,261.0,0.522,0.010396467977317967,157.0,0.314,-0.026850827845681758,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09363968364158441,0.09485950257599636,0.10713913439504857,0.5700365215878024,0.858733999778414,-0.1338198238398793,5.297832774314282,1.5830569180138143,0.5830569180138142,267.0,156.0,0.5705128205128205,0.3333333333333333,267.0,0.534,0.007766833137555007,156.0,0.312,-0.027656507928926714,strategy
