variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.09672867528603868,0.09753110702270973,0.10687748885611839,0.5948664983875138,0.8830961826331127,-0.12180170253784989,4.765268318979264,1.6084416991494028,0.6084416991494028,319.0,179.0,0.6875,0.3857758620689655,319.0,0.638,0.06462989589033603,179.0,0.358,-0.018161572107197467,strategy
"set_[100, 200]__x100_2_200_1",0.09346873901880293,0.09452643562824259,0.10598943143443326,0.5747775550905865,0.8655005933114214,-0.12333154782685006,4.839574403892055,1.5823944277339892,0.5823944277339891,275.0,164.0,0.5926724137931034,0.35344827586206895,275.0,0.55,0.044540952593408595,164.0,0.328,-0.02142150837443323,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09421648513929333,0.09539154337488706,0.10783351834792462,0.5699934993679217,0.8556121503696207,-0.1284160756070779,5.100534249963654,1.588549406900716,0.5885494069007159,296.0,165.0,0.6379310344827587,0.35560344827586204,296.0,0.592,0.0397568968707438,165.0,0.33,-0.020673762253942823,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09324528827128231,0.0942632343479829,0.10627838605394045,0.5647868952371508,0.8546708761116104,-0.12841405329714808,5.182818539942395,1.5837923529032125,0.5837923529032126,301.0,173.0,0.6487068965517241,0.3728448275862069,301.0,0.602,0.034550292739972836,173.0,0.346,-0.021644959121953838,strategy
sma200_3in_2out,0.09719417536438912,0.0986094313722417,0.11370636194587391,0.5638087041527557,0.836019021355437,-0.1416573713836233,5.241574438029123,1.616896205640214,0.6168962056402141,307.0,189.0,0.6616379310344828,0.4073275862068966,307.0,0.614,0.03357210165557781,189.0,0.378,-0.017696072028847026,strategy
sma100_3in_2out,0.09485003976594517,0.09645278267317778,0.1122284768708734,0.5628628236344537,0.836023221859508,-0.1273284095861657,4.963055415907386,1.5923795494368107,0.5923795494368108,277.0,163.0,0.5969827586206896,0.35129310344827586,277.0,0.554,0.032626221137275965,163.0,0.326,-0.020040207627290977,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09204801605569211,0.09338842911190898,0.10721314437109598,0.5567723950132928,0.8441413423600179,-0.1287993640164974,5.146450474026752,1.5712855362824008,0.5712855362824009,268.0,160.0,0.5775862068965517,0.3448275862068966,268.0,0.536,0.0265357925161149,160.0,0.32,-0.022842231337544035,strategy
sma100_3in_3out,0.09664669869576818,0.09880613680182897,0.11834502688670828,0.5526907863688145,0.8123729726060948,-0.15042692336107666,5.615734335253349,1.6063637977814755,0.6063637977814755,262.0,162.0,0.5646551724137931,0.34913793103448276,262.0,0.524,0.022454183871636682,162.0,0.324,-0.018243548697467967,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09105529365402043,0.09226012008500478,0.10584095422298441,0.5503138362350898,0.8414219762745061,-0.12918122836936274,5.222447265826901,1.5663295301005236,0.5663295301005236,274.0,164.0,0.5905172413793104,0.35344827586206895,274.0,0.548,0.020077233737911843,164.0,0.328,-0.023834953739215712,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09075805302306306,0.09217418844186147,0.1064471505350706,0.549505042254424,0.8399583874451275,-0.1355663779453971,5.189353628553574,1.5613063420336522,0.5613063420336519,267.0,158.0,0.5754310344827587,0.34051724137931033,267.0,0.534,0.01926843975724608,158.0,0.316,-0.024132194370173093,strategy
sma200_3in_3out,0.09507562666123615,0.09709229108782037,0.11602337512147076,0.5467920665169055,0.8133822237046815,-0.15265284446490096,5.628133365149512,1.5969786614001593,0.5969786614001593,275.0,173.0,0.5926724137931034,0.3728448275862069,275.0,0.55,0.0165554640197276,173.0,0.346,-0.019814620732000004,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08982643386050673,0.09119917884100201,0.1055320911067692,0.5442074851580517,0.8370066463587863,-0.13199030036021017,5.27548423947167,1.5551245106984342,0.555124510698434,263.0,160.0,0.5668103448275862,0.3448275862068966,263.0,0.526,0.013970882660873894,160.0,0.32,-0.025063813532729413,strategy
sma150_3in_3out,0.09661721651185094,0.09835462827670845,0.11734999173875162,0.5391116189072208,0.8017621696436099,-0.15336752361114198,6.12802632114672,1.617216063248094,0.6172160632480941,293.0,182.0,0.6314655172413793,0.3922413793103448,293.0,0.586,0.008875016410042878,182.0,0.364,-0.018273030881385214,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08863258061355869,0.09017107417888337,0.10556375452523159,0.5376239828859832,0.830437396976288,-0.13744512886726695,5.229169946830104,1.5446587766878264,0.5446587766878263,252.0,155.0,0.5431034482758621,0.33405172413793105,252.0,0.504,0.007387380388805332,155.0,0.31,-0.026257666779677464,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08767334207409128,0.08919606457802391,0.10487003458915455,0.5308869006059629,0.825586525329745,-0.1340160636688219,5.320812311060833,1.538342082033947,0.538342082033947,251.0,156.0,0.540948275862069,0.33620689655172414,251.0,0.502,0.0006502981087850598,156.0,0.312,-0.02721690531914487,strategy
sma200_3in_1out,0.09076395826934858,0.09260008858330741,0.11139999208726521,0.5290217305654398,0.8066607446067792,-0.14561331948380135,5.409836261678157,1.565337069932731,0.5653370699327309,271.0,168.0,0.584051724137931,0.3620689655172414,271.0,0.542,-0.0012148719317380775,168.0,0.336,-0.024126289123887566,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0874571040075401,0.08900144567877742,0.10588354435155377,0.5190440466809066,0.8101613418986502,-0.13308141307775356,5.325530599059058,1.539719953293686,0.539719953293686,281.0,159.0,0.6056034482758621,0.3426724137931034,281.0,0.562,-0.011192555816271233,159.0,0.318,-0.02743314338569606,strategy
"set_[100, 200]__x100_1_200_2",0.08654760932442233,0.08794596047854526,0.10416548889113504,0.5163823668467561,0.8124970535328461,-0.12684710692768644,5.106846496407505,1.5344495377642253,0.5344495377642254,280.0,160.0,0.603448275862069,0.3448275862068966,280.0,0.56,-0.01385423565042176,160.0,0.32,-0.028342638068813805,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.0864744356592943,0.08787313665187324,0.10444537229208421,0.512325334704436,0.8074801418807287,-0.13314137363250766,5.4273498422926965,1.5349361427033708,0.5349361427033706,283.0,162.0,0.6099137931034483,0.34913793103448276,283.0,0.566,-0.017911267792741974,162.0,0.324,-0.02841581173394185,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08528952638911812,0.08699833141579932,0.10533183604799372,0.5048954850750882,0.7976122416785498,-0.1335197642690835,5.369530680153079,1.5227948782417282,0.5227948782417282,252.0,154.0,0.5431034482758621,0.33189655172413796,252.0,0.504,-0.025341117422089596,154.0,0.308,-0.02960072100411803,strategy
sma150_3in_2out,0.08877677830075006,0.09111241607924173,0.11401202877019759,0.5031931161854771,0.7730661667046137,-0.16161598536967683,6.438661849706644,1.549325961594503,0.5493259615945031,257.0,152.0,0.5538793103448276,0.3275862068965517,257.0,0.514,-0.027043486311700737,152.0,0.304,-0.026113469092486085,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08401254506908484,0.08578409074575183,0.1045472307733878,0.4971560442221262,0.7931652162379329,-0.13701564619453896,5.312525135472449,1.5132866073492446,0.5132866073492445,248.0,155.0,0.5344827586206896,0.33405172413793105,248.0,0.496,-0.033080558275051616,155.0,0.31,-0.030877702324151306,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08428566687939898,0.08587002238889516,0.10408263189481526,0.49703592207208974,0.7932077321381387,-0.13406562918083514,5.4716032942802135,1.5178236138305148,0.517823613830515,254.0,155.0,0.5474137931034483,0.33405172413793105,254.0,0.508,-0.03320068042508809,155.0,0.31,-0.03060458051383717,strategy
"set_[100, 200]__x100_1_200_1",0.08329012488502172,0.08494128908407812,0.10344048050044839,0.4943376597673726,0.7925270799782224,-0.12860511780424638,5.171336132964553,1.5091795405766104,0.5091795405766105,252.0,156.0,0.5431034482758621,0.33620689655172414,252.0,0.504,-0.03589894272980524,156.0,0.312,-0.03160012250821443,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.0830818208754352,0.08480908114489236,0.10366472617831878,0.49114245283967334,0.7894665389266758,-0.13373804741996287,5.393645208791933,1.5072559448017815,0.5072559448017815,250.0,155.0,0.5387931034482759,0.33405172413793105,250.0,0.5,-0.039094149657504504,155.0,0.31,-0.03180842651780095,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.0818877697709974,0.08378097648277374,0.1037295020403208,0.4843169777108438,0.7825567550236697,-0.13885264804197797,5.349770185943275,1.4969606307585948,0.49696063075859487,230.0,153.0,0.4956896551724138,0.3297413793103448,230.0,0.46,-0.04591962478633409,153.0,0.306,-0.03300247762223874,strategy
sma150_3in_1out,0.08580611748279593,0.08772748899852917,0.10990531573626194,0.48273247258729807,0.7627235303103759,-0.16302413556897732,6.611008275203494,1.5339115074342526,0.5339115074342525,277.0,166.0,0.5969827586206896,0.3577586206896552,277.0,0.554,-0.04750412990987978,166.0,0.332,-0.029084129910440217,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.0809296239948737,0.08280596688191427,0.10307301834096463,0.4769160643135956,0.7769754846427189,-0.13570211147319325,5.443476939785147,1.4908018144769701,0.49080181447697,229.0,152.0,0.49353448275862066,0.3275862068965517,229.0,0.458,-0.05332053818358228,152.0,0.304,-0.03396062339836244,strategy
sma250_3in_2out,0.0778122824480436,0.08146035128016493,0.11513410030707572,0.42294331946582625,0.6940198420361848,-0.1766213221072183,6.665263385048224,1.4666458337792883,0.4666458337792882,173.0,148.0,0.3728448275862069,0.31896551724137934,173.0,0.346,-0.10729328303135156,148.0,0.296,-0.03707796494519255,strategy
sma250_3in_3out,0.0796059235251139,0.08321801149201483,0.11803900833726363,0.4199674263397408,0.6851523592408524,-0.18062443362338673,7.0344846741406855,1.4870099897632674,0.4870099897632675,161.0,113.0,0.34698275862068967,0.2435344827586207,161.0,0.322,-0.11026917615743705,113.0,0.226,-0.03528432386812223,strategy
sma250_3in_1out,0.07522779587393699,0.07853532247758654,0.11142413020444673,0.4080344677762891,0.6863328958945598,-0.16664660818485968,6.805052603079149,1.4497716747783524,0.4497716747783524,187.0,150.0,0.40301724137931033,0.3232758620689655,187.0,0.374,-0.12220213472088878,150.0,0.3,-0.03966245151929914,strategy
sma100_3in_1out,0.07453002630731961,0.07728248958484885,0.10797601503522278,0.40329649659812933,0.687887405033201,-0.14991308481934287,6.120651479559266,1.4493233212088508,0.4493233212088507,201.0,148.0,0.4331896551724138,0.31896551724137934,201.0,0.402,-0.12694010589904853,148.0,0.296,-0.04036022108591653,strategy
baseline_buyhold,0.11489024739323615,0.12599186447030325,0.19260518181275443,0.5302366024971779,0.6941902197981825,-0.3115929649057233,9.954238690920562,1.7941770115958606,0.7941770115958605,,,,,,,,,,,baseline
