variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.08755445556979619,0.09156372189729459,0.13085477663377978,0.6998698367038322,0.6998698367038322,-0.15761290305333228,6.4782656870683395,1.2955957560108333,0.2955957560108333,207.0,123.0,0.4376321353065539,0.26004228329809725,207.0,0.414,-0.07934468101223481,123.0,0.246,-0.05098257361434517,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.07991359455822673,0.08329643032361705,0.12094672183413152,0.6767548973776181,0.6767548973776181,-0.1452874565882237,6.199486448493927,1.2674800917554314,0.26748009175543147,208.0,106.0,0.4397463002114165,0.22410147991543342,208.0,0.416,-0.10245962033844906,106.0,0.212,-0.05862343462591462,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.07920505326395157,0.08279202453345813,0.12203862053132089,0.668121279939826,0.668121279939826,-0.15028788761839273,6.302292979035915,1.2649389010863017,0.26493890108630164,203.0,107.0,0.42917547568710357,0.226215644820296,203.0,0.406,-0.11109323777624107,107.0,0.214,-0.059331975920189774,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.07543822680867421,0.07839780875715432,0.11523412235023786,0.662218276020965,0.662218276020965,-0.1406079132924004,5.942396908898821,1.2523848627720444,0.2523848627720444,203.0,105.0,0.42917547568710357,0.2219873150105708,203.0,0.406,-0.11699624169510213,105.0,0.21,-0.06309880237546715,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.07647803803535819,0.07989167135068381,0.1186570113448165,0.6616143737320364,0.6616143737320364,-0.14227066752088197,6.178164609705525,1.2550017405291285,0.25500174052912844,189.0,109.0,0.39957716701902746,0.23044397463002114,189.0,0.378,-0.1176001439840307,109.0,0.218,-0.06205899114878318,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.07714183074046482,0.08049337108618043,0.11961479785294996,0.6604222395250385,0.6604222395250385,-0.14592352615893633,6.39662633459965,1.2582904527932552,0.25829045279325524,190.0,109.0,0.40169133192389006,0.23044397463002114,190.0,0.38,-0.11879227819102854,109.0,0.218,-0.06139519844367653,strategy
sma150_3in_1out,0.07943110948389469,0.08315454418498473,0.12678127385072896,0.6553596612831096,0.6553596612831096,-0.16148131043682884,7.054708964345102,1.2691000161007402,0.26910001610074025,189.0,117.0,0.39957716701902746,0.24735729386892177,189.0,0.378,-0.12385485643295743,117.0,0.234,-0.05910591970024667,strategy
sma150_3in_3out,0.08423699884975132,0.08855158951442206,0.13383754062913597,0.654620981626951,0.654620981626951,-0.17414225728529265,7.271167431661005,1.286814077170625,0.28681407717062474,222.0,120.0,0.4693446088794926,0.2536997885835095,222.0,0.444,-0.12459353608911608,120.0,0.24,-0.054300030334390036,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.0747484507422536,0.0778934029669954,0.11624504241632928,0.653569332876498,0.653569332876498,-0.1451443995402049,6.035437744144042,1.2498252984716554,0.2498252984716554,190.0,109.0,0.40169133192389006,0.23044397463002114,190.0,0.38,-0.12564518483956905,109.0,0.218,-0.06378857844188776,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.07578998382752693,0.07938726556052489,0.11966026844174578,0.6531900959601672,0.6531900959601672,-0.1476619963192872,6.284605467687574,1.2525895968582619,0.252589596858262,181.0,109.0,0.38266384778012685,0.23044397463002114,181.0,0.362,-0.12602442175589976,109.0,0.218,-0.06274704535661443,strategy
