variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.11368125604796865,0.1170430507167522,0.1411908527578899,0.6036968055773526,0.8202482854966354,-0.18680881331861704,6.804391666249129,1.7410905214782988,0.7410905214782988,236.0,140.0,0.5042735042735043,0.29914529914529914,236.0,0.472,-0.042963295817177144,140.0,0.28,-0.0349223128037904,strategy
sma250_3in_1out,0.10767455257783713,0.11085755881724373,0.13421866904177202,0.5895640594656812,0.8167371289544416,-0.1681741672089526,7.089427922759224,1.686725932072962,0.6867259320729621,219.0,129.0,0.46794871794871795,0.27564102564102566,219.0,0.438,-0.05709604192884848,129.0,0.258,-0.040929016273921905,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.10554011085393544,0.10836015984937011,0.1311249339874792,0.5814233339384993,0.813450695852105,-0.16379649719964698,6.519402680197202,1.6746409713110044,0.6746409713110044,231.0,126.0,0.4935897435897436,0.2692307692307692,231.0,0.462,-0.06523676745603033,126.0,0.252,-0.04306345799782359,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.103646962936206,0.10629832921620064,0.12789408931744128,0.580254028215474,0.8180974380047794,-0.15575465973299407,6.64991318489821,1.6577985266556583,0.6577985266556585,228.0,123.0,0.48717948717948717,0.26282051282051283,228.0,0.456,-0.06640607317905571,123.0,0.246,-0.044956605915553054,strategy
sma150_3in_3out,0.11185085252741625,0.11553953950496532,0.1447041532978189,0.5692939783994815,0.7806079325062985,-0.20753451292878342,7.717446306375078,1.7405594921184282,0.7405594921184282,227.0,129.0,0.48504273504273504,0.27564102564102566,227.0,0.454,-0.07736612299504819,129.0,0.258,-0.03675271632434279,strategy
sma200_3in_1out,0.10652878022245933,0.10960670874013022,0.1355196544076225,0.5689740374193426,0.793831322652726,-0.17382708772333438,7.221275372771928,1.691354666453618,0.6913546664536183,216.0,115.0,0.46153846153846156,0.24572649572649571,216.0,0.432,-0.07768606397518715,115.0,0.23,-0.04207478862929972,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.10385758600287767,0.10707613720174695,0.13254914903265216,0.5654786030500916,0.7952344018737205,-0.17485918744662982,6.6945455103119995,1.6608840781356042,0.6608840781356043,227.0,117.0,0.48504273504273504,0.25,227.0,0.454,-0.08118149834443818,117.0,0.234,-0.04474598284888138,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.10201798359141602,0.10501430656857746,0.1290955526938992,0.5652618954147799,0.800900524802615,-0.16733023758316445,6.7628232294659805,1.6445415619017563,0.6445415619017563,218.0,113.0,0.4658119658119658,0.24145299145299146,218.0,0.436,-0.08139820597974981,113.0,0.226,-0.04658558526034302,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10243999464979874,0.10529602884576507,0.12970513595612065,0.5629215323762707,0.7976151993062313,-0.16134028206480094,6.777332802324628,1.6536181113827635,0.6536181113827636,215.0,123.0,0.4594017094017094,0.26282051282051283,215.0,0.43,-0.08373856901825896,123.0,0.246,-0.0461635742019603,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.10102826930047051,0.10408522799539474,0.12857866896294737,0.560917832528857,0.7975450530900867,-0.16599509426494008,6.797595459668215,1.6360339404392896,0.6360339404392895,215.0,115.0,0.4594017094017094,0.24572649572649571,215.0,0.43,-0.08574226886567282,115.0,0.23,-0.04757529955128852,strategy
