variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.10944125844650776,0.11308817922624315,0.14046508228320634,0.5804181158707358,0.7976040775920548,-0.1857933001022184,6.901138049047646,1.7085309422866506,0.7085309422866507,245.0,148.0,0.5280172413793104,0.31896551724137934,245.0,0.49,-0.034106143998372335,148.0,0.296,-0.03245365638419865,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.1013571030823916,0.10445964739031555,0.1305159719055593,0.5559718158279101,0.788674141236794,-0.1645505094370644,6.7418777622105,1.643572680646454,0.6435726806464538,234.0,140.0,0.5043103448275862,0.3017241379310345,234.0,0.468,-0.05855244404119803,140.0,0.28,-0.04053781174831482,strategy
sma250_3in_1out,0.10157465742968542,0.10517263726412479,0.1334485428653152,0.5499178898568073,0.7781214058169139,-0.16740080272218885,7.14352962438128,1.6423643033946353,0.6423643033946351,203.0,136.0,0.4375,0.29310344827586204,203.0,0.406,-0.06460637001230071,136.0,0.272,-0.04032025740102098,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.0988580229811539,0.10182113340294277,0.1271686681443357,0.549066356771864,0.7879074502697416,-0.15653520538653903,6.857904408534119,1.6228021859485893,0.6228021859485894,230.0,135.0,0.4956896551724138,0.29094827586206895,230.0,0.46,-0.06545790309724411,135.0,0.27,-0.04303689184955253,strategy
sma150_3in_3out,0.10698378214220199,0.11104253015913347,0.14390289784690644,0.5437167588154384,0.755740045364247,-0.20639025349186904,7.8913826384053305,1.7018643923851178,0.7018643923851177,237.0,128.0,0.5107758620689655,0.27586206896551724,237.0,0.474,-0.07080750105366977,128.0,0.256,-0.034911132688504425,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.10013519760726322,0.10358417439418303,0.13185396876559466,0.5436500129829037,0.7741923738732119,-0.17411056511598028,6.846956991497559,1.6331156561576747,0.6331156561576748,231.0,128.0,0.4978448275862069,0.27586206896551724,231.0,0.462,-0.07087424688620433,128.0,0.256,-0.04175971722344319,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09768026308887195,0.10094566040681026,0.12832765820417888,0.5377177538391674,0.7744282017512438,-0.166634648541928,6.9039268375713245,1.6127495775771197,0.6127495775771198,220.0,124.0,0.47413793103448276,0.2672413793103448,220.0,0.44,-0.07680650602994057,124.0,0.248,-0.044214651741834456,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09814160952445473,0.10127661315865961,0.12909449184164382,0.5363179178041221,0.7717019350150794,-0.16362502529810505,7.0633331454757835,1.622085040800348,0.6220850408003479,218.0,130.0,0.4698275862068966,0.2801724137931034,218.0,0.436,-0.07820634206498599,130.0,0.26,-0.043753305306251676,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.09723307086987801,0.10042219624509773,0.12806035447688008,0.5353137982231886,0.7726723946637652,-0.16236153500575057,6.703810525785609,1.6121566128120601,0.6121566128120601,227.0,132.0,0.4892241379310345,0.28448275862068967,227.0,0.454,-0.07921046164591954,132.0,0.264,-0.04466184396082842,strategy
sma200_3in_1out,0.10066883638268513,0.10412578506925951,0.13469529471493782,0.5331696853406893,0.7589983344392149,-0.1774213494885858,7.531786545509142,1.6482708922277571,0.648270892227757,213.0,124.0,0.45905172413793105,0.2672413793103448,213.0,0.426,-0.08135457452841874,124.0,0.248,-0.041226078448021286,strategy
