variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_1",0.09156572052926439,0.09228750295538854,0.103568817114693,0.867295474383579,0.867295474383579,-0.11908091846351491,4.43247143513026,1.308138170277669,0.30813817027766904,159.0,3.0,0.35730337078651686,0.006741573033707865,159.0,0.318,-0.17477154644754592,3.0,0.006,-0.07583130618298879,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09180843685996996,0.09255157805762058,0.10379185504796525,0.8669011379539597,0.8669011379539597,-0.12466713416597264,4.583054741809248,1.3089314546279958,0.30893145462799565,162.0,3.0,0.36404494382022473,0.006741573033707865,162.0,0.324,-0.1751658828771653,3.0,0.006,-0.07558858985228321,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09345283451205336,0.09394548413915058,0.10464702156776953,0.8640334498613795,0.8640334498613795,-0.12728202888892248,4.661360926067766,1.316391458418528,0.31639145841852795,184.0,4.0,0.4134831460674157,0.008988764044943821,184.0,0.368,-0.17803357096974542,4.0,0.008,-0.07394419220019982,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09295449364893896,0.09356776378817601,0.10479132855893075,0.8624776318083952,0.8624776318083952,-0.12650087410132363,4.632957811529826,1.3140896318776947,0.3140896318776946,170.0,4.0,0.38202247191011235,0.008988764044943821,170.0,0.34,-0.17958938902272978,4.0,0.008,-0.07444253306331422,strategy
"set_[100, 200]__x100_2_200_2",0.09399326439199507,0.09437836207768352,0.10526209205235815,0.8614283823371607,0.8614283823371607,-0.12277001478723822,4.565719553663482,1.3192601094401777,0.31926010944017774,181.0,3.0,0.4067415730337079,0.006741573033707865,181.0,0.362,-0.18063863849396433,3.0,0.006,-0.07340376232025811,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09457750175870051,0.094961669869706,0.10610013750554297,0.8578770534314528,0.8578770534314528,-0.13107077307246293,4.722490790475722,1.3217342671170662,0.32173426711706615,186.0,4.0,0.41797752808988764,0.008988764044943821,186.0,0.372,-0.18418996739967208,4.0,0.008,-0.07281952495355268,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08883031804536654,0.08964296679903576,0.10214877411587209,0.8552717522677863,0.8552717522677863,-0.12206961135360439,4.30243236709895,1.2985632755381624,0.2985632755381622,158.0,3.0,0.3550561797752809,0.006741573033707865,158.0,0.316,-0.1867952685633387,3.0,0.006,-0.07856670866688663,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09042729905859863,0.09103687288056575,0.10336233868767283,0.849271956463742,0.849271956463742,-0.12308642899446033,4.377259642420136,1.3057560678162092,0.30575606781620934,174.0,3.0,0.39101123595505616,0.006741573033707865,174.0,0.348,-0.1927950643673831,3.0,0.006,-0.07696972765365456,strategy
sma200_3in_1out,0.09106237523237169,0.09227850157778558,0.10812831485830975,0.8386469156521731,0.8386469156521731,-0.13484201052430403,4.525881602234001,1.3076708900691318,0.307670890069132,146.0,8.0,0.32808988764044944,0.017977528089887642,146.0,0.292,-0.20342010517895187,8.0,0.016,-0.07633465147988147,strategy
sma150_3in_1out,0.09193348837796933,0.09307972826208474,0.10826233292108972,0.8364520286263946,0.8364520286263946,-0.14805167303743777,5.309014660283061,1.3101302839154576,0.31013028391545755,125.0,5.0,0.2808988764044944,0.011235955056179775,125.0,0.25,-0.20561499220473045,5.0,0.01,-0.07546353833428383,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08648993520288868,0.08759423805366966,0.102393415780442,0.8322853749940803,0.8322853749940803,-0.12543702152144875,4.639475286258377,1.2894019206652207,0.2894019206652208,129.0,3.0,0.2898876404494382,0.006741573033707865,129.0,0.258,-0.20978164583704473,3.0,0.006,-0.08090709150936448,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.08813545651579789,0.08898814413519965,0.10305175701991098,0.8303636845505791,0.8303636845505791,-0.127919654747238,4.722367595228672,1.2967055798642217,0.2967055798642217,160.0,3.0,0.3595505617977528,0.006741573033707865,160.0,0.32,-0.21170333628054602,3.0,0.006,-0.0792615701964553,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08764850084545409,0.08861042378422507,0.103150375124743,0.8294108030109303,0.8294108030109303,-0.1255168654313815,4.6756122150240245,1.2944948356155501,0.2944948356155501,146.0,4.0,0.32808988764044944,0.008988764044943821,146.0,0.292,-0.2126562178201947,4.0,0.008,-0.0797485258667991,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0892729761044733,0.09000432986575506,0.10427942153441125,0.8254949842870369,0.8254949842870369,-0.13008787094284874,4.765585252717405,1.3019790196974796,0.30197901969747953,166.0,4.0,0.37303370786516854,0.008988764044943821,166.0,0.332,-0.21657203654408813,4.0,0.008,-0.07812405060777988,strategy
sma100_3in_2out,0.09096239200263016,0.09229650433299147,0.10910416177265678,0.8252989416031434,0.8252989416031434,-0.12384941730273784,4.989358311156446,1.305593148919898,0.305593148919898,93.0,3.0,0.20898876404494382,0.006741573033707865,93.0,0.186,-0.2167680792279815,3.0,0.006,-0.076434634709623,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08625870911520951,0.08732356664052617,0.10297764301569792,0.8251323981627214,0.8251323981627214,-0.1325243885692805,4.604594303105011,1.289741521467087,0.28974152146708715,149.0,3.0,0.3348314606741573,0.006741573033707865,149.0,0.298,-0.21693462266840358,3.0,0.006,-0.08113831759704367,strategy
sma150_3in_2out,0.095404589875992,0.09612828545375099,0.11160016190101353,0.8239452222925271,0.8239452222925271,-0.15398322462512365,5.431340252704439,1.3264988887888058,0.3264988887888057,161.0,6.0,0.36179775280898874,0.01348314606741573,161.0,0.322,-0.21812179853859795,6.0,0.012,-0.07199243683626118,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08354477530770917,0.08468562679508483,0.10062173330551746,0.8202983453747195,0.8202983453747195,-0.12087437033826351,4.327255310579582,1.279325210321154,0.27932521032115404,141.0,3.0,0.31685393258426964,0.006741573033707865,141.0,0.282,-0.22176867545640547,3.0,0.006,-0.08385225140454403,strategy
sma200_3in_2out,0.09587144517002386,0.09646021982237554,0.11174398447345175,0.8189635557526866,0.8189635557526866,-0.14146113654686318,4.776744689026097,1.330063318715107,0.33006331871510697,188.0,4.0,0.42247191011235957,0.008988764044943821,188.0,0.376,-0.22310346507843842,4.0,0.008,-0.07152558154222931,strategy
sma150_3in_3out,0.09742575141909718,0.09839947774162028,0.11571692632589535,0.8187805126486477,0.8187805126486477,-0.14835231642327282,5.483720490119622,1.3345112040616534,0.33451120406165347,168.0,6.0,0.3775280898876405,0.01348314606741573,168.0,0.336,-0.22328650818247733,6.0,0.012,-0.069971275293156,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08781121432336762,0.08871747272205616,0.10450810598234102,0.817936660629448,0.817936660629448,-0.1335626773742694,4.685433264772624,1.296763583272412,0.296763583272412,163.0,3.0,0.36629213483146067,0.006741573033707865,163.0,0.326,-0.22413036020167693,3.0,0.006,-0.07958581238888554,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08514327001420073,0.08607953287661482,0.10164100855269022,0.8151879488914868,0.8151879488914868,-0.12178983228265017,4.398303542497252,1.2863658168433953,0.28636581684339535,155.0,3.0,0.34831460674157305,0.006741573033707865,155.0,0.31,-0.22687907193963816,3.0,0.006,-0.08225375669805245,strategy
"set_[100, 200]__x100_1_200_1",0.08359781750657012,0.0848514929494621,0.10146977032462574,0.8144307545751158,0.8144307545751158,-0.11843409285706344,4.521397206718384,1.2789688983732737,0.2789688983732738,121.0,3.0,0.27191011235955054,0.006741573033707865,121.0,0.242,-0.22763626625600922,3.0,0.006,-0.08379920920568307,strategy
