variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma200_3in_1out,0.1044983016611829,0.10577182367031807,0.11334215487770598,0.6546836399427876,0.9287509363860189,-0.15601046600873722,5.2192652133269,1.6540584007838333,0.6540584007838334,53.0,10.0,0.12864077669902912,0.024271844660194174,53.0,0.106,-0.1556829082877415,10.0,0.02,-0.05721559572465351,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.1022520094957082,0.10293555187898576,0.10795180012594129,0.6520732423313721,0.9373571194377294,-0.15038905571631847,5.065542132475823,1.6416407785652276,0.6416407785652276,57.0,3.0,0.1383495145631068,0.007281553398058253,57.0,0.114,-0.15829330589915697,3.0,0.006,-0.05946188789012821,strategy
"set_[100, 200]__x100_2_200_1",0.10180279796389742,0.10252625594051948,0.10780328170904764,0.6506740664553297,0.9360548740036593,-0.14004260762908222,4.946289524811558,1.6374282680634435,0.6374282680634435,65.0,0.0,0.15776699029126215,0.0,65.0,0.13,-0.15969248177519926,0.0,0.0,-0.059911099421939,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.10166719609465294,0.10250570574338642,0.10799179793723862,0.6506480800390263,0.9368889548443942,-0.14511204698807306,5.01889617632066,1.6347945483612458,0.6347945483612458,62.0,4.0,0.15048543689320387,0.009708737864077669,62.0,0.124,-0.15971846819150268,4.0,0.008,-0.06004670129118348,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.10297552391834516,0.10360416839555606,0.10905292737972674,0.6470346940973312,0.9290365689507724,-0.1526251788901655,5.210367644292998,1.6505762295272957,0.6505762295272958,110.0,4.0,0.2669902912621359,0.009708737864077669,110.0,0.22,-0.16333185413319787,4.0,0.008,-0.05873837346749125,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.10312730011657427,0.10368511365747048,0.10894680809818667,0.6462833809000837,0.92867626845346,-0.15841190898365531,5.324406755079481,1.6533736685277642,0.6533736685277644,127.0,4.0,0.308252427184466,0.009708737864077669,127.0,0.254,-0.16408316733044523,4.0,0.008,-0.058586597269262145,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.10248198344418068,0.10325526752187116,0.10942146783463239,0.6418263399501959,0.9238697177526215,-0.15037662642495972,5.249044944780022,1.6457194033431561,0.6457194033431561,80.0,4.0,0.1941747572815534,0.009708737864077669,80.0,0.16,-0.16854020828033306,4.0,0.008,-0.059231913941655744,strategy
"set_[100, 200]__x100_2_200_2",0.10305870830687852,0.10365059860824657,0.1097750936770091,0.6397639108617993,0.9194542696126912,-0.1525227608693336,5.319839048864714,1.654586685710297,0.6545866857102973,146.0,4.0,0.35436893203883496,0.009708737864077669,146.0,0.292,-0.17060263736872963,4.0,0.008,-0.058655189078957906,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.10381207943340083,0.10435373017404079,0.11055367773072966,0.6387445588709448,0.9165957681790821,-0.16280471366765895,5.485149692376066,1.6628362886275776,0.6628362886275777,160.0,4.0,0.3883495145631068,0.009708737864077669,160.0,0.32,-0.1716219893595841,4.0,0.008,-0.05790181795243559,strategy
sma150_3in_1out,0.10275589624917879,0.10375414375591831,0.11181157855857655,0.6342994973461259,0.9100074523584751,-0.1772698597217781,5.847116457451215,1.6483673608592697,0.6483673608592696,49.0,3.0,0.11893203883495146,0.007281553398058253,49.0,0.098,-0.1760670508844031,3.0,0.006,-0.05895800113665762,strategy
sma200_3in_2out,0.1069346407489787,0.10802050900577226,0.11748772577004243,0.6286772422705077,0.8928541391630281,-0.17459973689605182,5.93139265620055,1.6880319390068308,0.6880319390068307,119.0,8.0,0.28883495145631066,0.019417475728155338,119.0,0.238,-0.1816893059600213,8.0,0.016,-0.054779256636857725,strategy
sma250_3in_3out,0.10758710024659333,0.10965246896879892,0.12305816358709251,0.6212048855535554,0.8774180493065618,-0.20698204233781298,6.082413710135321,1.6856646622752716,0.6856646622752717,113.0,7.0,0.27427184466019416,0.01699029126213592,113.0,0.226,-0.18916166267697365,7.0,0.014,-0.05412679713924308,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.09763202509390068,0.09860089890662152,0.10643618376097516,0.6205747587300424,0.9102238867548453,-0.14866356594450375,5.120283224569101,1.6066755071271013,0.6066755071271014,44.0,0.0,0.10679611650485436,0.0,44.0,0.088,-0.18979178950048664,0.0,0.0,-0.06408187229193575,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.09707284412493526,0.09817105277102219,0.10629167303101653,0.6202742420894057,0.9115590261932618,-0.14250152905678046,4.995668204123764,1.6002659791528944,0.6002659791528941,49.0,3.0,0.11893203883495146,0.007281553398058253,49.0,0.098,-0.19009230614112316,3.0,0.006,-0.06464105326090117,strategy
