variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma200_3in_1out,0.10318066332368102,0.10454894899364894,0.11283210881473056,0.6498772034791279,0.9248594782739105,-0.15344501598206436,5.096696836130533,1.6428919546837137,0.6428919546837139,57.0,13.0,0.13801452784503632,0.031476997578692496,57.0,0.114,-0.15004589537641688,13.0,0.026,-0.05582364330975958,strategy
"set_[100, 200]__x100_2_200_1",0.10040013088463508,0.10123324787519616,0.107296316713284,0.6449378508935505,0.9314228798454408,-0.13801726314512017,4.867786740822895,1.6255971957020738,0.6255971957020737,61.0,0.0,0.14769975786924938,0.0,61.0,0.122,-0.1549852479619944,0.0,0.0,-0.05860417574880553,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.1001731986809218,0.10111885052214337,0.10740277962647513,0.6447551365527121,0.932244207556163,-0.14304236995534336,4.943968099907791,1.6223002104866147,0.6223002104866145,65.0,0.0,0.15738498789346247,0.0,65.0,0.13,-0.15516796230283283,0.0,0.0,-0.058831107952518794,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10061161851650537,0.10141989099604387,0.10741495872442725,0.6441380187239245,0.9306056729697243,-0.14861239954026578,5.031086122365052,1.6281736095789725,0.6281736095789724,58.0,0.0,0.14043583535108958,0.0,58.0,0.116,-0.15578508013162046,0.0,0.0,-0.05839268811693523,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.10107705644742204,0.10186335822630407,0.10853771421370541,0.6369714145598573,0.9200899933309156,-0.1512450371546723,5.182127718207014,1.634933333113577,0.634933333113577,101.0,0.0,0.24455205811138014,0.0,101.0,0.202,-0.16295168429568763,0.0,0.0,-0.05792725018601857,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.10123243663856055,0.10195107565729238,0.10840150366348847,0.6366563687204067,0.9202481014740337,-0.1566405773195437,5.299612620636022,1.6375183351851827,0.6375183351851827,126.0,0.0,0.3050847457627119,0.0,126.0,0.252,-0.16326673013513815,0.0,0.0,-0.057771869994880064,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.10073424340303831,0.10165003518339187,0.10880886102639892,0.6343255178280774,0.9176783983292609,-0.14897216111490155,5.189598904507929,1.6308185857807393,0.6308185857807395,78.0,0.0,0.18886198547215496,0.0,78.0,0.156,-0.16559758102746752,0.0,0.0,-0.05827006323040229,strategy
"set_[100, 200]__x100_2_200_2",0.10127308254100528,0.10203002486706893,0.10925331719029417,0.6314538205973302,0.9122756738639318,-0.15106535163090246,5.261313338195397,1.639114201219385,0.639114201219385,141.0,0.0,0.3414043583535109,0.0,141.0,0.282,-0.1684692782582146,0.0,0.0,-0.05773122409243533,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.1016586220321228,0.10239454288755258,0.11003002541362306,0.6270342569672439,0.9060062885799217,-0.161227053472464,5.4662039137980445,1.6447660769109798,0.6447660769109796,156.0,0.0,0.37772397094430993,0.0,156.0,0.312,-0.17288884188830098,0.0,0.0,-0.0573456846013178,strategy
sma150_3in_1out,0.10064322530192503,0.10179317723773927,0.11123440330642971,0.6221622268338176,0.8990873707059094,-0.1777138627513402,5.894798668303553,1.6317394707460071,0.6317394707460071,39.0,0.0,0.09443099273607748,0.0,39.0,0.078,-0.1777608720217273,0.0,0.0,-0.058361081331515574,strategy
