variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_3out,0.09888268945789011,0.10192858556207018,0.1314070488240238,0.7537963302108771,0.7537963302108771,-0.13890860394182053,5.4471061635982645,1.3359548309072182,0.335954830907218,226.0,21.0,0.5292740046838408,0.04918032786885246,226.0,0.452,-0.03823644841691289,21.0,0.042,-0.05831388214358589,strategy
sma150_3in_1out,0.09248260377901013,0.09510559377694554,0.12342517340428628,0.7470300918963528,0.7470300918963528,-0.12386241572895186,5.051543043331077,1.3121422907402795,0.31214229074027966,213.0,20.0,0.49882903981264637,0.0468384074941452,213.0,0.426,-0.045002686731437196,20.0,0.04,-0.06471396782246586,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08714578308550813,0.08950429225297034,0.11989705746752119,0.7124465995225223,0.7124465995225223,-0.13282431143064868,5.643774793058807,1.2952769582755217,0.29527695827552186,210.0,8.0,0.4918032786885246,0.01873536299765808,210.0,0.42,-0.07958617910526775,8.0,0.016,-0.07005078851596787,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.08675895934273214,0.08913721712479182,0.11964456583899383,0.7095636590373143,0.7095636590373143,-0.13170549676435642,5.655452876650631,1.2937430038415025,0.29374300384150254,213.0,8.0,0.49882903981264637,0.01873536299765808,213.0,0.426,-0.08246911959047573,8.0,0.016,-0.07043761225874386,strategy
sma200_3in_3out,0.09421085011343475,0.09686387620081484,0.12928620758961173,0.7064393206944689,0.7064393206944689,-0.15082243481624752,5.922707272334909,1.3234135284520723,0.32341352845207244,230.0,27.0,0.5386416861826698,0.06323185011709602,230.0,0.46,-0.08559345793332104,27.0,0.054,-0.06298572148804125,strategy
sma100_3in_3out,0.09035761826849277,0.09391002997239908,0.13086261940482447,0.7024806314653183,0.7024806314653183,-0.14580721943608088,6.1133569043207014,1.3054263817356633,0.30542638173566317,214.0,13.0,0.5011709601873536,0.03044496487119438,214.0,0.428,-0.08955214716247187,13.0,0.026,-0.06683895333298323,strategy
sma150_3in_2out,0.08607038257677366,0.08937800261979001,0.12451123698070511,0.6961049030450338,0.6961049030450338,-0.13411912449449798,5.595174576417998,1.289023340413042,0.2890233404130419,158.0,13.0,0.3700234192037471,0.03044496487119438,158.0,0.316,-0.09592787558275628,13.0,0.026,-0.07112618902470234,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08498970006557076,0.08759509520058516,0.12040253951464681,0.6943956321252962,0.6943956321252962,-0.13588960519509682,5.825034849622512,1.287484512268941,0.28748451226894095,201.0,7.0,0.4707259953161593,0.01639344262295082,201.0,0.402,-0.09763714650249383,7.0,0.014,-0.07220687153590524,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08460859773847484,0.08722802007240664,0.12010639367097732,0.6917040387512632,0.6917040387512632,-0.13476625587224808,5.837055555224569,1.2859738173306097,0.2859738173306095,202.0,7.0,0.47306791569086654,0.01639344262295082,202.0,0.404,-0.10032873987652684,7.0,0.014,-0.07258797386300116,strategy
sma200_3in_2out,0.0894447315027991,0.09119741477358508,0.12247427782864334,0.6892302963042003,0.6892302963042003,-0.1494146417735822,6.294694842882525,1.3092934640172618,0.30929346401726177,254.0,17.0,0.594847775175644,0.03981264637002342,254.0,0.508,-0.1028024823235897,17.0,0.034,-0.0677518400986769,strategy
