variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_3out,0.12189333384819548,0.1244424080562213,0.13969625234979144,0.6761724468559263,0.8913781769098992,-0.145777931736573,5.696180020948718,1.7893500221406198,0.7893500221406199,351.0,3.0,0.9310344827586207,0.007957559681697613,351.0,0.702,0.013157766107530396,3.0,0.006,-0.04068081785026703,strategy
sma150_3in_1out,0.11722725835178312,0.11914186578446229,0.13169402066440408,0.6723334640593254,0.9005361505595213,-0.1222525695791674,4.921879929090298,1.754001390135845,0.7540013901358451,301.0,0.0,0.7984084880636605,0.0,301.0,0.602,0.009318783310929401,0.0,0.0,-0.04534689334667939,strategy
sma200_3in_3out,0.11509200979883219,0.118504100071019,0.1403441020642965,0.6315850106279173,0.8456729338664309,-0.1656002476244377,6.833212685816839,1.734128647890215,0.734128647890215,211.0,5.0,0.5596816976127321,0.013262599469496022,211.0,0.422,-0.03142967012047857,5.0,0.01,-0.04748214189963033,strategy
sma150_3in_2out,0.10996090179797992,0.11275700108333682,0.1329489052375374,0.6180102355960629,0.8440398676915248,-0.13136557616723007,5.647180636514164,1.6986212235740765,0.6986212235740765,154.0,0.0,0.40848806366047746,0.0,154.0,0.308,-0.045004445152333046,0.0,0.0,-0.052613249900482606,strategy
sma200_3in_1out,0.10878859290938457,0.11169569181041593,0.13192198449115328,0.6167653706409749,0.8445565623365995,-0.17290220231580725,7.572055063184164,1.6853055975578928,0.6853055975578929,156.0,0.0,0.41379310344827586,0.0,156.0,0.312,-0.046249310107421046,0.0,0.0,-0.05378555878907795,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10701854305114178,0.10962232646982388,0.12875455698473337,0.6148436409232227,0.8481698952515696,-0.1387893607234024,6.098701465822786,1.6738242649406856,0.6738242649406857,135.0,0.0,0.35809018567639256,0.0,135.0,0.27,-0.04817103982517313,0.0,0.0,-0.05555560864732074,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.10708528604504833,0.10969904808134745,0.12900507620295787,0.6142639059658251,0.8471337342408329,-0.14019176860047428,6.142829044928214,1.6748385524181995,0.6748385524181995,133.0,0.0,0.35278514588859416,0.0,133.0,0.266,-0.048750774782570686,0.0,0.0,-0.05548886565341418,strategy
sma200_3in_2out,0.1088448745418232,0.11192585664498667,0.13356592402794104,0.6110973951812594,0.8360825108107056,-0.17489703402544662,7.684128182665405,1.6869886414654345,0.6869886414654346,145.0,0.0,0.38461538461538464,0.0,145.0,0.29,-0.05191728556713658,0.0,0.0,-0.053729277156639325,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.10459533230837947,0.10749403823611539,0.12929854156377812,0.5958755242947847,0.82821668976523,-0.14253575993182416,6.347388684133709,1.6558489993488361,0.6558489993488361,106.0,0.0,0.28116710875331563,0.0,106.0,0.212,-0.06713915645361108,0.0,0.0,-0.05797881939008304,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.104656482784301,0.10757075984763896,0.12958770940368744,0.5951677733080245,0.8269860994695823,-0.14394834554321417,6.391504440441595,1.6568182689853255,0.6568182689853254,107.0,0.0,0.2838196286472148,0.0,107.0,0.214,-0.06784690744037145,0.0,0.0,-0.05791766891416152,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.10160257630989554,0.10445373160842082,0.12671598346981167,0.583759577561855,0.8208430583719998,-0.14636198852680501,6.550734288124522,1.6334352126988607,0.6334352126988608,111.0,0.0,0.29442970822281167,0.0,111.0,0.222,-0.0792551031865409,0.0,0.0,-0.06097157538856698,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.10167475003926005,0.1045304532199444,0.12692588640881075,0.5834129923211036,0.820102210201404,-0.1477244768443922,6.596466064388762,1.6344544009436863,0.6344544009436862,113.0,0.0,0.29973474801061006,0.0,113.0,0.226,-0.07960168842729243,0.0,0.0,-0.06089940165920247,strategy
"set_[100, 200]__x100_2_200_1",0.10173954099384487,0.10486255681250467,0.12883205797832772,0.5780736195093594,0.8112259366534669,-0.14994010122227777,6.766266277138055,1.6339779478216943,0.6339779478216944,71.0,0.0,0.1883289124668435,0.0,71.0,0.142,-0.08494106123903652,0.0,0.0,-0.06083461070461766,strategy
"set_[100, 200]__x100_2_200_2",0.10181636763160737,0.10497763922979003,0.1293673248684779,0.5766254683792338,0.808807712842045,-0.15205015525174492,6.835739124910064,1.635292946174709,0.635292946174709,73.0,0.0,0.19363395225464192,0.0,73.0,0.146,-0.08638921236916218,0.0,0.0,-0.06075778406685516,strategy
sma100_3in_3out,0.10467869045327131,0.1086385048647347,0.137068808971563,0.5700494350335211,0.7891632022172298,-0.1587042798596448,6.58805400100349,1.6553436639298316,0.6553436639298315,128.0,0.0,0.3395225464190981,0.0,128.0,0.256,-0.09296524571487481,0.0,0.0,-0.05789546124519122,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.09921511096315119,0.10232544337471233,0.1270958410672537,0.565302982993247,0.8016749498922062,-0.15004623982353185,6.794705398663782,1.6160510042536338,0.6160510042536339,70.0,0.0,0.1856763925729443,0.0,70.0,0.14,-0.09771169775514886,0.0,0.0,-0.06335904073531134,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.09928171918510312,0.1024021649862359,0.12734551480798745,0.5648230126150826,0.8007282239940023,-0.15142425882054128,6.840502071877544,1.6170261406945452,0.6170261406945451,71.0,0.0,0.1883289124668435,0.0,71.0,0.142,-0.09819166813331338,0.0,0.0,-0.06329243251335942,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09411532494270061,0.09762586009648279,0.1265056214183565,0.5334836885544499,0.7709882983754741,-0.17188368594920156,7.700508391529346,1.578101775700037,0.5781017757000372,62.0,0.0,0.16445623342175067,0.0,62.0,0.124,-0.129530992193946,0.0,0.0,-0.06845882675576193,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09413746381348784,0.09770258170800636,0.12707339678865817,0.5317708423898119,0.7682147694228982,-0.17329432596573968,7.746938732892591,1.5787351431841938,0.578735143184194,60.0,0.0,0.15915119363395225,0.0,60.0,0.12,-0.13124383835858414,0.0,0.0,-0.06843668788497469,strategy
"set_[100, 200]__x100_1_200_1",0.09364932208782653,0.09710966452040007,0.1258733653540276,0.5297523290749554,0.7683895361148452,-0.16150457842778954,7.4730751174111365,1.5750910222417607,0.5750910222417607,29.0,0.0,0.07692307692307693,0.0,29.0,0.058,-0.1332623516734406,0.0,0.0,-0.068924829610636,strategy
"set_[100, 200]__x100_1_200_2",0.09373844678808924,0.09722474693768546,0.12632034052290694,0.5288259159809979,0.7666155710552419,-0.16353949285230465,7.545258218665507,1.576422093080818,0.5764220930808177,29.0,0.0,0.07692307692307693,0.0,29.0,0.058,-0.134188764767398,0.0,0.0,-0.06883570491037329,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09354627218025577,0.09718407134198591,0.12690008438046912,0.527614121180696,0.7643597068883288,-0.17510976341992543,7.772101969500104,1.5731326527775997,0.5731326527775998,51.0,0.0,0.13527851458885942,0.0,51.0,0.102,-0.1354005595676999,0.0,0.0,-0.06902787951820676,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09356331706431523,0.09726079295350949,0.12748721693754816,0.5258670668283171,0.7615235007997796,-0.1765254306533578,7.822797024463632,1.5736655219053914,0.5736655219053916,48.0,0.0,0.1273209549071618,0.0,48.0,0.096,-0.13714761392007888,0.0,0.0,-0.0690108346341473,strategy
sma100_3in_2out,0.09370308975674206,0.09802942181459341,0.13333265515480758,0.5053948094821721,0.7306976501334047,-0.14823413540772512,6.636024588472729,1.578600369732566,0.5786003697325659,52.0,0.0,0.13793103448275862,0.0,52.0,0.104,-0.15761987126622393,0.0,0.0,-0.06887106194172046,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08877017160758986,0.09245726523507973,0.12435601981557694,0.5008375831050839,0.7424572262511724,-0.1791987243842722,8.147152569393636,1.5400138537693133,0.5400138537693132,34.0,0.0,0.09018567639257294,0.0,34.0,0.068,-0.16217709764331206,0.0,0.0,-0.07380398009087268,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08879787194998676,0.09253398684660331,0.12488820353307611,0.49937724097409275,0.7399690483016848,-0.18058229110938195,8.192488664294721,1.540659168805013,0.5406591688050131,34.0,0.0,0.09018567639257294,0.0,34.0,0.068,-0.16363743977430317,0.0,0.0,-0.07377627974847577,strategy
