variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.0627847008123574,0.06470678309403165,0.09501615460543697,0.6556892171051844,0.6556892171051844,-0.12017140939697699,5.170279152811376,1.2060917193521363,0.20609171935213624,213.0,100.0,0.4503171247357294,0.21141649048625794,213.0,0.426,-0.06334076929909038,100.0,0.2,-0.03571280443829989,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.05820155726630169,0.059969387258318824,0.08905822226406788,0.6480131213768089,0.6480131213768089,-0.11243558468016872,4.888583060183334,1.1894592808823434,0.1894592808823434,211.0,95.0,0.44608879492600423,0.20084566596194503,211.0,0.422,-0.07101686502746589,95.0,0.19,-0.0402959479843556,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.0566888300202233,0.058515456699936935,0.08854964198591694,0.6349606939626585,0.6349606939626585,-0.11282594592033922,4.95920702548382,1.1842025637958946,0.18420256379589448,193.0,99.0,0.4080338266384778,0.20930232558139536,193.0,0.386,-0.08406929244161616,99.0,0.198,-0.04180867523043399,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.05612794727337894,0.05791482984532209,0.08773316291502337,0.6343568301179359,0.6343568301179359,-0.11045868747081483,4.788389727495903,1.1823305228031713,0.18233052280317144,209.0,99.0,0.4418604651162791,0.20930232558139536,209.0,0.418,-0.08467315628633891,99.0,0.198,-0.04236955797727835,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.05544879563934864,0.05732114642264447,0.08784129935892807,0.6292630056252465,0.6292630056252465,-0.11221026707516993,4.888798190228399,1.179735619303974,0.17973561930397405,195.0,98.0,0.41226215644820297,0.20718816067653276,195.0,0.39,-0.08976698077902821,98.0,0.196,-0.04304870961130866,strategy
"set_[100, 200]__x100_2_200_2",0.05574637369860208,0.05760068934046242,0.0884220879196283,0.6290380679954509,0.6290380679954509,-0.11246536842953359,4.850345531727338,1.1810658909047544,0.18106589090475458,208.0,95.0,0.4397463002114165,0.20084566596194503,208.0,0.416,-0.08999191840882381,95.0,0.19,-0.04275113155205521,strategy
sma150_3in_3out,0.06079418710870376,0.06330421909193719,0.09872558852389604,0.6284052231110195,0.6284052231110195,-0.12750629993582244,5.334908772160554,1.1987608310719973,0.19876083107199735,187.0,95.0,0.3953488372093023,0.20084566596194503,187.0,0.374,-0.0906247632932552,95.0,0.19,-0.03770331814195353,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.054138068345213904,0.05579052354657534,0.08554476340830873,0.6257664258223306,0.6257664258223306,-0.10934484981990515,4.5567438721789335,1.1759520780181136,0.1759520780181136,210.0,98.0,0.4439746300211416,0.20718816067653276,210.0,0.42,-0.09326356058194409,98.0,0.196,-0.044359436905443396,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.05347031299946548,0.05516482605446044,0.08518194232550053,0.6213211508497614,0.6213211508497614,-0.10792089532036435,4.544846986798499,1.1734491873414314,0.17344918734143153,208.0,98.0,0.4397463002114165,0.20718816067653276,208.0,0.416,-0.09770883555451337,98.0,0.196,-0.045027192251191804,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.054608336211517956,0.056460899286940196,0.08725575895868173,0.6207692049887511,0.6207692049887511,-0.1109522933164553,4.8660838225821585,1.1770340668291461,0.1770340668291462,187.0,100.0,0.3953488372093023,0.21141649048625794,187.0,0.374,-0.09826078141552366,100.0,0.2,-0.04388916903913933,strategy
sma100_3in_3out,0.060052573025382805,0.06278754068151422,0.10042462923590316,0.6166112810967723,0.6166112810967723,-0.1253611862481953,5.432649629912186,1.1960181213398386,0.19601812133983876,182.0,94.0,0.38477801268498946,0.19873150105708245,182.0,0.364,-0.10241870530750237,94.0,0.188,-0.03844493222527449,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.053943904159163676,0.055867215864262576,0.08749931032526495,0.61447138038089,0.61447138038089,-0.1133444203163736,4.978048776934412,1.174669219433351,0.17466921943335098,178.0,100.0,0.3763213530655391,0.21141649048625794,178.0,0.356,-0.10455860602338475,100.0,0.2,-0.04455360109149361,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.05337445861231835,0.05526658900964774,0.08663143365023863,0.6143752567408245,0.6143752567408245,-0.11109266621572197,4.861419424794793,1.1726821485947356,0.17268214859473566,188.0,99.0,0.3974630021141649,0.20930232558139536,188.0,0.376,-0.10465472966345023,99.0,0.198,-0.04512304663833895,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.05264589670281448,0.05433659298819345,0.0848590146170963,0.6135093382577432,0.6135093382577432,-0.10940713397252678,4.618162020270099,1.170812949573461,0.1708129495734609,202.0,97.0,0.427061310782241,0.20507399577167018,202.0,0.404,-0.10552064814653153,97.0,0.194,-0.045851608547842815,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.052054097978356736,0.05373596613357861,0.08425457228395718,0.6111475252382609,0.6111475252382609,-0.1071336850730616,4.476019161044858,1.168775979740261,0.16877597974026104,218.0,97.0,0.4608879492600423,0.20507399577167018,218.0,0.436,-0.10788246116601383,97.0,0.194,-0.04644340727230056,strategy
"set_[100, 200]__x100_2_200_1",0.05349343703010896,0.05541979350288957,0.08770304696525501,0.6084125013593317,0.6084125013593317,-0.11355206180377923,4.971408534474951,1.1733735685343623,0.1733735685343622,179.0,99.0,0.3784355179704017,0.20930232558139536,179.0,0.358,-0.11061748504494298,99.0,0.198,-0.04500406822054833,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.05196952293217201,0.05371089549607854,0.08463313936218335,0.6081946059322757,0.6081946059322757,-0.10838496660032772,4.619373694313259,1.1683072163518071,0.16830721635180707,197.0,97.0,0.4164904862579281,0.20507399577167018,197.0,0.394,-0.110835380471999,97.0,0.194,-0.046527982318485275,strategy
"set_[100, 200]__x100_1_200_2",0.052645279494468275,0.05451885322096731,0.08653981605918298,0.6065493515416445,0.6065493515416445,-0.11067932437552058,4.808626214785182,1.1705493625889378,0.17054936258893788,198.0,99.0,0.4186046511627907,0.20930232558139536,198.0,0.396,-0.1124806348626303,99.0,0.198,-0.045852225756189025,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.051388669925251186,0.053110268641463704,0.08389610632627371,0.6064586328885526,0.6064586328885526,-0.10567088662670224,4.463729222306515,1.16630468732426,0.16630468732426001,215.0,98.0,0.45454545454545453,0.20718816067653276,215.0,0.43,-0.11257135351572209,98.0,0.196,-0.04710883532540611,strategy
sma200_3in_2out,0.05538259372878001,0.05727514603944178,0.09199245939184549,0.6019070985480461,0.6019070985480461,-0.11883575768363851,4.735350376636398,1.1820702718980751,0.18207027189807504,217.0,111.0,0.4587737843551797,0.2346723044397463,217.0,0.434,-0.11712288785622849,111.0,0.222,-0.04311491152187729,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.05186273461750455,0.05381265845126584,0.08632492931836941,0.5991067165388051,0.5991067165388051,-0.11205148538927065,4.9566308491385,1.1675756899892658,0.16757568998926572,169.0,100.0,0.3572938689217759,0.21141649048625794,169.0,0.338,-0.11992326986546965,100.0,0.2,-0.04663477063315274,strategy
sma150_3in_1out,0.05451876396890623,0.056762060587008584,0.09192195690908596,0.5988225249086512,0.5988225249086512,-0.12110568550445508,5.331468828943922,1.1770567255184,0.17705672551839974,166.0,100.0,0.35095137420718814,0.21141649048625794,166.0,0.332,-0.12020746149562352,100.0,0.2,-0.04397874128175107,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.05055510260895569,0.052282035575196714,0.08359754471791614,0.5983280112453436,0.5983280112453436,-0.10731551025031968,4.547507109342883,1.1635989691188666,0.16359896911886643,203.0,98.0,0.42917547568710357,0.20718816067653276,203.0,0.406,-0.12070197515893102,98.0,0.196,-0.047942402641701604,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.04988112754034551,0.051656338083081815,0.0833797092850385,0.5929579538599679,0.5929579538599679,-0.10635923262383042,4.54607659244895,1.1611245786521638,0.16112457865216387,195.0,98.0,0.41226215644820297,0.20718816067653276,195.0,0.39,-0.1260720325443069,98.0,0.196,-0.048616377710311784,strategy
"set_[100, 200]__x100_1_200_1",0.05037709968731961,0.05233795738339448,0.08589371860486586,0.5847992853675135,0.5847992853675135,-0.11146705488316064,4.942526052287273,1.1627726599028774,0.16277265990287737,169.0,100.0,0.3572938689217759,0.21141649048625794,169.0,0.338,-0.13423070103676124,100.0,0.2,-0.04812040556333768,strategy
sma100_3in_2out,0.05520397783150793,0.05792623264148306,0.09719902324393853,0.5812009682144219,0.5812009682144219,-0.12397888675003267,5.595492688265289,1.179314519597413,0.17931451959741304,169.0,101.0,0.3572938689217759,0.2135306553911205,169.0,0.338,-0.13782901818985285,101.0,0.202,-0.04329352741914936,strategy
sma250_3in_2out,0.05019400556587416,0.052170191958801196,0.0895232683891776,0.5673285228164586,0.5673285228164586,-0.11535924302440274,4.474608506227338,1.1645549514931628,0.1645549514931629,205.0,102.0,0.4334038054968288,0.2156448202959831,205.0,0.41,-0.15170146358781608,102.0,0.204,-0.04830349968478314,strategy
sma200_3in_1out,0.05088315023638411,0.052913354364296096,0.09028207148438713,0.566160384961534,0.566160384961534,-0.1204288241899111,4.959932301163477,1.166545747565244,0.166545747565244,195.0,106.0,0.41226215644820297,0.22410147991543342,195.0,0.39,-0.15286960144274075,106.0,0.212,-0.04761435501427318,strategy
