variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.08583108828590656,0.08734263075255662,0.10211971498312007,0.544053984008271,0.8416224974597138,-0.13181316641949278,5.374623845730066,1.5177300507305977,0.5177300507305976,268.0,142.0,0.5726495726495726,0.3034188034188034,268.0,0.536,0.03093485713604712,142.0,0.284,-0.01794732994242246,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08034924753699242,0.0817304704589387,0.09662976203395444,0.5170264648239539,0.8311626816224075,-0.11948578372376564,5.110966262865623,1.4796811779129617,0.4796811779129615,273.0,140.0,0.5833333333333334,0.29914529914529914,273.0,0.546,0.0039073379517300735,140.0,0.28,-0.02342917069133659,strategy
sma150_3in_3out,0.08279836130202653,0.08514283433951124,0.10697891516616256,0.5035723569158176,0.7887781616968426,-0.14213815799333976,5.631827038750576,1.4951590266160872,0.49515902661608713,195.0,142.0,0.4166666666666667,0.3034188034188034,195.0,0.39,-0.00954676995640627,142.0,0.284,-0.02098005692630248,strategy
sma200_3in_2out,0.08087213221939368,0.08259024706923557,0.10153140224571489,0.5029690920663613,0.8015405478862364,-0.13536160007111056,5.291624678329184,1.4864154323308523,0.48641543233085227,296.0,146.0,0.6324786324786325,0.31196581196581197,296.0,0.592,-0.010150034805862535,146.0,0.292,-0.022906286008935333,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.07789936808963616,0.07930370369640324,0.0951053454931324,0.5016968279933197,0.8204683519324827,-0.11998786327865461,5.009623382779916,1.463034964528033,0.46303496452803294,262.0,141.0,0.5598290598290598,0.30128205128205127,262.0,0.524,-0.011422298878904204,141.0,0.282,-0.02587905013869286,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.07790050584075697,0.07941630398868277,0.09605101361601502,0.496434143323526,0.8125070546068357,-0.11957934069659794,5.244346526304432,1.4626443807189973,0.4626443807189972,235.0,138.0,0.5021367521367521,0.2948717948717949,235.0,0.47,-0.01668498354869789,138.0,0.276,-0.02587791238757204,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.07693741328947862,0.07840316729118924,0.09469252658424901,0.4955656761859642,0.8157852945810786,-0.11885481042691237,5.000298292884597,1.4556498246701535,0.4556498246701536,242.0,140.0,0.5170940170940171,0.29914529914529914,242.0,0.484,-0.017553450686259648,140.0,0.28,-0.026841004938850402,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.07753451856539907,0.07898886282698216,0.09523240485987694,0.4951249173804225,0.8142217299693908,-0.1170654281832538,4.959660156475788,1.4606658739728873,0.4606658739728874,273.0,140.0,0.5833333333333334,0.29914529914529914,273.0,0.546,-0.017994209491801357,140.0,0.28,-0.026243899662929948,strategy
"set_[100, 200]__x100_2_200_2",0.07742351317363816,0.07892439031212976,0.09596301353124834,0.4919835456083282,0.8079662692793529,-0.12001170546710281,5.087673057393163,1.4604926512418,0.4604926512417999,270.0,137.0,0.5769230769230769,0.29273504273504275,270.0,0.54,-0.02113558126389566,137.0,0.274,-0.026354905054690854,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.0762013250492702,0.07780727329041953,0.09532962004197557,0.4851425450623066,0.8037140825323001,-0.1193591600537753,5.141249573947403,1.4501455724952932,0.4501455724952933,218.0,140.0,0.4658119658119658,0.29914529914529914,218.0,0.436,-0.027976581809917328,140.0,0.28,-0.027577093179058813,strategy
