variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.08408918612318328,0.08564562991323114,0.10118183539953193,0.5323331982670714,0.8327303275158804,-0.12946290262194202,5.30305769741605,1.5053756468613595,0.5053756468613594,275.0,145.0,0.5926724137931034,0.3125,275.0,0.55,0.03922321269406643,145.0,0.29,-0.015659612514136945,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.07854571839290973,0.07997440954249825,0.09575574904705043,0.5036218411205291,0.8206452086730729,-0.11844794654215547,5.0935791311490455,1.4673062018426821,0.46730620184268223,279.0,145.0,0.6012931034482759,0.3125,279.0,0.558,0.010511855547524285,145.0,0.29,-0.021203080244410484,strategy
sma150_3in_3out,0.08087757909772952,0.0832228925458208,0.10575091547923476,0.49085285681479274,0.7793642943330407,-0.13979013595727646,5.565390590916467,1.4821718137677196,0.48217181376771967,202.0,148.0,0.4353448275862069,0.31896551724137934,202.0,0.404,-0.002257128758212162,148.0,0.296,-0.018871219539590697,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.07657889174260775,0.07803748574556206,0.0943964524265167,0.49032997926453875,0.8122409249184851,-0.11562313521113486,4.925815266391263,1.453641129766193,0.45364112976619286,277.0,149.0,0.5969827586206896,0.32112068965517243,277.0,0.554,-0.002780006308466144,149.0,0.298,-0.023169906894712464,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.07621435758060421,0.07776384788083238,0.0952111378630853,0.48351846430189743,0.8024007926067,-0.11892524378406236,5.2307188009643655,1.4513365616166412,0.4513365616166411,250.0,146.0,0.5387931034482759,0.3146551724137931,250.0,0.5,-0.009591521271107444,146.0,0.292,-0.023534441056716,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.07523294949955824,0.07673760453876602,0.0942158088442497,0.47931054714262816,0.8011327399381304,-0.12055511987179882,5.030292203354741,1.445095412554389,0.4450954125543891,263.0,152.0,0.5668103448275862,0.3275862068965517,263.0,0.526,-0.013799438430376738,152.0,0.304,-0.02451584913776198,strategy
"set_[100, 200]__x100_2_200_2",0.07558777839938702,0.07713879935713179,0.09513052427092777,0.47785627593749935,0.7966459350410088,-0.11958826136985,5.092812765379786,1.4480293750783602,0.4480293750783601,274.0,145.0,0.5905172413793104,0.3125,274.0,0.548,-0.015253709635505572,145.0,0.29,-0.0241610202379332,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.07485906296252443,0.0764752052816454,0.09449321321929503,0.4756826269396143,0.7970624828960683,-0.11829884466590193,5.108444091376511,1.4411445106240786,0.4411445106240785,227.0,149.0,0.4892241379310345,0.32112068965517243,227.0,0.454,-0.017427358633390618,149.0,0.298,-0.024889735674795806,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.07442724949438426,0.07598404605335377,0.09382461016333365,0.4745429615385199,0.7977551306168611,-0.11941289518033815,5.017655458380278,1.4387894774625236,0.4387894774625236,253.0,150.0,0.5452586206896551,0.3232758620689655,253.0,0.506,-0.018567024034485,150.0,0.3,-0.02532154914293597,strategy
sma200_3in_2out,0.07723403392404835,0.0791001971918201,0.10059471059060267,0.47282304220307453,0.7742049781636766,-0.1339537731978906,5.300711268029506,1.4621707121050933,0.46217071210509336,287.0,157.0,0.6185344827586207,0.33836206896551724,287.0,0.574,-0.02028694336993034,157.0,0.314,-0.02251476471327187,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.07424249430878163,0.07582692408389619,0.09388211449814016,0.4697030704908033,0.7934152511110298,-0.1157360252067964,5.066376078811585,1.4376193831126076,0.4376193831126077,250.0,151.0,0.5387931034482759,0.3254310344827586,250.0,0.5,-0.0234069150822016,151.0,0.302,-0.02550630432853859,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.07324843918123505,0.07480068074182984,0.09286713620753546,0.4656505523513322,0.7924722840001314,-0.1171254714864026,4.862450468813052,1.4309785359547758,0.4309785359547756,265.0,153.0,0.5711206896551724,0.3297413793103448,265.0,0.53,-0.02745943322167268,153.0,0.306,-0.026500359456085157,strategy
sma100_3in_3out,0.07694688492377602,0.07940943357596227,0.10456075058565314,0.46133633325923884,0.7518426971738357,-0.14157123475005867,5.540447524804801,1.4557866122532812,0.4557866122532813,216.0,142.0,0.46551724137931033,0.30603448275862066,216.0,0.432,-0.03177365231376608,142.0,0.284,-0.022801913713544196,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.07288958865067223,0.07453828148470922,0.09324380633519128,0.4613305939842588,0.7873091938619391,-0.1165019002228782,5.034983100732166,1.4277314006546435,0.4277314006546435,228.0,152.0,0.49137931034482757,0.3275862068965517,228.0,0.456,-0.03177939158874609,152.0,0.304,-0.026859209986647998,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.07244688800052637,0.07404712225641757,0.09248133640571464,0.4606887224878935,0.7889268274343908,-0.11567438533775097,4.846113508830204,1.424834684628923,0.424834684628923,252.0,150.0,0.5431034482758621,0.3232758620689655,252.0,0.504,-0.03242126308511142,150.0,0.3,-0.027301910636793842,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.07292892367976964,0.07452704287710014,0.09347454461483251,0.4596496597445601,0.7841781122963994,-0.1212906040057506,5.169991359019187,1.429567685220888,0.4295676852208881,224.0,150.0,0.4827586206896552,0.3232758620689655,224.0,0.448,-0.03346032582844481,150.0,0.3,-0.026819874957550588,strategy
"set_[100, 200]__x100_1_200_2",0.072635132359232,0.0742334136617275,0.09318752380641979,0.4563541589758338,0.7822663248467987,-0.11692284479186599,4.990526719223226,1.4277830055860055,0.42778300558600546,273.0,151.0,0.5883620689655172,0.3254310344827586,273.0,0.546,-0.03675582659717107,151.0,0.302,-0.027113666278088217,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.0725316716270867,0.07426464361997953,0.09412765647234506,0.4541484389221085,0.7768274806029094,-0.12050604339259624,5.30433439271061,1.425855868077733,0.4258558680777329,204.0,149.0,0.4396551724137931,0.32112068965517243,204.0,0.408,-0.038961546650896385,149.0,0.298,-0.02721712701023353,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.07211253339658019,0.07377348439168789,0.09321941900523434,0.4540733614259139,0.7795074823845178,-0.12043604362834821,5.165130407010052,1.4232781897792377,0.4232781897792376,213.0,151.0,0.45905172413793105,0.3254310344827586,213.0,0.426,-0.03903662414709099,151.0,0.302,-0.027636265240740022,strategy
sma150_3in_1out,0.07302116830659604,0.07514801713067261,0.09806405445611208,0.4498080912474914,0.7600007089912565,-0.1292740089556297,5.537169863400025,1.4280668831308636,0.4280668831308634,190.0,153.0,0.40948275862068967,0.3297413793103448,190.0,0.38,-0.0433018943255135,153.0,0.306,-0.026727630330724176,strategy
"set_[100, 200]__x100_2_200_1",0.07210423736833349,0.07382295686463299,0.09435475291642938,0.44666863906897847,0.7681970830952733,-0.12212342693504664,5.3529379965372,1.4246786287174769,0.4246786287174768,223.0,149.0,0.48060344827586204,0.32112068965517243,223.0,0.446,-0.046441346504026426,149.0,0.298,-0.027644561268986737,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.07093939046031514,0.07259011908016395,0.09215317725836303,0.44551181032947823,0.7750249364933878,-0.11739290253989251,5.027708625832121,1.4153996966652556,0.41539969666525567,225.0,151.0,0.4849137931034483,0.3254310344827586,225.0,0.45,-0.04759817524352665,151.0,0.302,-0.028809408177005086,strategy
sma250_3in_2out,0.07368777597635372,0.07593521490203448,0.10084346278425868,0.44523445754862956,0.7460144770649603,-0.13270528576948729,5.398808323639463,1.4352907617373925,0.4352907617373924,236.0,156.0,0.5086206896551724,0.33620689655172414,236.0,0.472,-0.047875528024375315,156.0,0.312,-0.0260610226609665,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.07012723666062848,0.0718365605947517,0.09190647473329502,0.439820912446581,0.7702313034269258,-0.11638052453323612,5.014920285225903,1.409273005553473,0.409273005553473,215.0,151.0,0.46336206896551724,0.3254310344827586,215.0,0.43,-0.05328907312642387,151.0,0.302,-0.029621561976691736,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.07055723611555241,0.07232771982304334,0.09291248130502662,0.4393338576573368,0.76651086148626,-0.11763326586632511,5.242735323545503,1.4123886173755984,0.41238861737559834,208.0,153.0,0.4482758620689655,0.3297413793103448,208.0,0.416,-0.05377612791566808,153.0,0.306,-0.029191562521767807,strategy
sma250_3in_1out,0.07134672694938356,0.07367453944579769,0.09916283335266562,0.43292969520006375,0.7388621557130982,-0.1305495234929859,5.356420437988428,1.4172575291578604,0.4172575291578606,228.0,153.0,0.49137931034482757,0.3297413793103448,228.0,0.456,-0.06018029037294113,153.0,0.306,-0.028402071687936677,strategy
sma100_3in_2out,0.07285534734408093,0.07517740152244348,0.10109476374174617,0.4304855404830042,0.73089465781905,-0.13352983774783447,5.6212780380631235,1.4302959537990108,0.43029595379901064,244.0,140.0,0.5258620689655172,0.3017241379310345,244.0,0.488,-0.0626244450900007,140.0,0.28,-0.02689345129323929,strategy
sma200_3in_3out,0.0727610373776487,0.07551881038508623,0.10475570618905224,0.4271039025703649,0.7178069290076311,-0.15751847295017268,6.25148837146017,1.4289303766247834,0.4289303766247833,193.0,158.0,0.41594827586206895,0.34051724137931033,193.0,0.386,-0.06600608300264002,158.0,0.316,-0.02698776125967152,strategy
"set_[100, 200]__x100_1_200_1",0.06914046607217321,0.0709175711692287,0.09248298145151265,0.4241286719258716,0.7526228229123682,-0.11747537040567799,5.259302550497133,1.404325364511379,0.404325364511379,229.0,152.0,0.49353448275862066,0.3275862068965517,229.0,0.458,-0.06898131364713325,152.0,0.304,-0.03060833256514701,strategy
sma200_3in_1out,0.07032032152751867,0.07246851220682247,0.09878582235920835,0.4153640401964905,0.7226303887910679,-0.1398984424032483,5.708282309529053,1.4162501226382787,0.4162501226382789,193.0,153.0,0.41594827586206895,0.3297413793103448,193.0,0.386,-0.07774594537651444,153.0,0.306,-0.029428477109801548,strategy
sma250_3in_3out,0.07109017055588268,0.07410832170722709,0.10592584880017121,0.4063108047085177,0.6942852116228747,-0.15675374668789713,6.190658989500892,1.4174993027040974,0.4174993027040973,209.0,157.0,0.4504310344827586,0.33836206896551724,209.0,0.418,-0.08679918086448717,157.0,0.314,-0.028658628081437536,strategy
sma100_3in_1out,0.06714589740381689,0.06936663013163492,0.0980386011814592,0.3809342663353314,0.6914137090316472,-0.13906089941942198,6.095370908680743,1.3974123809866341,0.3974123809866343,248.0,147.0,0.5344827586206896,0.3168103448275862,248.0,0.496,-0.11217571923767347,147.0,0.294,-0.032602901233503324,strategy
baseline_buyhold,0.09974879863732022,0.1118034664190468,0.1865871600366618,0.4931099855730049,0.6635679073857731,-0.31860114270680023,9.465840889603767,1.6591281689780741,0.6591281689780742,,,,,,,,,,,baseline
