variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
"set_[100, 150, 200]__x100_1_150_1_200_1",0.07808243911950341,0.08184137607786622,0.11450064668381259,0.7160875686287173,0.7160875686287173,-0.19959996066089158,7.86530065912208,6.34925957809599,5.34925957809599,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_1_200_2",0.07929350583112588,0.0830272708336102,0.11498330072663845,0.7245767806690248,0.7245767806690248,-0.20032970296417185,7.71593964320724,6.50684865420179,5.50684865420179,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08170635445393343,0.08532566270750912,0.11563063452501325,0.738565033161721,0.738565033161721,-0.18363639854448932,7.405315991052699,6.917641727330821,5.917641727330821,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_2",0.08288507480465396,0.08651155746325309,0.11636286933579872,0.7453378520504489,0.7453378520504489,-0.1874986702063926,7.298753317560764,7.074417725371316,6.074417725371316,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_1",0.08239061828126976,0.08602093980310671,0.11616628805273047,0.7420902038475676,0.7420902038475676,-0.19782512813344422,7.727385048342137,7.018738739067002,6.018738739067002,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08359645381709846,0.0872068345588507,0.11672176925208864,0.7499090618775559,0.7499090618775559,-0.19849005602421158,7.583699933520226,7.194129997723607,6.194129997723607,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08600561596122008,0.08950522643274961,0.11744213706008969,0.7630580951640605,0.7630580951640605,-0.1877135126512875,7.326140457192835,7.6325929619785855,6.632592961978585,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08717886200318148,0.0906911211884936,0.11824181449201716,0.7691684066652158,0.7691684066652158,-0.19123645988143248,7.224755267317797,7.806820179753747,6.806820179753747,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_1",0.0829743582893342,0.08638042224424494,0.11481592252877641,0.7512383972535689,0.7512383972535689,-0.17289175390454492,7.380364238690978,7.172638464893547,6.172638464893547,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08359198137494989,0.0870190843087017,0.11529839818578466,0.754907255813374,0.754907255813374,-0.18000289855533486,7.289825045617839,7.2240964215579915,6.2240964215579915,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08414661970505133,0.08756631699998893,0.11562005916179074,0.7573392583816718,0.7573392583816718,-0.17796813911908896,7.263885474388451,7.326376706465819,6.326376706465819,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08472613238132687,0.08820497906444569,0.11638872590879742,0.7592212497969436,0.7592212497969436,-0.18472283313358187,7.189783300865759,7.378313225738019,6.378313225738019,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08728563159692987,0.09055998596948545,0.11658090011699243,0.7759668438530529,0.7759668438530529,-0.1753615536950946,7.376546883829466,7.911428283170686,6.911428283170686,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08790014496242676,0.0911986480339422,0.11710214784127554,0.779227929601157,0.779227929601157,-0.18446693685069365,7.291702277217458,7.970480982366777,6.970480982366777,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_1",0.0884523608800894,0.09174588072522942,0.11745222810367695,0.7813870170691675,0.7813870170691675,-0.18277230130274175,7.27129256088983,8.08229105419165,7.082291054191651,1.0,0.0,strategy_rollup
