variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08157489176540193,0.08569168622966845,0.11984067773560421,0.7168668684842245,0.7168668684842245,-0.21654511323408607,8.201455910464404,6.82383699791981,5.82383699791981,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_1_200_2",0.08249314054273478,0.0866103551085138,0.12037673976694091,0.7222567190202979,0.7222567190202979,-0.21349287629724714,8.080640230993994,6.953816717514269,5.953816717514269,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08523543770377724,0.08920904620562164,0.12101576244350039,0.7378728104996188,0.7378728104996188,-0.19250453612306442,7.646523743645307,7.44477118213906,6.44477118213906,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0861149206509828,0.09012771508446699,0.12182297220490264,0.7415295082633792,0.7415295082633792,-0.19366154907348165,7.562774746616437,7.567830162746407,6.567830162746407,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_1",0.08645260177957592,0.09041286062071185,0.12165100224479357,0.7459352786659834,0.7459352786659834,-0.21030308997546213,8.013163822965705,7.616213999869384,6.616213999869384,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08736348950475674,0.0913315294995572,0.1222734205467791,0.7506027130804288,0.7506027130804288,-0.20721296737111825,7.90169534578811,7.765199088760227,6.765199088760227,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09010249388604456,0.09393022059666505,0.12298713651711006,0.7653444495118484,0.7653444495118484,-0.19409226580535835,7.487902171075981,8.28994238169295,7.289942381692949,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09097431745958828,0.09484888947551036,0.12387457515549587,0.7682882655825843,0.7682882655825843,-0.19484490602040527,7.411436370554562,8.431221619443422,7.431221619443423,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08727690044708103,0.09095916545357241,0.12009238894329595,0.7570247121828064,0.7570247121828064,-0.18084134075461242,7.64216803642226,7.8268733443139,6.8268733443139,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08772104961973826,0.09144798979740704,0.12065177632698383,0.7588819524311435,0.7588819524311435,-0.18933777627436413,7.523310362855024,7.849905379015811,6.849905379015811,1.0,0.0,strategy_rollup
