variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08708925634477249,0.09000381058226063,0.11372410302075657,0.791422470624661,0.791422470624661,-0.17924122204547802,6.838005406387191,7.654069197906999,6.654069197906999,1.0,0.0,1.0,0.0,1,1.0,0.2003927092108958,0,0.0,-0.01430121451983779
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08591356172107245,0.08877527075770968,0.11244875578069054,0.7894731261486665,0.7894731261486665,-0.1734964518000132,6.976974230752503,7.454840675442909,6.454840675442909,1.0,0.0,1.0,0.0,1,1.0,0.19844336473490132,0,0.0,-0.015476909143537831
"set_[100, 200]__x100_2_200_2",0.0845881017454313,0.08758346955340136,0.11270818594155793,0.7770817072578529,0.7770817072578529,-0.1842353283764729,6.627500822545921,7.236197344515517,6.236197344515517,1.0,0.0,1.0,0.0,1,1.0,0.18605194584408768,0,0.0,-0.016802369119178984
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08492663895669739,0.08795324703930951,0.11320564145815293,0.7769334275785356,0.7769334275785356,-0.1798270095785511,7.074410074640605,7.291449121553237,6.291449121553237,1.0,0.0,1.0,0.0,1,1.0,0.1859036661647704,0,0.0,-0.016463831907912896
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08373896204738585,0.08672470721475858,0.11204320379818349,0.7740291626341786,0.7740291626341786,-0.1753061368819814,7.21139431116276,7.099372357155276,6.099372357155276,1.0,0.0,1.0,0.0,1,1.0,0.18299940122041347,0,0.0,-0.017651508817224437
sma250_3in_2out,0.09116404029666558,0.09484449263997918,0.12297046032692384,0.7712786663384833,0.7712786663384833,-0.21227789693047197,7.827089249965666,8.38483794815613,7.384837948156131,1.0,0.0,1.0,0.0,1,1.0,0.18024890492471812,0,0.0,-0.0102264305679447
sma200_3in_2out,0.08842478319375746,0.09189747954717276,0.11937754597814457,0.7698054001210345,0.7698054001210345,-0.22997423596773323,7.527063544278372,7.886576562111883,6.886576562111883,1.0,0.0,1.0,0.0,1,1.0,0.1787756387072693,0,0.0,-0.012965687670852821
"set_[100, 200]__x100_2_200_1",0.08274052531342635,0.08574065981657494,0.11149282165928837,0.7690240370684167,0.7690240370684167,-0.15980862679779775,6.854496371836783,6.941663474419203,5.941663474419203,1.0,0.0,1.0,0.0,1,1.0,0.17799427565465153,0,0.0,-0.018649945551183933
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08303026961017368,0.08606354640811446,0.11197057295300468,0.7686264715662062,0.7686264715662062,-0.17986389801582012,6.889102547759457,6.9870808572748935,5.9870808572748935,1.0,0.0,1.0,0.0,1,1.0,0.17759671015244105,0,0.0,-0.018360201254436603
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08184660504398544,0.0848350065835635,0.11077623447693469,0.7658231658093366,0.7658231658093366,-0.16957533497045615,7.0698611007510515,6.803318774398406,5.803318774398406,1.0,0.0,1.0,0.0,1,1.0,0.17479340439557145,0,0.0,-0.01954386582062484
