variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma200_3in_2out,0.1251756009127436,0.12699857696041297,0.1341663694894689,0.9465753410759278,0.9465753410759278,-0.1919479689633515,6.437431528081124,3.7619708180316844,2.7619708180316844,1.0,0.0,1.0,0.0,1.0,1.0,0.04517006686787162,0.0,0.0,-0.03721744373229319,strategy
sma200_3in_1out,0.11966942267015512,0.12165048261798965,0.13081629267764366,0.9299337271218937,0.9299337271218937,-0.21423205940940912,6.042524264838059,3.5602561911285378,2.5602561911285378,1.0,0.0,1.0,0.0,1.0,1.0,0.028528452913837543,0.0,0.0,-0.042723621974881665,strategy
sma200_3in_3out,0.12276914533981764,0.12515833134702795,0.13636661938137076,0.9178076857431139,0.9178076857431139,-0.2253044941236653,7.240259987374061,3.6725652337954546,2.6725652337954546,1.0,0.0,1.0,0.0,1.0,1.0,0.016402411535057726,0.0,0.0,-0.039623899305219146,strategy
"set_[100, 200]__x100_2_200_2",0.11082769977967799,0.11283030509737225,0.12388898966607394,0.910737147840911,0.910737147840911,-0.17238812679337875,5.891713813150747,3.256873074606057,2.256873074606057,1.0,0.0,1.0,0.0,1.0,1.0,0.009331873632854815,0.0,0.0,-0.0515653448653588,strategy
"set_[100, 200]__x100_2_200_1",0.10805347961082745,0.1101562579261606,0.12249493522231429,0.8992719390907028,0.8992719390907028,-0.17093522643918976,5.634615589376558,3.166655420596354,2.166655420596354,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021333351173533632,0.0,0.0,-0.054339565034209336,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.10810447793510103,0.11030118321377362,0.1232810050140603,0.8947135302895503,0.8947135302895503,-0.18283769968046865,6.107088549943495,3.1682931328771216,2.1682931328771216,0.0,0.0,0.0,0.0,0.0,0.0,-0.00669174391850591,0.0,0.0,-0.05428856670993576,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.11005850231952174,0.11236380211535099,0.12569122930023105,0.8939669278510624,0.8939669278510624,-0.16912407911226313,5.910128452854116,3.2316270496461974,2.2316270496461974,0.0,0.0,0.0,0.0,0.0,0.0,-0.007438346356993808,0.0,0.0,-0.05233454232551504,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.10881682960383876,0.11111527746927255,0.12466225051883636,0.8913305913122683,0.8913305913122683,-0.18256286902544627,6.257653375683268,3.191249730623831,2.191249730623831,0.0,0.0,0.0,0.0,0.0,0.0,-0.010074682895787834,0.0,0.0,-0.05357621504119803,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.10821733453754345,0.11058110400120989,0.12472401741327242,0.8866063352882545,0.8866063352882545,-0.18468337493284273,5.759815407253121,3.1719200471718816,2.1719200471718816,0.0,0.0,0.0,0.0,0.0,0.0,-0.014798938919801663,0.0,0.0,-0.054175710107493336,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10622779375029778,0.10851848509963252,0.122574619047251,0.8853259014233608,0.8853259014233608,-0.19201721152615403,5.949493284570838,3.1085325558130883,2.1085325558130883,0.0,0.0,0.0,0.0,0.0,0.0,-0.0160793727846954,0.0,0.0,-0.056165250894739005,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.1069984476193333,0.10933257935513144,0.12352573705434082,0.885099591083876,0.885099591083876,-0.18256286902544616,6.058858025022594,3.1329476430442194,2.1329476430442194,0.0,0.0,0.0,0.0,0.0,0.0,-0.016305683124180126,0.0,0.0,-0.055394597025703485,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.10800768439765096,0.11068048315412088,0.1270119619349886,0.8714177898517383,0.8714177898517383,-0.19335031328048632,6.3996488750112475,3.1651854533600523,2.1651854533600523,0.0,0.0,0.0,0.0,0.0,0.0,-0.029987484356317817,0.0,0.0,-0.05438536024738583,strategy
sma250_3in_3out,0.12180747568396466,0.12545304543002034,0.14450257573298528,0.8681716903222194,0.8681716903222194,-0.25884289289437135,6.7784746773664,3.6373815189209435,2.6373815189209435,0.0,0.0,0.0,0.0,0.0,0.0,-0.03323358388583675,0.0,0.0,-0.04058556896107213,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.1062242891214189,0.10889778503997975,0.1256545726014827,0.8666440288277644,0.8666440288277644,-0.20780472721410737,6.208741892324816,3.1084219226886383,2.1084219226886383,0.0,0.0,0.0,0.0,0.0,0.0,-0.034761245380291794,0.0,0.0,-0.056168755523617886,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.1038452923592128,0.10656366876363346,0.12421397561251253,0.8579040179509311,0.8579040179509311,-0.1694034280247697,5.876618340836716,3.034144623961635,2.034144623961635,0.0,0.0,0.0,0.0,0.0,0.0,-0.04350125625712509,0.0,0.0,-0.058547752285823984,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.10188414730331696,0.10450104986205609,0.12190351629103978,0.8572439339039575,0.8572439339039575,-0.18311253033549119,6.141811650263644,2.9741333980412517,1.9741333980412517,0.0,0.0,0.0,0.0,0.0,0.0,-0.044161340304098684,0.0,0.0,-0.060508897341719825,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.10261639325009586,0.10531514411755503,0.12313068419868925,0.8553119379050453,0.8553119379050453,-0.18283769968046895,6.2732326212238325,2.9964125234719146,1.9964125234719146,0.0,0.0,0.0,0.0,0.0,0.0,-0.04609333630301082,0.0,0.0,-0.05977665139494093,strategy
"set_[100, 200]__x100_1_200_2",0.1014989040055001,0.10413010506979598,0.12175033836832912,0.8552756934011391,0.8552756934011391,-0.16818073004417985,5.924958278667963,2.962472765745382,1.9624727657453822,0.0,0.0,0.0,0.0,0.0,0.0,-0.04612958080691709,0.0,0.0,-0.06089414063953669,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.10199511878779499,0.10478097064949235,0.12337167157612831,0.8493114287167269,0.8493114287167269,-0.18495749265227043,5.734672494706887,2.9775000564631235,1.9775000564631235,0.0,0.0,0.0,0.0,0.0,0.0,-0.05209384549132923,0.0,0.0,-0.060397925857241797,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.10078881076440682,0.10353244600341392,0.12211780629766311,0.8478079417104233,0.8478079417104233,-0.1828376996804687,6.065756161310957,2.9410885736527326,1.9410885736527326,0.0,0.0,0.0,0.0,0.0,0.0,-0.05359733249763288,0.0,0.0,-0.061604233880629966,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.09999904999152087,0.10271835174791498,0.12132790501257713,0.8466176988489743,0.8466176988489743,-0.19228895489820635,5.968218545265178,2.9174704614301303,1.9174704614301303,0.0,0.0,0.0,0.0,0.0,0.0,-0.05478757535908185,0.0,0.0,-0.062393994653515916,strategy
"set_[100, 200]__x100_1_200_1",0.09870494215345738,0.10145605789858432,0.12064581330244833,0.840941389687871,0.840941389687871,-0.17135333641879524,5.673355747669572,2.8791429089925114,1.8791429089925114,0.0,0.0,0.0,0.0,0.0,0.0,-0.06046388452018514,0.0,0.0,-0.06368810249157941,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.101813299200044,0.10488034980240336,0.1254978203920192,0.8357145126089619,0.8357145126089619,-0.19362151708732897,6.361860695204663,2.9719858188775126,1.9719858188775126,0.0,0.0,0.0,0.0,0.0,0.0,-0.06569076159909426,0.0,0.0,-0.06057974544499278,strategy
sma150_3in_1out,0.10208594818745387,0.10524293944657635,0.1263372066135023,0.8330320280750018,0.8330320280750018,-0.23394249752276827,7.245561634614048,2.980258226629595,1.9802582266295952,0.0,0.0,0.0,0.0,0.0,0.0,-0.0683732461330544,0.0,0.0,-0.06030709645758292,strategy
sma250_3in_1out,0.10779410416170987,0.11143079615130846,0.13416476033682315,0.8305518965752212,0.8305518965752212,-0.21261311571589306,6.254642296272464,3.158338010011312,2.158338010011312,0.0,0.0,0.0,0.0,0.0,0.0,-0.07085337763283495,0.0,0.0,-0.05459894048332692,strategy
sma150_3in_2out,0.10430579263063566,0.10768522221307315,0.12971347883445833,0.8301775820113664,0.8301775820113664,-0.2326635696482517,7.548218943588508,3.048394943027751,2.048394943027751,0.0,0.0,0.0,0.0,0.0,0.0,-0.07122769219668978,0.0,0.0,-0.058087252014401125,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.10002051884053453,0.10309765168826225,0.12425939915174623,0.8296970079692632,0.8296970079692632,-0.2080710713003682,6.1783529762908325,2.9181102045463536,1.9181102045463536,0.0,0.0,0.0,0.0,0.0,0.0,-0.071708266238793,0.0,0.0,-0.062372525804502255,strategy
sma100_3in_2out,0.09520759064485129,0.09866203323433155,0.12386180709943319,0.7965492797560116,0.7965492797560116,-0.16612251308143774,6.424586681639978,2.777845454482816,1.777845454482816,0.0,0.0,0.0,0.0,0.0,0.0,-0.10485599445204452,0.0,0.0,-0.0671854540001855,strategy
sma150_3in_3out,0.10071928173355782,0.1050634879449553,0.13449807025198085,0.7811523819495692,0.7811523819495692,-0.20037992247053898,7.810729445368464,2.9390023097740037,1.9390023097740037,0.0,0.0,0.0,0.0,0.0,0.0,-0.12025289225848701,0.0,0.0,-0.06167376291147897,strategy
sma100_3in_3out,0.09548342004393318,0.09987663518117999,0.13133640707346408,0.7604641957756101,0.7604641957756101,-0.19958448823979832,7.067559628604666,2.7857150295454947,1.7857150295454947,0.0,0.0,0.0,0.0,0.0,0.0,-0.14094107843244608,0.0,0.0,-0.06690962460110361,strategy
sma250_3in_2out,0.101151305091713,0.10638083926761813,0.14100803599933068,0.7544310401438618,0.7544310401438618,-0.2812101321106718,7.780117106961104,2.9519873209399705,1.9519873209399705,0.0,0.0,0.0,0.0,0.0,0.0,-0.1469742340641944,0.0,0.0,-0.06124173955332379,strategy
sma100_3in_1out,0.07675090086218939,0.08126163317917898,0.12060202186998181,0.673799924074119,0.673799924074119,-0.17908148176901423,7.094994181756211,2.2950213331033344,1.2950213331033344,0.0,0.0,0.0,0.0,0.0,0.0,-0.22760535013393712,0.0,0.0,-0.0856421437828474,strategy
baseline_buyhold,0.1623930446450368,0.1679694691600191,0.18634178650395777,0.9014052742080562,0.9014052742080562,-0.32392016368416743,5.323662410435681,5.422304846756603,4.422304846756603,,,,,,,,,,,baseline
