window,ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2012-05-01_2017-04-30,IVW,"set_[100, 200]__x100_1_200_1",0.06342275409067666,0.065834401988709,0.09304073739796917,0.7075868466853532,0.7075868466853532,-0.13227920627536222,5.798447060411189,1.3589760891398013,0.3589760891398013
2012-05-01_2017-04-30,IWF,"set_[100, 200]__x100_1_200_1",0.05570815961338105,0.058397466206318874,0.091355269823659,0.6392347843648447,0.6392347843648447,-0.14144187825709564,6.2636493736891286,1.3105062816068047,0.3105062816068047
2012-05-01_2017-04-30,QQQ,"set_[100, 200]__x100_1_200_1",0.0848707374187847,0.08701047813166139,0.10515845599199132,0.8274225530497324,0.8274225530497324,-0.1472393715416151,5.482888376283409,1.5013045759559065,0.5013045759559065
2012-05-01_2017-04-30,SPY,"set_[100, 200]__x100_1_200_1",0.04925955023137929,0.05183014763561439,0.08641741300954545,0.5997650916706957,0.5997650916706957,-0.14051254640737718,6.236465184006919,1.2710599879618303,0.2710599879618303
2012-05-01_2017-04-30,IVW,"set_[100, 200]__x100_2_200_1",0.07233719888355017,0.0744864123043929,0.09623844691951608,0.7739777052583326,0.7739777052583326,-0.11926207936514616,5.086558156042676,1.416758317151044,0.41675831715104406
2012-05-01_2017-04-30,IWF,"set_[100, 200]__x100_2_200_1",0.07640852586537417,0.07812186681901577,0.0946050691095074,0.8257682971362563,0.8257682971362563,-0.11694557455189544,4.888729405342077,1.443793109833625,0.44379310983362497
2012-05-01_2017-04-30,QQQ,"set_[100, 200]__x100_2_200_1",0.09667511401992246,0.09830249768138052,0.10947972462135801,0.8979059640619799,0.8979059640619799,-0.169907266954216,6.2225848633185,1.5845750866809276,0.5845750866809276
2012-05-01_2017-04-30,SPY,"set_[100, 200]__x100_2_200_1",0.06797826579581412,0.06977863442284675,0.08941673051527803,0.7803755966107949,0.7803755966107949,-0.1137390819260011,4.571621968789457,1.3882639429649168,0.38826394296491684
2012-05-01_2017-04-30,IVW,"set_[100, 200]__x100_1_200_2",0.07067353029072732,0.07274250978327271,0.09423117090634302,0.7719580377025346,0.7719580377025346,-0.10268308378272559,4.3290790842991616,1.4058282608757982,0.40582826087579815
2012-05-01_2017-04-30,IWF,"set_[100, 200]__x100_1_200_2",0.051431917176179676,0.05441906308395168,0.0922350046343924,0.5900044489579829,0.5900044489579829,-0.15029809957457763,6.617566730572734,1.2842408554083733,0.2842408554083733
2012-05-01_2017-04-30,QQQ,"set_[100, 200]__x100_1_200_2",0.08245790987737744,0.0848874444728031,0.10613985312814359,0.7997697563262853,0.7997697563262853,-0.1791780167015482,7.037230379515156,1.4847230010720331,0.48472300107203314
2012-05-01_2017-04-30,SPY,"set_[100, 200]__x100_1_200_2",0.049378060354579256,0.052037295123814324,0.08750292820333196,0.59469204279535,0.59469204279535,-0.15368473136892274,6.522093876824497,1.27177624864962,0.27177624864962
2012-05-01_2017-04-30,IVW,"set_[100, 200]__x100_2_200_2",0.07953015351424142,0.0813945200989566,0.09849216869847893,0.8264060094781285,0.8264060094781285,-0.08972093086597596,3.703167238603545,1.4647996779451462,0.4647996779451462
