variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
200SMA_3in_2out_hybrid20SMA,0.09615694356760819,0.09884525551518193,0.12426474867817314,0.7830445713588005,0.7830445713588005,-0.16772323334598305,5.96826566896085,1.6090641837657704,0.6090641837657705,60.0,32.0,0.6185567010309279,0.32989690721649484,60.0,0.6,0.047397913622235215,32.0,0.32,-0.02771527344620507,strategy
sma150_3in_2out,0.08869712322765735,0.09114949728140473,0.11591814651616905,0.7650066057575199,0.7650066057575199,-0.159332416973875,6.2897831335173,1.5502172285865026,0.5502172285865027,56.0,31.0,0.5773195876288659,0.31958762886597936,56.0,0.56,0.02935994802095471,31.0,0.31,-0.03517509378615589,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08221544756841713,0.08461328734375737,0.11015242517892601,0.7464695562020993,0.7464695562020993,-0.14565806355547145,6.038909145440615,1.5012210285050092,0.5012210285050092,54.0,29.0,0.5567010309278351,0.29896907216494845,54.0,0.54,0.010822898465534102,29.0,0.29,-0.04165676944539612,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08284570719428168,0.08530043642572631,0.1110910974245306,0.7463152049722546,0.7463152049722546,-0.1508933978969892,6.048654670453175,1.5057493958059889,0.5057493958059888,53.0,29.0,0.5463917525773195,0.29896907216494845,53.0,0.53,0.010668547235689323,29.0,0.29,-0.04102650981953159,strategy
sma150_3in_3out,0.08864438445978834,0.09147858912800258,0.12044006833334843,0.7339390290920188,0.7339390290920188,-0.17717908961223255,6.971023128334646,1.5561908493634882,0.5561908493634883,58.0,29.0,0.5979381443298969,0.29896907216494845,58.0,0.58,-0.0017076286445463448,29.0,0.29,-0.03522783255402491,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.0796149525207364,0.08216884463710963,0.10906772009378528,0.7324968709657597,0.7324968709657597,-0.1489095336144797,6.101757496406029,1.4812287181598855,0.48122871815988566,51.0,28.0,0.5257731958762887,0.28865979381443296,51.0,0.51,-0.0031497867708055434,28.0,0.28,-0.04425726449307686,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.07898358447140015,0.08148169555514069,0.10813438993007317,0.7323623996262484,0.7323623996262484,-0.1446753778192945,6.111421451709271,1.4767928740616738,0.4767928740616739,50.0,26.0,0.5154639175257731,0.26804123711340205,50.0,0.5,-0.003284258110316827,26.0,0.26,-0.04488863254241311,strategy
"set_[100, 200]__x100_2_200_2",0.07979063510047403,0.0823759059978871,0.10998360061490713,0.7278725480884486,0.7278725480884486,-0.14923088230478018,6.0621000143161465,1.4837183325296752,0.4837183325296752,52.0,28.0,0.5360824742268041,0.28865979381443296,52.0,0.52,-0.007774109648116646,28.0,0.28,-0.04408158191333921,strategy
"set_[100, 200]__x100_2_200_1",0.07883649772619293,0.08134518237493367,0.10867262136975789,0.7270139092413076,0.7270139092413076,-0.1419995785378417,6.089117601133032,1.477104582762304,0.4771045827623039,50.0,29.0,0.5154639175257731,0.29896907216494845,50.0,0.5,-0.008632748495257612,29.0,0.29,-0.04503571928762032,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.07856861373056714,0.08117941660615915,0.1087034038021239,0.7263344731170507,0.7263344731170507,-0.14866294734281207,6.140187706466905,1.473408179133361,0.4734081791333611,50.0,28.0,0.5154639175257731,0.28865979381443296,50.0,0.5,-0.009312184619514474,28.0,0.28,-0.04530360328324612,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.07936766824665903,0.0819267349514522,0.10964242995811346,0.725076269313007,0.725076269313007,-0.1494901353597477,6.207218543998485,1.4815142471337004,0.48151424713370033,52.0,28.0,0.5360824742268041,0.28865979381443296,52.0,0.52,-0.010570388423558284,28.0,0.28,-0.04450454876715423,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.07916123873954638,0.0818665656881281,0.10992182438645165,0.7245435081891773,0.7245435081891773,-0.15340987712092324,6.147761247578561,1.4775663733209108,0.4775663733209109,50.0,29.0,0.5154639175257731,0.29896907216494845,50.0,0.5,-0.011103149547387838,29.0,0.29,-0.044710978274266885,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.07871429161691249,0.08123958586948325,0.10891258883301207,0.7235024247000251,0.7235024247000251,-0.1446761139000936,6.226447429846571,1.4769900692340932,0.4769900692340931,50.0,28.0,0.5154639175257731,0.28865979381443296,50.0,0.5,-0.012144233036540029,28.0,0.28,-0.04515792539690077,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.07844363631209834,0.0810443250351033,0.1090676997914957,0.7213203752964097,0.7213203752964097,-0.1500133227129751,6.062713974126025,1.4742716895184353,0.4742716895184354,52.0,27.0,0.5360824742268041,0.27835051546391754,52.0,0.52,-0.01432628244015553,27.0,0.27,-0.045428580701714905,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.07780332217921777,0.08035717595313434,0.10821699610540696,0.7206283952721975,0.7206283952721975,-0.14475947794306154,6.039141010445165,1.469745869766916,0.46974586976691596,53.0,29.0,0.5463917525773195,0.29896907216494845,53.0,0.53,-0.015018262464367644,29.0,0.29,-0.046068894834595475,strategy
sma200_3in_1out,0.07957162727005354,0.08242176674989642,0.11301844315837098,0.7085083547734797,0.7085083547734797,-0.15721798789253347,6.447290857180857,1.485526110070364,0.48552611007036395,49.0,22.0,0.5051546391752577,0.2268041237113402,49.0,0.49,-0.027138302963085562,22.0,0.22,-0.04430058974375971,strategy
sma200_3in_2out,0.08140117666111438,0.08448321399580326,0.11619837645499276,0.7068058528229584,0.7068058528229584,-0.16920279540481453,6.436733589309666,1.4988090288471618,0.49880902884716194,51.0,22.0,0.5257731958762887,0.2268041237113402,51.0,0.51,-0.028840804913606802,22.0,0.22,-0.042471040352698886,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.07521768560570093,0.07791273324648662,0.10705529620413387,0.7067825752215643,0.7067825752215643,-0.14732500422009095,6.082380467866012,1.4501500617716367,0.45015006177163674,51.0,27.0,0.5257731958762887,0.27835051546391754,51.0,0.51,-0.028864082515000933,27.0,0.27,-0.04865453140811232,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.07457632148783971,0.07722558416451768,0.10621143297298945,0.705785927982499,0.705785927982499,-0.14311320582487272,6.091644193093479,1.4457153669768714,0.44571536697687136,49.0,26.0,0.5051546391752577,0.26804123711340205,49.0,0.49,-0.029860729754066256,26.0,0.26,-0.04929589552597352,strategy
