variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
200SMA_3in_2out_hybrid20SMA,0.1212262584670678,0.12448585191827924,0.14151510475929865,0.8796647688599442,0.8796647688599442,-0.25916482387222856,7.1593184241749555,16.262024759951686,15.262024759951686,1.0,1.0,1.0,1.0,1.0,1.0,0.28337526795432144,1.0,1.0,0.01073631282180898,strategy
sma200_3in_1out,0.10001787657917016,0.10350507934110917,0.12758993610822852,0.811232315794176,0.811232315794176,-0.20544606636913626,7.968797613692287,10.210255113654863,9.210255113654863,1.0,0.0,1.0,0.0,1.0,1.0,0.21494281488855327,0.0,0.0,-0.010472069066088663,strategy
sma200_3in_2out,0.10131995182363229,0.10512326620977748,0.13091795921684182,0.8029705537622986,0.8029705537622986,-0.22060379018209528,7.785735260836807,10.50893180386861,9.50893180386861,1.0,0.0,1.0,0.0,1.0,1.0,0.20668105285667593,0.0,0.0,-0.009169993821626532,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09550456342993874,0.09886386514659008,0.12338154927437556,0.8012856519311239,0.8012856519311239,-0.17853378632151934,7.601767586322632,9.236709945043822,8.236709945043822,1.0,0.0,1.0,0.0,1.0,1.0,0.20499615102550117,0.0,0.0,-0.014985382215320087,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.0959681226202802,0.09940326076947952,0.12431271763545482,0.7996226183468862,0.7996226183468862,-0.18438416072388417,7.551459303421923,9.332444050018296,8.332444050018296,1.0,0.0,1.0,0.0,1.0,1.0,0.20333311744126348,0.0,0.0,-0.01452182302497862,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09527518483272535,0.09873232472131363,0.1240112044842111,0.7961564854721177,0.7961564854721177,-0.18376614223024937,7.570994291777676,9.189687744957869,8.189687744957869,1.0,0.0,1.0,0.0,1.0,1.0,0.199866984566495,0.0,0.0,-0.015214760812533479,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09568960123095804,0.09927172034420309,0.1252923989560683,0.7923203735528368,0.7923203735528368,-0.19702718457981014,7.545615433567922,9.274810416013413,8.274810416013413,1.0,0.0,1.0,0.0,1.0,1.0,0.19603087264721408,0.0,0.0,-0.014800344414300781,strategy
"set_[100, 200]__x100_2_200_1",0.09336700778915308,0.09680646770601428,0.1225429842703901,0.78997968167979,0.78997968167979,-0.1630918542532548,7.439152025587922,8.807313988563706,7.807313988563706,1.0,0.0,1.0,0.0,1.0,1.0,0.19369018077416733,0.0,0.0,-0.017122937856105747,strategy
"set_[100, 200]__x100_2_200_2",0.09407945372125037,0.09761556114034846,0.12381376444930893,0.7884063744811961,0.7884063744811961,-0.1825839655026789,7.313643134834099,8.948258877619711,7.948258877619711,1.0,0.0,1.0,0.0,1.0,1.0,0.1921168735755734,0.0,0.0,-0.016410491924008452,strategy
sma250_3in_1out,0.09897004028934342,0.1029786600277417,0.1308489507870957,0.7870040944791239,0.7870040944791239,-0.23520042812300204,8.617531640662362,9.975825552185924,8.975825552185924,1.0,0.0,1.0,0.0,1.0,1.0,0.19071459357350118,0.0,0.0,-0.011519905355915405,strategy
