variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline
200SMA_3in_2out_hybrid20SMA,0.14422622195240176,0.1445103095141309,0.13939429663948488,1.0367017374310339,1.0367017374310339,-0.18682799772720568,4.411604244828806,4.542867515518588,3.542867515518588,1.0,0.0,1.0,0.0,1,1.0,0.1352962960772356,0,0.0,-0.01816678407008876
sma200_3in_2out,0.1251754558817808,0.12699844737165417,0.13416636590079797,0.9465744005137343,0.9465744005137343,-0.19194842503462123,6.437447841281481,3.761965370561173,2.761965370561173,1.0,0.0,1.0,0.0,1,1.0,0.04516895915993602,0,0.0,-0.03721755014070971
sma200_3in_1out,0.11966937919491438,0.12165044175946042,0.13081627733683898,0.9299335238398703,0.9299335238398703,-0.2142323412876116,6.042535028693518,3.5602546381241935,2.5602546381241935,1.0,0.0,1.0,0.0,1,1.0,0.02852808248607197,0,0.0,-0.04272362682757613
sma200_3in_3out,0.12276905594589826,0.12515825024543437,0.13636661002433267,0.9178071539880743,0.9178071539880743,-0.225304237732058,7.24025019937839,3.6725619488649968,2.6725619488649968,1.0,0.0,1.0,0.0,1,1.0,0.016401712634276033,0,0.0,-0.03962395007659225
"set_[100, 200]__x100_2_200_2",0.1108274584074489,0.11283008456625719,0.12388896379345793,0.9107355579659413,0.9107355579659413,-0.1723890268119863,5.8917471961611945,3.256865124365314,2.256865124365314,1.0,0.0,1.0,0.0,1,1.0,0.009330116612143002,0,0.0,-0.05156554761504162
"set_[100, 200]__x100_2_200_1",0.10805328909453449,0.11015608176016028,0.12249490094702449,0.899270752566261,0.899270752566261,-0.17093533847279033,5.634642220651186,3.166649303981216,2.166649303981216,0.0,0.0,0.0,0.0,0,0.0,-0.002134688787537309,0,0.0,-0.05433971692795603
"set_[100, 150, 200]__x100_2_150_1_200_2",0.10810437634228509,0.11030108789493548,0.12328097587560635,0.8947129685786402,0.8947129685786402,-0.1828376537886165,6.107103627375487,3.168289869654003,2.168289869654003,0.0,0.0,0.0,0.0,0,0.0,-0.006692472775158054,0,0.0,-0.054288629680205425
"set_[100, 200, 250]__x100_2_200_2_250_1",0.11005835230671734,0.11236366391967377,0.125691205264991,0.8939659993138012,0.8939659993138012,-0.16912415434461903,5.91014273519639,3.23162214347469,2.23162214347469,0.0,0.0,0.0,0.0,0,0.0,-0.007439442039997135,0,0.0,-0.05233465371577317
"set_[100, 150, 200]__x100_2_150_2_200_2",0.10881667568424436,0.11111513649414707,0.12466223357133666,0.8913295816295688,0.8913295816295688,-0.18256282314235447,6.257679541995779,3.191244754010343,2.191244754010343,0.0,0.0,0.0,0.0,0,0.0,-0.01007585972422953,0,0.0,-0.05357633033824616
"set_[100, 200, 250]__x100_2_200_1_250_1",0.10821721782288973,0.11058099538227585,0.12472399107050654,0.8866056516726151,0.8866056516726151,-0.1846835009031612,5.759826510708858,3.1719162943169787,2.1719162943169787,0.0,0.0,0.0,0.0,0,0.0,-0.014799789681183229,0,0.0,-0.05417578819960078
