variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 150, 200]__x100_0_150_0_200_1",0.07807040474023913,0.07717772708588383,0.07111879749319855,0.6173331133240233,-0.07940138446005965,2.8355116009262313,1.2573909393718763,21.0,0.10714285714285714,strategy
"set_[100, 200]__x100_0_200_1",0.08076353145639559,0.08050228353484723,0.08015570453363799,0.6035267819035561,-0.08637504805603323,3.121585070620849,1.2660573421874575,8.0,0.04081632653061224,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.08436458646559153,0.08419627632277368,0.08637348234707166,0.5885946131469948,-0.09666318665470705,3.569260472504126,1.2800469909870853,5.0,0.025510204081632654,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.06740300506487354,0.06657205549648224,0.05892233680270603,0.5750566758514544,-0.0644449897764567,2.3587051934914416,1.2192520177366994,14.0,0.07142857142857142,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.0813184929278501,0.08126370893762903,0.08436327082295972,0.5716772366256213,-0.0957117078644932,3.448046612063079,1.2690624719162722,10.0,0.05102040816326531,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07339541520628583,0.07295331902650905,0.07047884258818224,0.5709063537887351,-0.07512614718513261,2.710372254405661,1.2400088027644114,5.0,0.025510204081632654,strategy
sma200_3in_1out,0.09398468755531642,0.09462812953171172,0.10597356785339797,0.5685205123085215,-0.12249630240539953,4.335181228757147,1.3176104418967107,7.0,0.03571428571428571,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.07403237577010147,0.07359060473337208,0.07151490036337518,0.5673563183835029,-0.07985430242958282,2.95017665333186,1.2423609686882937,1.0,0.00510204081632653,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.08232780525358707,0.08194934938810668,0.08451770490546667,0.5595834200109862,-0.09602695203238254,3.6696282210814792,1.2744034198147123,4.0,0.02040816326530612,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.07102179872892048,0.07065803734822744,0.06919204278750886,0.5482394557312427,-0.0788865607283764,2.8065100405510695,1.2317678150331353,10.0,0.05102040816326531,strategy
"set_[100, 200]__x100_0_200_0",0.06500816931300948,0.06459377615074482,0.06065649264210106,0.5420357668683402,-0.06701899846555985,2.329014218964105,1.210017657878324,4.0,0.02040816326530612,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08841578571011778,0.08896789862499654,0.10031611941587036,0.539396921279166,-0.11240703128614699,4.448083572560647,1.296881536813193,5.0,0.025510204081632654,strategy
"set_[100, 200]__x100_1_200_1",0.08696723195231204,0.08765971698818151,0.09950492301103861,0.5350845930100354,-0.1098284206412365,4.286683061965692,1.2908787183066073,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08547368441784134,0.0860353312398519,0.09740165521051808,0.5272684744789976,-0.11164229729804093,4.208658211404187,1.286059619025498,3.0,0.015306122448979591,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07767615854526258,0.0777249413287319,0.08337274604313832,0.5193529437918197,-0.09113802200205315,3.500149454628932,1.2567887699756195,1.0,0.00510204081632653,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.07180439111306854,0.07134367779870508,0.07203671210917373,0.5154226039028912,-0.08014702192807455,3.183660454459734,1.236230229505026,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.06279461636059948,0.06234764743710744,0.0584582896947257,0.511753632518621,-0.06626996882652002,2.2716203137864146,1.2029127251521836,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.07823566407852513,0.07836222703559494,0.08569562192137009,0.5114458276479893,-0.09788046634345854,3.911304664319685,1.2592376032135477,7.0,0.03571428571428571,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.07532707862794419,0.07542965965045029,0.08238217166150401,0.4972919160056286,-0.09615740525229263,3.67754721461139,1.2487915297997774,3.0,0.015306122448979591,strategy
sma100_3in_0out,0.06590011347979828,0.06637643753798272,0.07568347072031358,0.4769657522424331,-0.09013288643130318,3.2838748659579733,1.213790698234735,45.0,0.22959183673469388,strategy
"set_[100, 200]__x100_1_200_0",0.0715438443221013,0.0717512096040791,0.07957448136643869,0.4739378638962883,-0.09129018705149763,3.6168694100286127,1.234889870980369,2.0,0.01020408163265306,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06721793195068085,0.0671192697393303,0.07096891534093089,0.46071974631033163,-0.08063735908283311,3.0369411580051353,1.2196944905796165,10.0,0.05102040816326531,strategy
sma100_3in_1out,0.0787816601574368,0.0806913044446513,0.10597997521885122,0.4410546108548583,-0.12387301365258092,5.292046943152289,1.2623728883935759,11.0,0.05612244897959184,strategy
sma200_3in_0out,0.06254524707567288,0.06281111476350693,0.07501634670565131,0.3866406176161933,-0.09671716924186813,3.562772567946439,1.205487810707743,24.0,0.12244897959183673,strategy
baseline_buyhold,0.12510552661952049,0.13418617800449545,0.18922006974447916,0.6128139927972651,-0.2510347656064154,8.705814882713891,1.4488502371869953,,,baseline
