variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 150, 200]__x100_0_150_0_200_0",0.09775704273477887,0.09640251285547624,0.08092289566282573,0.813625169214329,-0.10542787765401962,3.4595288686751715,2.8380214065336125,94.0,0.19421487603305784,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.10983038997716178,0.10872718767682697,0.09668692413203253,0.8089881772102672,-0.11388574252379637,3.9997299317790476,3.243774129778681,25.0,0.05165289256198347,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.10875699956624593,0.10769533841414361,0.09590563451019272,0.8050136468449951,-0.11169353016830035,4.391814183097089,3.2764204375109824,48.0,0.09917355371900827,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.10831046359576496,0.107176946842503,0.09525343767928417,0.8026384900093038,-0.10891734543625368,4.101400794353941,3.1240473747255364,46.0,0.09504132231404959,strategy
"set_[100, 200]__x100_0_200_0",0.09403398408840774,0.09296644823365974,0.08029334282439995,0.7820649130828218,-0.1251623788299405,3.7873440437780292,2.7693971309508405,35.0,0.07231404958677685,strategy
sma200_3in_0out,0.10985153632194708,0.10917953491816232,0.10232255705936767,0.7718304008123951,-0.1509888347218491,4.999456889316967,3.332056852754752,102.0,0.21074380165289255,strategy
sma200_3in_1out,0.1423157270147143,0.14304246102215296,0.1448564563615239,0.7713554550816321,-0.18162231485880637,6.814854752467636,4.572334572149288,102.0,0.21074380165289255,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.11867945172478847,0.11846977240117036,0.11400385101866982,0.7702784339873111,-0.12887292916539853,5.3207949925557845,3.581145925185435,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.11969070225272897,0.11950162166385374,0.11542503736008233,0.769042173557015,-0.13209967281571763,4.9514311649727105,3.5439205121785893,2.0,0.004132231404958678,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.11852753166169808,0.11846458887716653,0.11584246896714809,0.7546409750037454,-0.15405407019912468,5.481794167618881,3.446719081261903,3.0,0.006198347107438017,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.1081371848135808,0.10769015489013979,0.10182289829406048,0.7544702038767832,-0.1338945144762939,4.7870503721561715,3.136692114935401,6.0,0.012396694214876033,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.1199106144922741,0.12001482971149051,0.11810358609773945,0.7542568239151889,-0.14264533213832936,5.2923345351452875,3.5749137290222026,1.0,0.002066115702479339,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.1187877585942746,0.11898298044880716,0.11766026559805862,0.7488474358536767,-0.13523316608760422,5.759601313386156,3.60823128885938,1.0,0.002066115702479339,strategy
"set_[100, 200]__x100_1_200_0",0.10918888391679678,0.10912809921419984,0.10658966614773957,0.7377658722033669,-0.13427549281644185,4.741610379353766,3.1749658879715703,2.0,0.004132231404958678,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.08996664722304556,0.08923031742287513,0.08006181866287736,0.7365719852946823,-0.12849682887031885,4.376560532722717,2.6227377970955663,7.0,0.014462809917355372,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.1295936998588109,0.13078926369851726,0.13584715212643703,0.7334961057172641,-0.16956370631330253,6.14128594351699,3.8978124491174033,10.0,0.02066115702479339,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.12853375015605983,0.12975741443583388,0.13481286741110293,0.7322121873529794,-0.1609033602819308,6.528950038546264,3.935756158847355,2.0,0.004132231404958678,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.10082834038671123,0.10051795945753868,0.09603226782677692,0.7274196863922923,-0.11471761807579589,4.589556269690371,2.913149979650831,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.10974973582626926,0.10989791128565504,0.1089422320452887,0.7262230956025607,-0.12271309083542581,4.978075614750128,3.2242917429005287,1.0,0.002066115702479339,strategy
"set_[100, 200]__x100_1_200_1",0.12452566201295681,0.12605956226619516,0.13404560750902741,0.7083116663895183,-0.15929920265167644,6.137195571290493,3.6811773768336757,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.09997159405795536,0.10000475140990188,0.09868603129617427,0.703742638878096,-0.13259372998208022,4.971007020914985,2.869128693921734,2.0,0.004132231404958678,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.11067232149436558,0.11129239344456542,0.1143967919159255,0.7026021003488128,-0.13084783885433515,5.529387982227916,3.1814763898691627,0.0,0.0,strategy
sma100_3in_1out,0.10517462489581744,0.10907666351023737,0.13607244627390214,0.5753676232174263,-0.16750849142887897,6.759143102178692,2.93390053351024,5.0,0.010330578512396695,strategy
sma100_3in_0out,0.07468170434425171,0.07675336154915713,0.09786420454621123,0.47893808322119535,-0.14476853067608275,5.610374214294738,2.2303782626713446,5.0,0.010330578512396695,strategy
baseline_buyhold,0.17834929491979745,0.18829899886629417,0.2211455950497135,0.7215102193049457,-0.37579885545018976,11.03318805408132,6.893175122277455,,,baseline
