variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 221]__x100_1_200_0_221_0",0.12391773693516815,0.12083231299675165,0.0918108327661091,0.9858146390458754,-0.11884080770804575,4.973564054211747,1.9461488925073331,73.0,0.31063829787234043,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.1392813360918735,0.13591069312747048,0.1081679883816993,0.9772591363707452,-0.1455582943144515,6.06681201598239,2.0869372718393686,81.0,0.3446808510638298,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.10411090252198937,0.10180341134233935,0.07537686423704387,0.9559209020078409,-0.08354391001203072,3.3370817113401654,1.7626992004060404,16.0,0.06808510638297872,strategy
"set_[100, 200, 221]__x100_0_200_1_221_0",0.11949955555962616,0.1168817914730582,0.09148562818235013,0.9496450432302502,-0.10907504651446547,4.471671749351942,1.8937127371216809,11.0,0.04680851063829787,strategy
sma200_3in_1out,0.15582892184063885,0.1532744680808879,0.1332042804134262,0.9231949183208207,-0.18260010643108027,7.427285143677933,2.2756860388857096,6.0,0.02553191489361702,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.12953085219482713,0.127332300867107,0.10796614515984265,0.8988244966902619,-0.1526714725718458,6.224369532266388,1.9914999858965006,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.12114715777774777,0.11916462047484751,0.10019592964763373,0.8881340192454751,-0.13939454670397733,5.558731868319796,1.9238497426990464,4.0,0.01702127659574468,strategy
"set_[100, 200]__x100_1_200_1",0.14352507650842006,0.14178219067092576,0.12695350291918392,0.8794287835460654,-0.1678996215654474,7.187521831881209,2.1274458769349134,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.14420560190286708,0.14241068099782586,0.1276418389029841,0.8789491588167857,-0.17654121478862367,7.426473593741765,2.126306312489848,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_0_221_1",0.10996957492209339,0.10830339921269473,0.09083727281499472,0.8612953397484201,-0.12037614343067445,4.566978604736349,1.8077517335555424,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_1_221_1",0.12468740094696301,0.12338177934341357,0.11086525342391738,0.8401059141799532,-0.13866582405678288,5.711041535148241,1.9337635905881467,0.0,0.0,strategy
sma200_3in_0out,0.1094155576565775,0.10803932768873134,0.0938446785805063,0.8272440834704485,-0.14190189764452452,5.108873464947509,1.8468779583427082,54.0,0.2297872340425532,strategy
"set_[100, 200]__x100_0_200_1",0.11419746945847188,0.11323883818930733,0.10264433312071704,0.8093414318190462,-0.11325440380337984,4.649694532736005,1.8430492644064074,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.09174294850025425,0.09062126799322906,0.07608579213424979,0.8003129411100331,-0.10061413142098145,3.5148540951277716,1.6596947933011235,0.0,0.0,strategy
sma100_3in_1out,0.13017255956141247,0.13028991326096367,0.12919968045601593,0.7769576224646754,-0.16380625136875918,7.65483873397708,1.9799898975296186,0.0,0.0,strategy
sma100_3in_0out,0.07139679659876863,0.07320320829772681,0.09295121779968547,0.4656381710841459,-0.17234298704229886,5.934181339875197,1.4762247736641083,1.0,0.00425531914893617,strategy
baseline_buyhold,0.20747600059583302,0.21004242983694452,0.20827055594848115,0.8720842134878313,-0.2675113525159308,8.118617840773899,2.9827827737896624,,,baseline
