variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 150, 200]__x100_0_150_0_200_1",0.08005246865345773,0.07947807466455409,0.07153868765412659,0.6878032232595832,-0.08272166083317986,3.099094782426754,2.221854751775013,131.0,0.26844262295081966,strategy
"set_[100, 200]__x100_0_200_1",0.08421628269942867,0.083852604575969,0.07868184035891719,0.6790075261511493,-0.08888053996466029,3.7213619892586896,2.344001973945165,122.0,0.25,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.08620925937696271,0.08620156650162665,0.08485095853180503,0.6583249154167562,-0.10518968557093335,4.2709070309127535,2.4148669671246643,35.0,0.07172131147540983,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.08574904394572268,0.08575791281899757,0.0848047218488751,0.652218525777802,-0.10404836182751648,4.23522955237218,2.375489784594433,3.0,0.006147540983606557,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.0832505132598236,0.0834458616268808,0.08549859018541651,0.620026964834417,-0.09823331659670397,4.073316617516544,2.2666230021714155,9.0,0.018442622950819672,strategy
sma200_3in_1out,0.09324889232237861,0.09446740848612874,0.10494613837758095,0.6116320963538038,-0.1509614718129959,5.86645238585368,2.588765447701099,12.0,0.02459016393442623,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07349905451566288,0.07337399053978046,0.07073096290942865,0.6105901963296148,-0.09048003110623265,3.361353799796726,2.1157286698351085,49.0,0.10040983606557377,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08926322424738385,0.09016935346395337,0.09839246362733135,0.6061429293200602,-0.12385107195637818,5.221287480092702,2.459104003038819,2.0,0.004098360655737705,strategy
"set_[100, 200]__x100_1_200_1",0.08892878419715042,0.08980428501945908,0.09853678229372274,0.599505214209499,-0.12079261034345766,5.36465587238125,2.414139941245942,10.0,0.020491803278688523,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08873611995651642,0.08972569978132428,0.09909281280982023,0.5961120916466198,-0.12278203160254417,5.443550019360855,2.4178444229386744,0.0,0.0,strategy
sma100_3in_0out,0.07322214309497192,0.07323780066580929,0.07265959165922373,0.5886143311742834,-0.0954305451997982,3.046485269571956,2.084734766929144,29.0,0.05942622950819672,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.07065156609423817,0.07078769234505246,0.07138593543420439,0.5706110346686775,-0.08593368381015302,3.370092780355349,2.0478645515417915,6.0,0.012295081967213115,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.06425809940358698,0.06406420050797988,0.06049954069619829,0.5678921629031667,-0.0818241756267929,2.360287152089909,1.8839451346031766,16.0,0.03278688524590164,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07677178197681978,0.07734177750210716,0.08344383937394549,0.5630337016940885,-0.10526568859026014,4.292254128012379,2.1592113970827587,1.0,0.0020491803278688526,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.07016428807212663,0.07034403866242336,0.07177255760521062,0.5604753428165695,-0.08554715700840475,3.2737243012558714,2.015541365127352,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.0739267776679713,0.07475547930737916,0.08379616418878298,0.5312814096917143,-0.10021028354702348,4.218154718163186,2.090529259271398,0.0,0.0,strategy
sma100_3in_1out,0.08362806877222603,0.08514116155278942,0.10251453476148878,0.5270628414066016,-0.15730548046305623,6.327746377372123,2.2414597095431517,58.0,0.11885245901639344,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.06767287333543498,0.0680319874703066,0.07279060229660052,0.5251041377336705,-0.08746281550347385,3.3682457400928842,1.9263785917974419,4.0,0.00819672131147541,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.07337362037066934,0.07431182562475007,0.08498978730641531,0.5175271035600968,-0.10336459799071679,4.38765310596706,2.056563614988013,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.06051694987310221,0.06073179334110772,0.06321963054572274,0.4863633342993309,-0.08291777675931876,2.6253599590864467,1.8283087015390045,1.0,0.0020491803278688526,strategy
"set_[100, 200]__x100_1_200_0",0.06571685799106342,0.06668347378459778,0.07915728110547242,0.46020379870911676,-0.09596087596098661,3.993964781474818,1.8929317072274487,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.05768931176017435,0.05796011638320625,0.06142407784406181,0.4566684076046289,-0.08972849362002888,2.708094527509504,1.7940745372010052,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06117434378685473,0.06192790334553297,0.07196607933956779,0.4419197120842926,-0.09361218032948995,3.6431603046438603,1.834960517385404,0.0,0.0,strategy
sma200_3in_0out,0.04650400305035241,0.04822578601640615,0.07492205117095206,0.2476466488957229,-0.10386522933576513,4.054593745394689,1.588585100277899,10.0,0.020491803278688523,strategy
baseline_buyhold,0.12498047805835165,0.13481488263179164,0.18581390388149222,0.5855825844730608,-0.36412530111948027,9.168760919383615,3.689297319716931,,,baseline
