variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,group
"set_[100, 150, 200]__x100_0_150_0_200_1",0.07744716257156171,0.07702295598528948,0.07359048040238084,0.606878287409022,1.0244654072066322,-0.08964544125292136,3.3388421022123733,1.461872362520502,0.4618723625205019,17.0,0.0,0.03556485355648536,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.081426050996453,0.08159406931690158,0.08379610446161435,0.6000406484143311,0.9678811788285268,-0.0967474713120572,3.604844845865378,1.4876164738179514,0.48761647381795137,75.0,1.0,0.15690376569037656,0.0020920502092050207,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.0752151388548805,0.07509681235990061,0.07475363504588134,0.5760842332410123,0.9882246796122849,-0.08624241728550235,3.3614458182810596,1.445284450105353,0.44528445010535306,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.08374325241482054,0.0842211961219008,0.09017163444753833,0.5742231364372413,0.9157676451109118,-0.11151817192976936,4.34139025919504,1.5061265260179193,0.5061265260179194,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.0668836721747345,0.06627320291504371,0.06053737769591021,0.5549492182016655,1.0629099927075993,-0.07121697894004361,2.759421463681874,1.3916956836568402,0.39169568365684004,29.0,0.0,0.060669456066945605,0.0,strategy
sma200_3in_1out,0.09351827231247424,0.09526829210786301,0.11207669976913712,0.5534682365819902,0.8292795228394748,-0.14762799588004283,5.458906979669476,1.5831701384378558,0.5831701384378557,9.0,21.0,0.01882845188284519,0.043933054393305436,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.07362252357071743,0.07347144305165501,0.07381095653451626,0.5506485515537689,0.9679488436090845,-0.09161023270885477,3.5479416138744218,1.4367729218178595,0.4367729218178595,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.08013986963118117,0.08098719475939375,0.09009320344665123,0.545415762402142,0.8884081393864058,-0.11660820145071732,4.536194736632476,1.4787390793249413,0.4787390793249412,7.0,14.0,0.014644351464435146,0.029288702928870293,strategy
"set_[100, 200]__x100_0_200_0",0.06581667451098158,0.06546943971153293,0.06202940128717499,0.5408660760915743,1.0391162763834574,-0.07526208198304099,2.5919542560263933,1.3820873625953138,0.38208736259531373,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.0793847543117153,0.07980842376385133,0.08797026836565379,0.5227222519099803,0.8728770089052319,-0.11422218320881201,4.537439884768288,1.4819359892739252,0.48193598927392545,1.0,0.0,0.0020920502092050207,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.07007615816380208,0.07023744168914799,0.07342478057019436,0.5167486370142377,0.9377896195191093,-0.09469814657530401,3.709839488724342,1.4105853092017573,0.41058530920175745,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.06468929235301114,0.06434705928965484,0.06152224990247875,0.5134725959886477,1.020683222737719,-0.07407209879741232,2.7917902116589284,1.3764537628140154,0.3764537628140154,0.0,0.0,0.0,0.0,strategy
