variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 150, 200]__x100_0_150_0_200_1",0.07514879718647892,0.07483743158798023,0.07287880658396714,0.5841826228479762,1.0053961009030181,-0.088883238037989,3.3074214767421206,1.4460591167335242,0.44605911673352433,241.0,131.0,0.4989648033126294,0.2712215320910973,241.0,0.482,0.02661127537923076,131.0,0.262,-0.04216622080031337,strategy
"set_[100, 200]__x100_0_200_1",0.0793039247207476,0.07955009590536115,0.08290490570316439,0.5821449973956473,0.9536302759003334,-0.09578925151215892,3.5630503936570066,1.473025693433205,0.47302569343320516,271.0,132.0,0.5610766045548654,0.2732919254658385,271.0,0.542,0.024573649926901794,132.0,0.264,-0.03801109326604467,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.08121594229964828,0.08179528011565557,0.08916066138258011,0.5539674030377623,0.8991736930910311,-0.11008640725397947,4.241851321797916,1.4884429034857096,0.4884429034857097,246.0,132.0,0.5093167701863354,0.2732919254658385,246.0,0.492,-0.0036039444309832413,132.0,0.264,-0.03609907568714401,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07293929755343584,0.07289913273862095,0.07385907925782711,0.5528308444015065,0.9697702752075773,-0.08466573192156912,3.3092114531382464,1.4302700994131345,0.43027009941313465,239.0,128.0,0.494824016563147,0.2650103519668737,239.0,0.478,-0.004740503067238892,128.0,0.256,-0.04437572043335645,strategy
sma200_3in_1out,0.09103870293576098,0.092869441091169,0.11061277916125449,0.5402128111995494,0.8196070831220139,-0.14377580820742747,5.293688018985693,1.5639242181501123,0.5639242181501121,246.0,152.0,0.5093167701863354,0.3146997929606625,246.0,0.492,-0.017358536269195896,152.0,0.304,-0.026276315051031292,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.06500348968664127,0.06449166292774444,0.05998391916210928,0.5337612481622125,1.045743828425384,-0.07036358789974026,2.699864710050232,1.3788807255805635,0.37888072558056346,216.0,129.0,0.4472049689440994,0.2670807453416149,216.0,0.432,-0.02381009930653285,129.0,0.258,-0.05231152830015101,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.07150125601837981,0.07144951145541978,0.07300683961130913,0.5309572519789318,0.9525304934514984,-0.09034360370446082,3.4606454331385024,1.422060039143327,0.42206003914332707,232.0,132.0,0.4803312629399586,0.2732919254658385,232.0,0.464,-0.026614095489813534,132.0,0.264,-0.04581376196841246,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.07798216953044701,0.07889690452491246,0.0890154004464654,0.5287688505690261,0.8757023876353232,-0.11384932707547893,4.43557291239952,1.4636443262722214,0.4636443262722213,233.0,132.0,0.4824016563146998,0.2732919254658385,233.0,0.466,-0.02880249689971927,132.0,0.264,-0.03933284845634527,strategy
"set_[100, 200]__x100_0_200_0",0.06430656721220902,0.06403144291500748,0.06149275046172667,0.5251211022162783,1.0272355575512067,-0.07463655056949005,2.5534180468008474,1.3718498596219844,0.37184985962198425,231.0,130.0,0.4782608695652174,0.2691511387163561,231.0,0.462,-0.03245024525246714,130.0,0.26,-0.053008450774583264,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.0683208359345152,0.06855113586467666,0.07256562523246086,0.5014523193738366,0.9271209379904325,-0.09251836507192118,3.6078296600572215,1.3983921235587744,0.39839212355877424,215.0,132.0,0.4451345755693582,0.2732919254658385,215.0,0.43,-0.056119028094908784,132.0,0.264,-0.04899418205227708,strategy
