variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09314709620864793,0.09634132116084096,0.1251964608339107,0.5101975184881355,0.7531105030446088,-0.160560645752435,6.77760653921911,1.5823494473001503,0.5823494473001503,46.0,24.0,0.46,0.24,46.0,0.46,-0.08914321542110328,24.0,0.24,-0.044221350788462656,strategy
sma150_3in_2out,0.0989455840406524,0.10318936095421999,0.1389396748765793,0.5094839423660941,0.7295259312628436,-0.19311536851302297,7.47045811032479,1.6359218843053884,0.6359218843053884,44.0,26.0,0.44,0.26,44.0,0.44,-0.08985679154314478,26.0,0.26,-0.03842286295645819,strategy
sma250_3in_1out,0.09472626307440457,0.09860306573258841,0.1314921364923167,0.5071871627730136,0.7389302922521763,-0.16199500533001557,6.510329500156217,1.5947178343532904,0.5947178343532903,37.0,22.0,0.37,0.22,37.0,0.37,-0.09215357113622527,22.0,0.22,-0.04264218392270603,strategy
sma150_3in_1out,0.09616042518891915,0.09978251097466954,0.13285411024495222,0.5062801018780706,0.7360100930243496,-0.17521570963350752,7.106457829319026,1.6150586099111188,0.6150586099111189,41.0,25.0,0.41,0.25,41.0,0.41,-0.09306063203116821,25.0,0.25,-0.041208021808191456,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.0944232859756916,0.09787008623471814,0.12893474439910466,0.5062534773542319,0.7422424734661793,-0.17205354622837674,7.144624658570389,1.5954393690679374,0.5954393690679372,46.0,26.0,0.46,0.26,46.0,0.46,-0.09308725655500691,26.0,0.26,-0.042945161021419,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09226915242826467,0.09572208566247627,0.12583513562323692,0.5042106612135207,0.7459441167507153,-0.16787387568598608,6.939509465793233,1.5727177615041474,0.5727177615041475,45.0,25.0,0.45,0.25,45.0,0.45,-0.09513007269571822,25.0,0.25,-0.04509929456884593,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09343736481007213,0.09673446957486802,0.12707510462928742,0.5038415975690648,0.7434537314787549,-0.16545228585043464,7.057657801299476,1.5881160297945127,0.5881160297945125,44.0,26.0,0.44,0.26,44.0,0.44,-0.09549913634017408,26.0,0.26,-0.04393108218703848,strategy
sma200_3in_1out,0.09606532215320257,0.09966381573812383,0.13250812224747244,0.5031659334425459,0.733029288253261,-0.17213400347547228,7.334030298261783,1.6143194337174678,0.6143194337174678,49.0,24.0,0.49,0.24,49.0,0.49,-0.09617480046669295,24.0,0.24,-0.04130312484390802,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09143490224333835,0.09504768839309778,0.12660718330845783,0.49633457633650613,0.7366161282751709,-0.1704223047235489,6.993093377624544,1.567223017964343,0.5672230179643428,41.0,22.0,0.41,0.22,41.0,0.41,-0.10300615757273261,22.0,0.22,-0.04593354475377225,strategy
"set_[100, 200]__x100_2_200_1",0.09173991549578529,0.09521044887496721,0.1268942967114379,0.4935147927800763,0.7330235734024757,-0.16940346474693055,7.314056799464502,1.5737009024722075,0.5737009024722076,44.0,24.0,0.44,0.24,44.0,0.44,-0.10582594112916252,24.0,0.24,-0.0456285315013253,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09268434065954122,0.09657645346697497,0.13031077673144648,0.4921739474853812,0.7259191207887529,-0.18144023770546788,7.354161972835468,1.5797108898756185,0.5797108898756185,42.0,24.0,0.42,0.24,42.0,0.42,-0.10716678642385764,24.0,0.24,-0.04468410633756938,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.0917825157967826,0.09544083680712483,0.12801691186100456,0.49165060076501677,0.7295600135895306,-0.1743650029649767,7.24611337956248,1.5732985790604552,0.5732985790604552,40.0,24.0,0.4,0.24,40.0,0.4,-0.1076901331442221,24.0,0.24,-0.045585931200328014,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.0887554767725144,0.09198925115280232,0.1220726330544724,0.4897406206552064,0.7390948611778541,-0.15545528838563968,6.612352950113194,1.5489800481965768,0.5489800481965768,42.0,23.0,0.42,0.23,42.0,0.42,-0.1096001132540324,23.0,0.23,-0.04861297022459619,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.0904752817341295,0.09442845289473308,0.12782853722087034,0.48812237367943423,0.7263505095384433,-0.17778809467947634,7.170442941906847,1.5574397532714304,0.5574397532714304,41.0,23.0,0.41,0.23,41.0,0.41,-0.11121836022980461,23.0,0.23,-0.04689316526298111,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.090048158194473,0.09351801622667953,0.12575682422878637,0.4866350434381589,0.728837009535967,-0.16707904784998598,6.997045071025354,1.5619881512929774,0.5619881512929774,44.0,23.0,0.44,0.23,44.0,0.44,-0.11270569047107996,23.0,0.23,-0.04732028880263758,strategy
