variant,start,end,observations,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
hybridL150_S20_eL3_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.14388713640519568,0.14097386438404347,0.11409478819696726,1.235585486522606,1.235585486522606,-0.123307042434371,3.94896917232428,2.0757207236523363,1.0757207236523363
hybridL200_S20_eL3_eS2_xL1_xS1,2020-10-13,2026-03-26,1369,0.14150260219164457,0.1390766282205753,0.11575573864408434,1.2014663795476783,1.2014663795476783,-0.1398627797305862,4.8314670627744905,2.0523223367582744,1.0523223367582744
hybridL200_S20_eL3_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.14226624518467745,0.13992545529885114,0.1172944871481683,1.1929414476410563,1.1929414476410563,-0.1505400044735401,5.192172120271702,2.059792083249424,1.059792083249424
hybridL200_S20_eL2_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.14075131958754739,0.1387113263109,0.11824810777032844,1.1730532431040417,1.1730532431040417,-0.15214538626169494,5.314357357073844,2.0449950794849645,1.0449950794849645
hybridL200_S20_eL2_eS2_xL1_xS1,2020-10-13,2026-03-26,1369,0.13823805567329495,0.13630404788338563,0.1165513603832074,1.169476250086088,1.169476250086088,-0.14904548715131882,5.29658637739507,2.0206381867276693,1.0206381867276693
hybridL200_S20_eL3_eS3_xL2_xS1,2020-10-13,2026-03-26,1369,0.1375477438960524,0.13563923397862349,0.11605124532359129,1.1687874059465202,1.1687874059465202,-0.1531864293881383,5.811825015557806,2.0139897442136117,1.0139897442136117
hybridL200_S20_eL1_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.13854944224711807,0.13685220156861483,0.11886951835900045,1.1512808620567005,1.1512808620567005,-0.15850391979785175,5.560032816943753,2.0236430281767768,1.0236430281767768
hybridL200_S15_eL3_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.132186885835611,0.13104160017756578,0.11713648828587314,1.118708628670488,1.118708628670488,-0.16294641738803234,6.568679593674662,1.9629639652997966,0.9629639652997966
hybridL200_S20_eL2_eS1_xL2_xS1,2020-10-13,2026-03-26,1369,0.13402157623422495,0.1329336148827145,0.11943348105581542,1.1130347512904695,1.1130347512904695,-0.15986084660282437,6.10691729290846,1.9803067858653678,0.9803067858653678
hybridL200_S20_eL2_eS1_xL1_xS1,2020-10-13,2026-03-26,1369,0.13152315682731497,0.1305263364552001,0.11775321342562708,1.1084736684289342,1.1084736684289342,-0.1567891565135004,6.174875701315095,1.9567205292911078,0.9567205292911078
hybridL200_S15_eL2_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.1316464997179303,0.13067679318112596,0.11808390182206417,1.1066435912495296,1.1066435912495296,-0.1605905161834132,6.42587816125284,1.9578795396163924,0.9578795396163924
hybridL200_S20_eL1_eS1_xL2_xS1,2020-10-13,2026-03-26,1369,0.131832190988189,0.13107449014042932,0.12005198480829245,1.0918144364688214,1.0918144364688214,-0.16616140485634467,6.413696506420844,1.959625472389438,0.959625472389438
hybridL200_S20_eL2_eS2_xL2_xS2,2020-10-13,2026-03-26,1369,0.12983178665989237,0.12923943004591829,0.11949908413470652,1.081509795507988,1.081509795507988,-0.18332922020617382,6.694177925400403,1.9408836988316887,0.9408836988316887
hybridL200_S30_eL3_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.11932754708877669,0.11938316599799113,0.11512606528359738,1.0369777313582895,1.0369777313582895,-0.17645744240172515,7.759520981486721,1.8448535172300937,0.8448535172300937
sma150_3in_1out,2020-10-13,2026-03-26,1369,0.10635911270781628,0.10641676012324064,0.10313613320224227,1.0318087058253902,1.0318087058253902,-0.14220147544294606,5.799992849829638,1.7316790361315697,0.7316790361315697
sma150_3in_2out,2020-10-13,2026-03-26,1369,0.10811649855567707,0.10822002312695424,0.10520867693270647,1.0286226030213639,1.0286226030213639,-0.1556193765322443,6.438148404807673,1.746674858828606,0.7466748588286061
hybridL250_S20_eL3_eS2_xL2_xS1,2020-10-13,2026-03-26,1369,0.12291652961962685,0.1232098346248165,0.12042633354085129,1.023113724399996,1.023113724399996,-0.1740450761356003,6.393923167472919,1.877217762029902,0.877217762029902
sma200_3in_1out,2020-10-13,2026-03-26,1369,0.10781186397329634,0.10808934376221842,0.10657569674052889,1.0142025533773869,1.0142025533773869,-0.1949681964657563,7.991329014808249,1.744067840078241,0.744067840078241
sma200_2in_2out,2020-10-13,2026-03-26,1369,0.1095909393592458,0.11009057134716362,0.1102032581774809,0.998977463714042,0.998977463714042,-0.1926569004157401,8.089772814786876,1.759337889586108,0.759337889586108
sma200_3in_2out,2020-10-13,2026-03-26,1369,0.10688313595336241,0.10748555897524507,0.10875299258858369,0.9883457587403286,0.9883457587403286,-0.20487507131454077,8.545118092219136,1.7361395063203142,0.7361395063203142
sma250_3in_1out,2020-10-13,2026-03-26,1369,0.10024644712867992,0.10153138207093225,0.10931021054403703,0.9288371284403394,0.9288371284403394,-0.20540847846042867,9.331386532489017,1.6803352368551103,0.6803352368551103
baseline_buyhold,2020-10-13,2026-03-26,1369,0.14251030910033458,0.1464661069899197,0.1626068429221556,0.9007376587468529,0.9007376587468529,-0.23488028009504192,7.631205755912106,2.0621841218397385,1.0621841218397385
