variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,kind,note,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,beat_sharpe_count,beat_cagr_count,better_maxdd_count,beat_sharpe_share,beat_cagr_share,better_maxdd_share
hybridL200_S20_eL3_eS2_xL2_xS1,0.11682593506558948,0.11918057628298759,0.13231780226358836,0.8960500745961004,0.8960500745961004,-0.20041860268430892,6.724588835549688,4.684714125565836,3.684714125565836,hybrid,Current best average-Sharpe benchmark.,200.0,20.0,3.0,2.0,2.0,1.0,,,,9.0,1.0,9.0,1.0,0.1111111111111111,1.0
hybridL150_S20_eL3_eS2_xL2_xS1,0.11414858990266226,0.11637132548313726,0.1294856460497321,0.8949083285514708,0.8949083285514708,-0.2049233416872766,6.994354037892148,4.346156787059907,3.3461567870599063,hybrid,Shorter long trend filter.,150.0,20.0,3.0,2.0,2.0,1.0,,,,8.0,1.0,9.0,0.8888888888888888,0.1111111111111111,1.0
hybridL200_S20_eL3_eS2_xL1_xS1,0.11389037506774548,0.11625710206853163,0.13028586458394303,0.88660420681852,0.88660420681852,-0.19745899320038332,6.734756243865825,4.695390412596643,3.695390412596643,hybrid,"Slower entry, faster bull exit.",200.0,20.0,3.0,2.0,1.0,1.0,,,,8.0,1.0,8.0,0.8888888888888888,0.1111111111111111,0.8888888888888888
hybridL200_S20_eL2_eS2_xL2_xS1,0.11563606760109447,0.11828755555380892,0.13319086222101498,0.8839911272304365,0.8839911272304365,-0.21054236473193225,6.764690358789906,4.717117584767461,3.7171175847674607,hybrid,Faster bull entry close to current winner.,200.0,20.0,2.0,2.0,2.0,1.0,,,,9.0,1.0,9.0,1.0,0.1111111111111111,1.0
hybridL200_S20_eL2_eS2_xL1_xS1,0.11358430748579693,0.11613156790572517,0.13099575096138483,0.8816058813256868,0.8816058813256868,-0.20515046904547463,6.957323643526611,4.725811381091063,3.725811381091063,hybrid,Faster 200-SMA exit.,200.0,20.0,2.0,2.0,1.0,1.0,,,,9.0,2.0,8.0,1.0,0.2222222222222222,0.8888888888888888
hybridL200_S20_eL3_eS3_xL2_xS1,0.11415918684806374,0.1165482877853375,0.13107622025176055,0.880430283236514,0.880430283236514,-0.20939844288834017,6.8121515595091715,4.519628013168388,3.519628013168388,hybrid,Simpler remembered 3-day hybrid.,200.0,20.0,3.0,3.0,2.0,1.0,,,,9.0,1.0,9.0,1.0,0.1111111111111111,1.0
hybridL200_S20_eL1_eS2_xL2_xS1,0.11333208710668378,0.11632633026988268,0.1341762625534231,0.8609967013241653,0.8609967013241653,-0.22517198091162122,7.313833763602419,4.704123611516874,3.704123611516874,hybrid,More aggressive bull-regime entry.,200.0,20.0,1.0,2.0,2.0,1.0,,,,9.0,0.0,9.0,1.0,0.0,1.0
hybridL200_S15_eL3_eS2_xL2_xS1,0.11056071497791975,0.1136107392677857,0.13299133747195524,0.8512184401723437,0.8512184401723437,-0.2365160046631582,7.845865059781676,4.1762762053803595,3.17627620538036,hybrid,Shorter re-entry trigger.,200.0,15.0,3.0,2.0,2.0,1.0,,,,8.0,0.0,8.0,0.8888888888888888,0.0,0.8888888888888888
hybridL200_S20_eL2_eS2_xL2_xS2,0.11081805328579097,0.11417066235993104,0.13440092771401538,0.846290641877155,0.846290641877155,-0.2173658378345562,7.301794643986558,4.501115042042001,3.501115042042001,hybrid,Slower short-SMA exit to stay in trend longer.,200.0,20.0,2.0,2.0,2.0,2.0,,,,8.0,0.0,9.0,0.8888888888888888,0.0,1.0
hybridL200_S20_eL2_eS1_xL2_xS1,0.11104769824188732,0.11433834605930618,0.13466456530103832,0.8441068157530959,0.8441068157530959,-0.2343989313286089,7.396185327439805,4.421665708597158,3.4216657085971582,hybrid,More aggressive re-entry below 200.,200.0,20.0,2.0,1.0,2.0,1.0,,,,9.0,1.0,9.0,1.0,0.1111111111111111,1.0
hybridL200_S15_eL2_eS2_xL2_xS1,0.10989901012059561,0.11320528602637575,0.13387814547484547,0.8418921718214065,0.8418921718214065,-0.24182076940677646,7.75017706753184,4.210252088502382,3.2102520885023815,hybrid,Faster bull entry plus shorter re-entry trigger.,200.0,15.0,2.0,2.0,2.0,1.0,,,,8.0,0.0,8.0,0.8888888888888888,0.0,0.8888888888888888
hybridL200_S20_eL2_eS1_xL1_xS1,0.10900588853744468,0.11218235841122241,0.13249024722083233,0.8410442261823188,0.8410442261823188,-0.23215888978782806,7.5788829968602665,4.427100744681599,3.427100744681599,hybrid,More aggressive entry and faster 200-SMA exit.,200.0,20.0,2.0,1.0,1.0,1.0,,,,7.0,0.0,8.0,0.7777777777777778,0.0,0.8888888888888888
hybridL200_S20_eL1_eS1_xL2_xS1,0.10875434905937836,0.11237712077537992,0.13563818339267872,0.8217765738388054,0.8217765738388054,-0.24843211283463532,8.00963833474203,4.412374453467129,3.412374453467129,hybrid,Most aggressive entry profile.,200.0,20.0,1.0,1.0,2.0,1.0,,,,8.0,0.0,9.0,0.8888888888888888,0.0,1.0
hybridL200_S30_eL3_eS2_xL2_xS1,0.10437612187610829,0.10763861670275793,0.13006883682362447,0.8198390244173485,0.8198390244173485,-0.2100616947216761,7.732926657129095,4.180301495227446,3.1803014952274453,hybrid,Smoother re-entry trigger.,200.0,30.0,3.0,2.0,2.0,1.0,,,,7.0,0.0,9.0,0.7777777777777778,0.0,1.0
hybridL250_S20_eL3_eS2_xL2_xS1,0.10426047464037638,0.1083010804820137,0.13418926041872192,0.8090294143583913,0.8090294143583913,-0.2088975568858644,7.230464187632896,4.15677291377152,3.1567729137715204,hybrid,Slower long trend filter.,250.0,20.0,3.0,2.0,2.0,1.0,,,,6.0,0.0,9.0,0.6666666666666666,0.0,1.0
sma150_3in_2out,0.08758467538015441,0.09100935883239383,0.11972466407660853,0.7490845953384069,0.7490845953384069,-0.20789175000679505,7.984682575078995,3.217288431326371,2.217288431326371,single_sma,Historically strong plain SMA variant.,,,,,,,150.0,3.0,2.0,3.0,0.0,9.0,0.3333333333333333,0.0,1.0
sma200_3in_2out,0.08918262374424625,0.09285393728912573,0.12273490668271697,0.7433268863075218,0.7433268863075218,-0.22868659552677695,8.266194075419268,3.42125017186824,2.42125017186824,single_sma,Plain 200-SMA control.,,,,,,,200.0,3.0,2.0,4.0,0.0,8.0,0.4444444444444444,0.0,0.8888888888888888
sma200_2in_2out,0.08872990920187632,0.09268411789727221,0.12437356326302441,0.7325416742712815,0.7325416742712815,-0.2204277822203251,8.338681696786743,3.4144065148015796,2.4144065148015796,single_sma,Faster plain 200-SMA entry.,,,,,,,200.0,2.0,2.0,3.0,0.0,8.0,0.3333333333333333,0.0,0.8888888888888888
sma200_3in_1out,0.08605965063655709,0.08965607183059883,0.12013572446140358,0.7325215296410268,0.7325215296410268,-0.2271593144900032,8.268279218575735,3.339377206680249,2.339377206680249,single_sma,Faster 200-SMA exit.,,,,,,,200.0,3.0,1.0,5.0,0.0,8.0,0.5555555555555556,0.0,0.8888888888888888
sma250_3in_1out,0.08256464824400599,0.08683528903993348,0.12185168460118276,0.7085165571476014,0.7085165571476014,-0.24229861164417377,8.951846229134276,3.2883009865433452,2.2883009865433452,single_sma,Slower long-term filter.,,,,,,,250.0,3.0,1.0,3.0,0.0,8.0,0.3333333333333333,0.0,0.8888888888888888
sma150_3in_1out,0.07880312288739431,0.0824412595657307,0.11678496895727968,0.6899664302721283,0.6899664302721283,-0.23138013213388975,8.990439646492812,2.7748776444269776,1.7748776444269774,single_sma,Historically strong plain SMA variant.,,,,,,,150.0,3.0,1.0,3.0,0.0,9.0,0.3333333333333333,0.0,1.0
