variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share
200SMA_3in_2out_hybrid20SMA,0.11303777788633122,0.11349069962407214,0.11606908816198114,0.9779811748781053,0.9779811748781053,-0.13555864543581977,4.403581631488125,1.7205812656064665,0.7205812656064665,4.0,0.0,0.8,0.0
sma200_3in_3out,0.10047919479715514,0.10181862065556568,0.11281948934313382,0.8873151529737466,0.8873151529737466,-0.16081829079370505,5.79996889877499,1.6259836616291081,0.6259836616291083,3.0,0.0,0.6,0.0
sma200_3in_2out,0.09723332297293825,0.09852059662553397,0.1097491511751744,0.8861019611702557,0.8861019611702557,-0.14654654449808274,5.260414597449322,1.6010147869217586,0.6010147869217587,2.0,0.0,0.4,0.0
sma200_3in_1out,0.0913078639776113,0.09268473835888852,0.10635513096112717,0.8616105999590662,0.8616105999590662,-0.1426717002561223,5.788217076946465,1.5593360718749927,0.5593360718749926,3.0,0.0,0.6,0.0
sma150_3in_2out,0.09142863989309262,0.0928529395910527,0.10862347437124102,0.8461742474837306,0.8461742474837306,-0.16077610898072298,5.678114343225447,1.5653457278889107,0.5653457278889107,1.0,0.0,0.2,0.0
sma150_3in_3out,0.09407049415142801,0.09573768867187293,0.11283752965189867,0.8339329644772757,0.8339329644772757,-0.1698104792214274,6.165126703621425,1.5859282260170862,0.5859282260170862,1.0,0.0,0.2,0.0
sma250_3in_1out,0.08678667203716776,0.08878965549276044,0.1076225659024754,0.813479907645449,0.813479907645449,-0.14385707531325925,5.490830257839436,1.5246479554076209,0.524647955407621,2.0,0.0,0.4,0.0
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08387544486271108,0.08563492589287255,0.10442685290634557,0.8105504763956398,0.8105504763956398,-0.14406420005229276,5.261423670676916,1.5069433023033625,0.5069433023033625,1.0,0.0,0.2,0.0
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08246240814689773,0.08428049786010848,0.1031594698299185,0.8061958043965991,0.8061958043965991,-0.13708463151163225,5.228945187934978,1.4951051698706663,0.49510516987066644,2.0,0.0,0.4,0.0
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08247909845879806,0.0844333400188562,0.10409838063735073,0.8006513902258193,0.8006513902258193,-0.14155065480561635,5.263343312165281,1.4942029042975244,0.49420290429752445,2.0,0.0,0.4,0.0
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08188979002842527,0.08368963980399076,0.10344602713545623,0.8005154791399995,0.8005154791399995,-0.13807739596073235,5.3929107975099315,1.4933431131280468,0.4933431131280468,1.0,0.0,0.2,0.0
sma250_3in_2out,0.08680517434338034,0.08924818196900361,0.11057535478389277,0.7977028233530082,0.7977028233530082,-0.15420843234121268,5.638850427702578,1.5219518990886851,0.5219518990886851,1.0,0.0,0.2,0.0
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08047732802582326,0.08233521177122667,0.1021858948636509,0.795671935209961,0.795671935209961,-0.13597302077634973,5.418127580675862,1.4816331586246962,0.4816331586246962,1.0,0.0,0.2,0.0
sma250_3in_3out,0.0891476692801338,0.09169742140143122,0.11360727138316892,0.7942270819505988,0.7942270819505988,-0.17227735859453192,6.258960488448865,1.5410611599501736,0.5410611599501733,2.0,0.0,0.4,0.0
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08053412453847412,0.0824880539299744,0.10280208301392224,0.7928104766163864,0.7928104766163864,-0.13975952082965834,5.4316625639791125,1.4810168914797548,0.4810168914797547,2.0,0.0,0.4,0.0
