variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,is_baseline
hybridL200_S20_cd0_eL2_eS2_xL2_xS1,0.10069459713682516,0.10243698633596175,0.11833400358810017,0.8483742154329896,0.8483742154329896,-0.14172666816414073,4.962198106131631,1.637117973525336,0.6371179735253362,32.0,19.0,0.64,0.38,False
hybridL200_S20_cd1_eL2_eS2_xL2_xS1,0.10069459713682516,0.10243698633596175,0.11833400358810017,0.8483742154329896,0.8483742154329896,-0.14172666816414073,4.962198106131631,1.637117973525336,0.6371179735253362,32.0,19.0,0.64,0.38,False
hybridL200_S20_cd2_eL2_eS2_xL2_xS1,0.10069459713682516,0.10243698633596175,0.11833400358810017,0.8483742154329896,0.8483742154329896,-0.14172666816414073,4.962198106131631,1.637117973525336,0.6371179735253362,32.0,19.0,0.64,0.38,False
hybridL200_S20_cd0_eL3_eS2_xL2_xS1,0.10001317822434438,0.1017878019272827,0.11788841397486528,0.8465079514444274,0.8465079514444274,-0.14195391427399462,4.947054042243681,1.6311816454268169,0.6311816454268168,33.0,19.0,0.66,0.38,False
hybridL200_S20_cd1_eL3_eS2_xL2_xS1,0.10001317822434438,0.1017878019272827,0.11788841397486528,0.8465079514444274,0.8465079514444274,-0.14195391427399462,4.947054042243681,1.6311816454268169,0.6311816454268168,33.0,19.0,0.66,0.38,False
hybridL200_S20_cd2_eL3_eS2_xL2_xS1,0.10001317822434438,0.1017878019272827,0.11788841397486528,0.8465079514444274,0.8465079514444274,-0.14195391427399462,4.947054042243681,1.6311816454268169,0.6311816454268168,33.0,19.0,0.66,0.38,False
hybridL200_S20_cd0_eL2_eS2_xL1_xS1,0.0987656682356328,0.10040444703722487,0.11625486301220386,0.8460166584166011,0.8460166584166011,-0.13716904118575382,4.957802228979172,1.623607685816484,0.6236076858164843,34.0,18.0,0.68,0.36,False
hybridL200_S20_cd1_eL2_eS2_xL1_xS1,0.0987656682356328,0.10040444703722487,0.11625486301220386,0.8460166584166011,0.8460166584166011,-0.13716904118575382,4.957802228979172,1.623607685816484,0.6236076858164843,34.0,18.0,0.68,0.36,False
hybridL200_S20_cd2_eL2_eS2_xL1_xS1,0.0987656682356328,0.10040444703722487,0.11625486301220386,0.8460166584166011,0.8460166584166011,-0.13716904118575382,4.957802228979172,1.623607685816484,0.6236076858164843,34.0,18.0,0.68,0.36,False
hybridL200_S20_cd0_eL1_eS2_xL1_xS1,0.09899513888706588,0.10080305882511427,0.11747420415615265,0.8432842657285484,0.8432842657285484,-0.14834620161473863,5.268326279039957,1.623607025230221,0.6236070252302208,31.0,18.0,0.62,0.36,False
hybridL200_S20_cd1_eL1_eS2_xL1_xS1,0.09899513888706588,0.10080305882511427,0.11747420415615265,0.8432842657285484,0.8432842657285484,-0.14834620161473863,5.268326279039957,1.623607025230221,0.6236070252302208,31.0,18.0,0.62,0.36,False
hybridL200_S20_cd0_eL1_eS2_xL2_xS1,0.10055505287596489,0.1024925650500614,0.11939148464099207,0.8428538471703949,0.8428538471703949,-0.14776805451533032,5.127717576390669,1.634302027611231,0.634302027611231,33.0,19.0,0.66,0.38,False
hybridL200_S20_cd1_eL1_eS2_xL2_xS1,0.10055505287596489,0.1024925650500614,0.11939148464099207,0.8428538471703949,0.8428538471703949,-0.14776805451533032,5.127717576390669,1.634302027611231,0.634302027611231,33.0,19.0,0.66,0.38,False
hybridL200_S20_cd2_eL1_eS2_xL1_xS1,0.09877566535563576,0.10053375374177684,0.11699963664356865,0.8426199805936616,0.8426199805936616,-0.14175582040820137,5.101204146509532,1.6224803893909276,0.6224803893909275,33.0,18.0,0.66,0.36,False
hybridL200_S20_cd0_eL2_eS2_xL2_xS2,0.0997420640812737,0.10174505156918619,0.11913136644946362,0.8403364196360015,0.8403364196360015,-0.14715787416701814,5.1370466067892275,1.6275865125992401,0.6275865125992403,32.0,18.0,0.64,0.36,False
hybridL200_S20_cd1_eL2_eS2_xL2_xS2,0.0997420640812737,0.10174505156918619,0.11913136644946362,0.8403364196360015,0.8403364196360015,-0.14715787416701814,5.1370466067892275,1.6275865125992401,0.6275865125992403,32.0,18.0,0.64,0.36,False
hybridL200_S20_cd2_eL2_eS2_xL2_xS2,0.0997420640812737,0.10174505156918619,0.11913136644946362,0.8403364196360015,0.8403364196360015,-0.14715787416701814,5.1370466067892275,1.6275865125992401,0.6275865125992403,32.0,18.0,0.64,0.36,False
hybridL200_S20_cd0_eL3_eS2_xL2_xS2,0.09929772492155528,0.10130664179800311,0.11867237044622256,0.8401870416164533,0.8401870416164533,-0.14677770945296137,5.096254076466865,1.623508441367875,0.6235084413678752,34.0,18.0,0.68,0.36,False
hybridL200_S20_cd1_eL3_eS2_xL2_xS2,0.09929772492155528,0.10130664179800311,0.11867237044622256,0.8401870416164533,0.8401870416164533,-0.14677770945296137,5.096254076466865,1.623508441367875,0.6235084413678752,34.0,18.0,0.68,0.36,False
hybridL200_S20_cd2_eL3_eS2_xL2_xS2,0.09929772492155528,0.10130664179800311,0.11867237044622256,0.8401870416164533,0.8401870416164533,-0.14677770945296137,5.096254076466865,1.623508441367875,0.6235084413678752,34.0,18.0,0.68,0.36,False
hybridL200_S20_cd0_eL2_eS2_xL1_xS2,0.09780771161505583,0.0997125122704493,0.1170592541398939,0.8378873328126653,0.8378873328126653,-0.1432931497560751,5.126245550629384,1.6138690819323234,0.6138690819323233,34.0,16.0,0.68,0.32,False
hybridL200_S20_cd1_eL2_eS2_xL1_xS2,0.09780771161505583,0.0997125122704493,0.1170592541398939,0.8378873328126653,0.8378873328126653,-0.1432931497560751,5.126245550629384,1.6138690819323234,0.6138690819323233,34.0,16.0,0.68,0.32,False
hybridL200_S20_cd2_eL2_eS2_xL1_xS2,0.09780771161505583,0.0997125122704493,0.1170592541398939,0.8378873328126653,0.8378873328126653,-0.1432931497560751,5.126245550629384,1.6138690819323234,0.6138690819323233,34.0,16.0,0.68,0.32,False
hybridL200_S20_cd0_eL1_eS2_xL1_xS2,0.0982102634019477,0.10025948942218128,0.11827593263810893,0.8362493418045261,0.8362493418045261,-0.15252456216750684,5.411505745965768,1.6154766317835023,0.6154766317835023,33.0,16.0,0.66,0.32,False
hybridL200_S20_cd1_eL1_eS2_xL1_xS2,0.0982102634019477,0.10025948942218128,0.11827593263810893,0.8362493418045261,0.8362493418045261,-0.15252456216750684,5.411505745965768,1.6154766317835023,0.6154766317835023,33.0,16.0,0.66,0.32,False
hybridL200_S20_cd2_eL1_eS2_xL2_xS1,0.09946987525116929,0.10144100680045044,0.11900783185931804,0.8360534999282911,0.8360534999282911,-0.14732877786503534,5.142113992338539,1.6268577449772763,0.6268577449772765,31.0,19.0,0.62,0.38,False
hybridL200_S20_cd0_eL1_eS2_xL2_xS2,0.0997747246942826,0.10194899564712841,0.12019682365969919,0.835846830572177,0.835846830572177,-0.1523569784591551,5.274155716496824,1.6263857720431565,0.6263857720431566,32.0,18.0,0.64,0.36,False
hybridL200_S20_cd1_eL1_eS2_xL2_xS2,0.0997747246942826,0.10194899564712841,0.12019682365969919,0.835846830572177,0.835846830572177,-0.1523569784591551,5.274155716496824,1.6263857720431565,0.6263857720431566,32.0,18.0,0.64,0.36,False
hybridL200_S20_cd2_eL1_eS2_xL1_xS2,0.09791581730551327,0.09992416979257827,0.1178036065617171,0.8350549255197761,0.8350549255197761,-0.14723908587951717,5.250190935225602,1.6137372626810969,0.613737262681097,33.0,16.0,0.66,0.32,False
hybridL200_S30_cd0_eL2_eS1_xL1_xS1,0.09638715466887814,0.09824185495329914,0.11585224491693227,0.8347669995767485,0.8347669995767485,-0.14719241852627468,5.176419777191284,1.6038384056553687,0.6038384056553686,35.0,16.0,0.7,0.32,False
hybridL200_S30_cd1_eL2_eS1_xL1_xS1,0.09638715466887814,0.09824185495329914,0.11585224491693227,0.8347669995767485,0.8347669995767485,-0.14719241852627468,5.176419777191284,1.6038384056553687,0.6038384056553686,35.0,16.0,0.7,0.32,False
hybridL200_S30_cd0_eL3_eS1_xL2_xS1,0.0972244787411636,0.0992249574699526,0.1174895030238775,0.8311143139347648,0.8311143139347648,-0.14946512344794452,5.130383353462707,1.6093170147601137,0.6093170147601138,33.0,16.0,0.66,0.32,False
hybridL200_S30_cd1_eL3_eS1_xL2_xS1,0.0972244787411636,0.0992249574699526,0.1174895030238775,0.8311143139347648,0.8311143139347648,-0.14946512344794452,5.130383353462707,1.6093170147601137,0.6093170147601138,33.0,16.0,0.66,0.32,False
hybridL200_S30_cd0_eL2_eS1_xL2_xS1,0.09732552319206789,0.09941280931061486,0.11804337117168458,0.8297594656781192,0.8297594656781192,-0.1517325725271105,5.233452089451914,1.6091271947959351,0.609127194795935,33.0,16.0,0.66,0.32,False
hybridL200_S30_cd1_eL2_eS1_xL2_xS1,0.09732552319206789,0.09941280931061486,0.11804337117168458,0.8297594656781192,0.8297594656781192,-0.1517325725271105,5.233452089451914,1.6091271947959351,0.609127194795935,33.0,16.0,0.66,0.32,False
hybridL200_S30_cd2_eL2_eS1_xL1_xS1,0.09564519349903494,0.09754202796377047,0.11579865137783475,0.8290109834836382,0.8290109834836382,-0.14883279896793988,5.226674721397847,1.5989584736784976,0.5989584736784976,35.0,16.0,0.7,0.32,False
hybridL200_S20_cd2_eL1_eS2_xL2_xS2,0.0986136931097661,0.10083142285125186,0.11981377201094599,0.8285566296935126,0.8285566296935126,-0.1520739188283158,5.292825872948531,1.6182671802382727,0.6182671802382727,31.0,18.0,0.62,0.36,False
hybridL200_S30_cd2_eL3_eS1_xL2_xS1,0.09648470954472334,0.09852862423132355,0.11743621485644154,0.8254412712382656,0.8254412712382656,-0.15117138830682397,5.180717648463685,1.60440971596257,0.6044097159625702,33.0,15.0,0.66,0.3,False
hybridL200_S20_cd0_eL3_eS2_xL1_xS1,0.09541569010953817,0.09733060736159613,0.11552763727939772,0.825192098302887,0.825192098302887,-0.1397319097676815,5.109759741829571,1.596876329998819,0.5968763299988187,30.0,17.0,0.6,0.34,False
hybridL200_S20_cd1_eL3_eS2_xL1_xS1,0.09541569010953817,0.09733060736159613,0.11552763727939772,0.825192098302887,0.825192098302887,-0.1397319097676815,5.109759741829571,1.596876329998819,0.5968763299988187,30.0,17.0,0.6,0.34,False
hybridL200_S20_cd2_eL3_eS2_xL1_xS1,0.09541569010953817,0.09733060736159613,0.11552763727939772,0.825192098302887,0.825192098302887,-0.1397319097676815,5.109759741829571,1.596876329998819,0.5968763299988187,30.0,17.0,0.6,0.34,False
