Date,A_original_cefs_ief,B_original_cefs_bil,B2_original_cefs_sgov,C_etfs_ief,D_etfs_bil,D2_etfs_sgov,E_original_cefs_6m_ief,F_original_cefs_12m_ief,G_original_cefs_3_6_12m_ief,SPY_buy_hold,CEF_equal_weight_buy_hold,ETF_equal_weight_buy_hold
2006-02-28,,,,,,,,,,0.0,0.0,0.0
2006-03-31,,,,,,,,,,0.0,0.0,0.0
2006-04-30,,,,,,,,,,0.0,-0.004233955558293423,0.0
2006-05-31,,,,,,,,,,-0.03012049663330496,-0.014872683588403768,-0.021231232037936643
2006-06-30,,,,,,,,,,-0.02759106651309462,-0.01539868311276893,-0.0022431428189499947
2006-07-31,,,,,,,,,,-0.023236429787122814,0.0,0.0
2006-08-31,,,,,,,0.0,,,-0.0019209998593406885,0.0,0.0
2006-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2006-12-31,0.0,0.0,0.0,-0.01149621700000003,-0.008306831099999967,-0.008306831099999967,0.0,,,0.0,0.0,-0.008306831107882884
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2007-02-28,-0.012486671999999976,-0.012486671999999976,-0.012486671999999976,-0.011633803499999873,-0.016771283800000036,-0.016771283800000036,-0.012486671999999976,0.0,0.0,-0.019617686349086116,-0.012486672013060529,-0.016771283798063363
2007-03-31,0.0,0.0,0.0,-0.014580266543701481,-0.019022970671857542,-0.019022970671857542,0.0,0.0,0.0,-0.008256160208955032,0.0,-0.003567255432195604
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-31,-0.007817473899999983,-0.004333585899999992,-0.004333585899999992,0.0,0.0,0.0,-0.007817473899999872,-0.010600022600000036,-0.010600022600000036,0.0,-0.010600022587415547,0.0
2007-06-30,-0.025115757045436227,-0.01944163132387,-0.020528510339898998,-0.024084942900000073,-0.02182416779999985,-0.022915777399999837,-0.025115757045436116,-0.05107354421057875,-0.05107354421057875,-0.0146205664671325,-0.051073544178662944,-0.022915777404342252
2007-07-31,-0.0313919925847963,-0.03030719517521585,-0.032360508402453414,-0.020676279670639897,-0.027491081094576875,-0.030528552756685645,-0.015731627975091533,-0.08767161516342137,-0.0571826653591726,-0.045473087821909286,-0.08767161512061483,-0.05070368747791154
2007-08-31,-0.022836449789497393,-0.030649622989322167,-0.0347626841811427,-0.003507894103852327,-0.019375585971152964,-0.0245027790304001,-0.0070377599557779336,-0.08038038624683419,-0.04885492700380345,-0.03322378604061538,-0.060824011770184816,-0.028796897278095424
2007-09-30,-0.016504204161636782,-0.023629776970074512,-0.029147015812451826,0.0,0.0,-0.006458151520612243,-0.009639193429045956,-0.08648908469141903,-0.051346804872911656,0.0,-0.059260348131783824,0.0
2007-10-31,-0.007409159201937965,-0.019605364225813604,-0.028010528707361648,0.0,0.0,0.0,-0.0004806631127995953,-0.0828591802820684,-0.04107465630814666,0.0,-0.04510186768892077,0.0
2007-11-30,-0.043775639397579,-0.0734278268836378,-0.08329369843058931,-0.03376936679999998,-0.04289978509999992,-0.043888551100000006,0.0,-0.09649818079850803,-0.11076598599399479,-0.03873268342632685,-0.1356459692388886,-0.040436031430823416
2007-12-31,-0.04329326647277176,-0.07124396650577314,-0.08329369843058931,-0.016241542707777668,-0.024651091531807112,-0.026785451091680512,0.0,-0.08717457030186238,-0.10158961090458085,-0.04955713256889993,-0.13519592249294654,-0.03453869156709133
2008-01-31,-0.011186859912383551,-0.0675927745665954,-0.08329369843058931,-0.021700409041586988,-0.051736541156202076,-0.05668110737123988,0.0,-0.08068443224980248,-0.09520196298973005,-0.10702186857908036,-0.09232953440367675,-0.08003524148910846
2008-02-29,0.0,-0.0660681246493402,-0.08329369843058931,-0.009576082863617885,-0.050185963506623854,-0.05668110737123988,-0.02572319919999999,-0.07950933266175875,-0.08398856105510222,-0.130098726847089,-0.13710693226454185,-0.0826573008515159
2008-03-31,0.0,-0.0638884630723936,-0.08329369843058931,-0.005426499618210956,-0.05407098073648753,-0.06219073474565051,-0.012693366823054775,-0.06719882799808274,-0.07173796092276208,-0.1378776551348524,-0.11764751660428407,-0.06800555437478761
