Date,A_original_cefs_ief,B_original_cefs_bil,B2_original_cefs_sgov,C_etfs_ief,D_etfs_bil,D2_etfs_sgov,E_original_cefs_6m_ief,F_original_cefs_12m_ief,G_original_cefs_3_6_12m_ief,SPY_buy_hold,CEF_equal_weight_buy_hold,ETF_equal_weight_buy_hold
2006-02-28,,,,,,,,,,0.0057258209637411905,0.004392577288516719,-0.016990038233987953
2006-03-31,,,,,,,,,,0.016503725687632143,0.03200319294917664,0.026522863575311695
2006-04-30,,,,,,,,,,0.012631651266898691,-0.0042339555582935895,0.007247249784278681
2006-05-31,,,,,,,,,,-0.03012049663330485,-0.010683963456571965,-0.021231232037936615
2006-06-30,,,,,,,,,,0.002607983890194676,-0.0005339406547787695,0.019399974580842527
2006-07-31,,,,,,,,,,0.004478194899296906,0.039390177473753896,0.019218302093537143
2006-08-31,,,,,,,0.0393934085,,,0.021822507081357134,0.039393408482693015,0.0014637511612551057
2006-09-30,0.0106323008,0.0106323008,0.0106323008,0.0177028715,0.0116652284,0.0116652284,0.0106323008,,,0.027001761838857163,0.010632300824571034,0.0025180036850288023
2006-10-31,0.0411261434,0.0411261434,0.0411261434,0.025640981,0.0229485127,0.0229485127,0.0411261434,,,0.03151673043670211,0.041126143392349324,0.033612661970632396
2006-11-30,0.0343293203,0.0343293203,0.0343293203,0.0234824294,0.0169245947,0.0169245947,0.0343293203,,,0.019885246802172185,0.03432932030965774,0.038367267581655706
2006-12-31,0.0211066058,0.0211066058,0.0211066058,-0.011496217,-0.0083068311,-0.0083068311,0.0211066058,,,0.013371456833636719,0.021106605849889548,-0.008306831107882912
2007-01-31,0.0173602343,0.0173602343,0.0173602343,0.0224048111,0.0234053629,0.0234053629,0.0173602343,,,0.015039967437848079,0.017360234273227193,0.023405362893045956
2007-02-28,-0.012486672,-0.012486672,-0.012486672,-0.0116338035,-0.0167712838,-0.0167712838,-0.012486672,-0.012486672,-0.012486672,-0.019617686349086116,-0.012486672013060418,-0.01677128379806339
2007-03-31,0.0201705449,0.0201705449,0.0201705449,-0.0029811451,-0.0022900947,-0.0022900947,0.0201705449,0.0201705449,0.0201705449,0.011588873016100232,0.02017054492707207,0.013429254199239543
2007-04-30,0.0230529189,0.0230529189,0.0230529189,0.0250906193,0.0235741851,0.0235741851,0.0230529189,0.0230529189,0.0230529189,0.044295635930279964,0.023052918908661124,0.02357418509203943
2007-05-31,-0.0078174739,-0.0043335859,-0.0043335859,0.0234992026,0.0269830906,0.0269830906,-0.0078174739,-0.0106000226,-0.0106000226,0.0339204079702089,-0.010600022587415547,0.02698309063601087
2007-06-30,-0.0174345775,-0.0151738024,-0.016265412,-0.0240849429,-0.0218241678,-0.0229157774,-0.0174345775,-0.0409071382,-0.0409071382,-0.01462056646713239,-0.040907138179941266,-0.02291577740434228
2007-07-31,-0.006437929,-0.0110809965,-0.0120799821,0.0034927868,-0.0057933483,-0.0077913195,0.0096258906,-0.0385678687,-0.006437929,-0.03131029561289056,-0.03856786868722578,-0.02843962621743057
2007-08-31,0.0088328227,-0.0003531302,-0.0024825111,0.0175308585,0.0083449056,0.0062155247,0.0088328227,0.0079918909,0.0088328227,0.012832851148578683,0.029427565551388035,0.023076872743363175
2007-09-30,0.0064802311,0.0072418046,0.0058179147,0.0191601932,0.0199217668,0.0184978769,-0.0026198715,-0.0066426361,-0.0026198715,0.03871384736373784,0.001664931448416035,0.03796948877632067
2007-10-31,0.0092476704,0.0041218102,0.0011706068,0.0151266222,0.0117093821,0.0097419132,0.0092476704,0.0039735753,0.0108281389,0.013567019153592375,0.015050370646911282,0.015759132395259223
2007-11-30,-0.0366379365,-0.0548987731,-0.0568763051,-0.0337693668,-0.0428997851,-0.0438885511,0.0211673377,-0.0148712174,-0.0726764916,-0.03873268342632685,-0.09482069184786202,-0.04043603143082333
2007-12-31,0.0005044558,0.0023569242,0.0,0.0181404144,0.0190666487,0.0178881866,0.0005044558,0.0103194153,0.0103194153,-0.01126060249416938,0.0005206740871512572,0.00614585380120683
2008-01-31,0.0335592982,0.0039312713,0.0,-0.0055489905,-0.0277700107,-0.0307184642,0.0335592982,0.0071099444,0.0071099444,-0.06046101031353801,0.04956774511614176,-0.047124156633335246
2008-02-29,0.0123932651,0.001635176,0.0,0.0123932651,0.001635176,0.0,-0.0257231992,0.0012782331,0.0123932651,-0.02584257940481538,-0.04933221863889464,-0.0028501737030139362
2008-03-31,0.0133738506,0.002333855,0.0,0.0041897042,-0.0040902925,-0.0058406838,0.0133738506,0.0133738506,0.0133738506,-0.008942311648273638,0.02255136399615104,0.015971944280287587
2008-04-30,-0.0241750806,-0.000653923,0.0,-0.0241750806,-0.000653923,0.0,-0.0241750806,-0.0241750806,-0.0241750806,0.047662564633294435,0.042644367180991904,0.0576960864810262
2008-05-31,-0.0027128423,0.0113389422,0.0106183368,0.0095122592,0.0141961874,0.0139559856,-0.0110260405,-0.0177749054,-0.0177749054,0.015116421329135932,0.03158831293507236,0.017735090886799643
2008-06-30,-0.0681456336,-0.0704263935,-0.0710106407,-0.0201134406,-0.0223942005,-0.0229784477,-0.0681456336,0.0114600284,-0.0681456336,-0.08357617938962802,-0.09118133544770426,-0.043872492578627076
2008-07-31,0.0052456361,0.0012481658,-0.0001586545,-0.03437874,-0.0383762104,-0.0397830307,0.0106878761,0.0072057209,0.0072057209,-0.00898577742214246,0.01785589789752695,-0.03283278204649931
2008-08-31,0.0017342083,-0.0055059931,-0.0058984073,0.0152652311,0.0007848283,0.0,0.0034219347,0.0152652311,0.0152652311,0.015453900364064799,-0.0069579498276519935,0.014258696273677207
2008-09-30,-0.0014020307,0.0050829608,0.0,-0.0014020307,0.0050829608,0.0,-0.0478198462,-0.0014020307,-0.0014020307,-0.09417368012912741,-0.14504667767014143,-0.06964427875856033
2008-10-31,-0.0086288644,-0.0023253586,0.0,-0.085789119,-0.0810614896,-0.0793174707,-0.0086288644,-0.0086288644,-0.0086288644,-0.1651863558864024,-0.20059649641891286,-0.17004764128950328
2008-11-30,0.0775381482,-0.0005018546,0.0,0.0775381482,-0.0005018546,0.0,0.0775381482,0.0775381482,0.0775381482,-0.06960669480853521,-0.25439001848975007,-0.08100013774646306
2008-12-31,0.0515617569,0.0003045768,0.0,0.0515617569,0.0003045768,0.0,0.0515617569,0.0515617569,0.0515617569,0.009796345840573428,0.099469054496578,0.046180171049521934
2009-01-31,-0.0388713038,0.0019653818,0.0,-0.0291785009,0.0014490133,-2.5023e-05,-0.0388713038,-0.0388713038,-0.0388713038,-0.08211426583101289,0.05316903236543752,-0.0688292026884636
2009-02-28,-0.0073489982,-4.33829e-05,0.0,-0.0042468779,0.0012323336,0.0012648707,-0.0073489982,-0.0073489982,-0.0073489982,-0.1074491774934524,-0.12544355912384822,-0.10776191638898108
2009-03-31,0.061804142,0.0369025734,0.0369513812,0.0255721413,0.0006705727,0.0007193806,0.0331370143,0.0331370143,0.0331370143,0.08331107977967966,0.043855369897218666,0.04006158947987942
2009-04-30,-0.0261307561,-0.0050833899,-0.005541129,-0.0147774947,0.0062698715,0.0058121323,-0.0274528361,-0.0274528361,-0.0274528361,0.09934556094342506,0.21201749234636816,0.1269053440803773
2009-05-31,0.0111733405,0.0268344469,0.0267527576,-0.0153994853,0.000261621,0.0001799317,-0.0207725561,-0.0207725561,-0.0207725561,0.058453692728161366,0.0844633696695648,0.053552192172794943
