strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,exposure_BIL,exposure_SGOV,exposure_MUB,exposure_SPY,exposure_VNQ,exposure_XLE
A_original_cefs_ief,2006-09-30,2026-05-31,237,0.11168466730234394,0.10517029627935022,0.9397975104591378,1.56052258883663,-0.18016399247682113,0.6199055969339303,0.33041093567677615,-0.11352605409074978,0.6624472573839663,7.093510074245554,149,0.18459915611814345,0.32383966244725737,0.16561181434599156,0.16244725738396623,0.16350210970464135,,,,,,
B_original_cefs_bil,2006-09-30,2026-05-31,237,0.10130021187918259,0.09932330726419826,0.8938537861189861,1.369888360194192,-0.12427463715462927,0.8151318257573292,0.4154545824864406,-0.12421892523306566,0.6455696202531646,5.724159783538244,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,0.32383966244725737,,,,,
B2_original_cefs_sgov,2006-09-30,2026-05-31,237,0.09903579825254405,0.09960491511094438,0.8707806911286124,1.3509656602115003,-0.14455913771403062,0.685088468419467,0.4120435739880395,-0.13021861953761527,0.6033755274261603,5.456301659281163,149,0.18459915611814345,,0.16561181434599156,0.16244725738396623,0.16350210970464135,,0.32383966244725737,,,,
C_etfs_ief,2006-09-30,2026-05-31,237,0.07213084817330073,0.08448592186659952,0.7157109460637994,1.0436743224963516,-0.14074991638350598,0.5124752470670279,0.29624345062614466,-0.039999588661399965,0.6582278481012658,2.9572536917670216,177,,0.34810126582278483,,,,,,0.14556962025316456,0.1940928270042194,0.15928270042194093,0.1529535864978903
D_etfs_bil,2006-09-30,2026-05-31,237,0.058254968730058865,0.07672244778686528,0.6092894773923037,0.8244903330130793,-0.18250684255083294,0.31919334045699316,0.3037462486378213,-0.14601798534689914,0.6540084388185654,2.0595583910592516,177,,,,,,0.34810126582278483,,0.14556962025316456,0.1940928270042194,0.15928270042194093,0.1529535864978903
D2_etfs_sgov,2006-09-30,2026-05-31,237,0.05627460302993814,0.07686462829345198,0.5838154737549558,0.7948223779791415,-0.1954464406601779,0.28792851299749483,0.3037808200323331,-0.15606606089427644,0.6329113924050633,1.9484417088266754,177,,,,,,,0.34810126582278483,0.14556962025316456,0.1940928270042194,0.15928270042194093,0.1529535864978903
E_original_cefs_6m_ief,2006-08-31,2026-05-31,238,0.09756349917910279,0.10342037254825855,0.8303190405158715,1.3235213085030206,-0.17961696305313657,0.5431753077254753,0.2945544575905452,-0.15257528539808418,0.634453781512605,5.336578744488942,143,0.17647058823529413,0.3403361344537815,0.16491596638655462,0.15546218487394958,0.16281512605042017,,,,,,
F_original_cefs_12m_ief,2007-02-28,2026-05-31,232,0.0665170900089147,0.10680585640863456,0.5343044150849783,0.7693327011919927,-0.173668477646729,0.3830118793591414,0.2410185452697431,-0.13420959434765167,0.6120689655172413,2.473051057667117,114,0.19288793103448276,0.33405172413793105,0.16594827586206898,0.1411637931034483,0.16594827586206898,,,,,,
G_original_cefs_3_6_12m_ief,2007-02-28,2026-05-31,232,0.09126680386890951,0.10446370178881176,0.7645253324544511,1.2350439680963243,-0.1709102136854428,0.5340043868699645,0.30772639141789226,-0.09614513231215183,0.6293103448275862,4.4116735268885465,121,0.18642241379310345,0.3168103448275862,0.17672413793103448,0.15517241379310345,0.1648706896551724,,,,,,
SPY_buy_hold,2006-02-28,2026-05-31,244,0.11174297850821091,0.15144254520411612,0.6959655776807381,0.9489718717170524,-0.5078482095527795,0.22003223877979963,0.3230778550695075,-0.36794993706968937,0.6721311475409836,7.618321738224903,0,,,,,,,,,1.0,,
CEF_equal_weight_buy_hold,2006-02-28,2026-05-31,244,0.08844458726887838,0.19083927306442605,0.47989141381380146,0.5323937547107067,-0.5557411725558985,0.1591470843560404,0.6853380580642539,-0.4351913390952522,0.6270491803278688,4.602672730065714,0,0.25,,0.25,0.25,0.25,,,,,,
ETF_equal_weight_buy_hold,2006-02-28,2026-05-31,244,0.07567919628916009,0.13640886993914594,0.5135210372645366,0.6327183301739268,-0.42150401206812704,0.17954561314336476,0.30557416272163396,-0.2764570034541841,0.6434426229508197,3.4077434786115655,0,,,,,,,,0.25,0.25,0.25,0.25
