Date,A_original_cefs_ief,B_original_cefs_bil,B2_original_cefs_sgov,C_etfs_ief,D_etfs_bil,D2_etfs_sgov,E_original_cefs_6m_ief,F_original_cefs_12m_ief,G_original_cefs_3_6_12m_ief,SPY_buy_hold,CEF_equal_weight_buy_hold,ETF_equal_weight_buy_hold
2020-07-31,,,,,,,,,,0.0,0.0,0.0
2020-08-31,,,,,,,,,,0.0,0.0,0.0
2020-09-30,,,,,,,,,,-0.0374435535283314,-0.05039406702996874,-0.05222745241006077
2020-10-31,,,,,,,,,,-0.06144354973361066,-0.04762351655094643,-0.07621058041109752
2020-11-30,,,,,,,,,,0.0,0.0,0.0
2020-12-31,,,,,,,,,,0.0,0.0,0.0
2021-01-31,,,,,,,0.0,,,-0.010190626701521821,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-07-31,-0.009027235599999961,-0.009027235599999961,-0.009027235599999961,-0.0024861392999999676,-0.0024861392999999676,-0.0024861392999999676,-0.009027235599999961,0.0,0.0,0.0,-0.009027235595212346,-0.002486139287512401
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,-0.03886747690000003,-0.03886747690000003,-0.03886747690000003,-0.005289183599999858,-0.005289183599999858,-0.005289183599999969,-0.03886747690000003,-0.03886747690000003,-0.03886747690000003,-0.046605197915812524,-0.038867476945851354,-0.005289183646932871
2021-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-30,-0.051562600500000055,-0.051562600500000055,-0.051562600500000055,-0.017994236300000077,-0.017994236299999966,-0.017994236299999966,-0.051562600500000055,-0.051562600500000055,-0.051562600500000055,-0.008034986713717829,-0.0515626004639852,-0.017994236328062962
2021-12-31,-0.01432985942422782,-0.013087332832140586,-0.013056533750248067,0.0,0.0,0.0,-0.016182731090703117,-0.006172723509682454,-0.006172723509682454,0.0,-0.006172723460847407,0.0
2022-01-31,-0.05955692349006769,-0.047944469047501936,-0.04791475776985843,0.0,0.0,0.0,-0.0613247769114772,-0.028404423726103745,-0.028404423726103745,-0.05274130964069479,-0.02840442368217866,0.0
2022-02-28,-0.06405074759600249,-0.051150399230770915,-0.05098312951975059,0.0,0.0,0.0,-0.06581015348611607,-0.04531077388847626,-0.03304710729827953,-0.08070152484439697,-0.04531077388643345,0.0
2022-03-31,-0.052182585271585036,-0.019634533950007804,-0.019547078547454078,-0.007110311100000044,0.0,0.0,-0.07944703208940262,-0.017852888796003108,-0.020785808022519947,-0.04614481330424669,-0.01785288883262026,0.0
2022-04-30,-0.08290360064492774,-0.02040146630528461,-0.020027815302398944,-0.0427860004945807,-0.004301086500000051,-0.004009115300000143,-0.11777815391045598,-0.07007092799049808,-0.06155953836721251,-0.12986382259584262,-0.07338115423796521,-0.042672392917009305
2022-05-31,-0.07706014861402344,-0.01702815331732488,-0.01659344986262823,-0.012667138998143646,0.0,0.0,-0.10339361722592733,-0.06414571017451698,-0.046258362924281315,-0.1278997398659084,-0.06654125931986776,-0.011483715064683153
2022-06-30,-0.10851141054012259,-0.04358654168866516,-0.04313949775824655,-0.061204345038098684,-0.04210112379999997,-0.042076631899999994,-0.13394750667700328,-0.11079354740281888,-0.07875926533135524,-0.19981335682784762,-0.13988186587784157,-0.09607676172328694
2022-07-31,-0.0630992308749484,-0.01585119554210057,-0.015298585932702502,-0.01767380190290302,-0.018701471867551778,-0.01858367711028286,-0.08983103464219655,-0.06549761915180141,-0.031831519701995825,-0.12612631560833265,-0.0522559381785469,-0.028860323089148432
2022-08-31,-0.09094970850094541,-0.015230497024554035,-0.01451301812537853,-0.03955307246767359,-0.010768699117082225,-0.010485980213647328,-0.11688687795124497,-0.09795214157301069,-0.06545523890838245,-0.16178204486128334,-0.08364253670105948,-0.052847037004082
2022-09-30,-0.1430616587960647,-0.035185442191100424,-0.034252037369492006,-0.09661173862097205,-0.03287437406693361,-0.032366566526021656,-0.16751196168042193,-0.14966267244435472,-0.11902867768728764,-0.23927173926552558,-0.20428222601848633,-0.13449186675252955
2022-10-31,-0.13177709127252024,-0.010811087436683797,-0.009577226853452303,-0.05008039556726973,0.0,0.0,-0.17961691234083266,-0.1384650301762882,-0.10742763255377541,-0.17744342284948955,-0.1564854188268161,-0.057137193627957994
2022-11-30,-0.10434441524165916,-0.00401715271011549,-0.002881596508019113,-0.021310869579496572,0.0,0.0,-0.153695800102575,-0.11124366861250334,-0.07922560247127186,-0.1317159822469104,-0.0989167804211204,-0.015115084834575132
2022-12-31,-0.1262294763384989,-0.014529620691515865,-0.013273141731009575,-0.04715527972579414,-0.021780564800000013,-0.021736133999999963,-0.1662892079145003,-0.13296014863408046,-0.10172443381809926,-0.1817537247030968,-0.16229432242580877,-0.04985481402855674
2023-01-31,-0.09493882061188441,-0.011728114755590546,-0.01012002832838621,-0.017525182090860403,-0.007486498328758695,-0.007268893045350722,-0.1259464813460257,-0.09100465042093164,-0.05825745954640049,-0.13029642339182823,-0.0772902332152885,0.0
2023-02-28,-0.13081856071189046,-0.05090661362202653,-0.04936227727534748,-0.060715477555640995,-0.05111810150938012,-0.05091006230981865,-0.15147871914737543,-0.11755758445809994,-0.08576698153486761,-0.15216321567092483,-0.11386962405457712,-0.0439607150206176
2023-03-31,-0.11314611823144605,-0.05525590107109668,-0.05351713498160671,-0.025764000426731992,-0.04733116945698346,-0.046854061828075055,-0.13422634484267015,-0.09961551606356378,-0.06717853762403014,-0.12072717086727647,-0.11433182659970853,-0.034483140598128514
2023-04-30,-0.10501778961167307,-0.04979762597888526,-0.04820343735312915,-0.01840718675191866,-0.042288874343996974,-0.041913049266387836,-0.13371583439413992,-0.09500988483794526,-0.06145768687665509,-0.10668072203838519,-0.11380958515685735,-0.0236672695295449
2023-05-31,-0.12616023073818305,-0.06793655420128131,-0.06626313314379928,-0.04699425933156043,-0.06583839819646242,-0.06536142489196306,-0.14466206666343318,-0.10802668146978434,-0.07052619439595498,-0.10255711798686551,-0.141229049822021,-0.05826000294973943
2023-06-30,-0.11405663895594742,-0.047029887277881266,-0.045269391574804474,-0.03621035257090088,-0.04725310814670047,-0.046717058601998596,-0.15539882582640485,-0.11922331186298718,-0.0637953870605652,-0.04440300612142112,-0.10116014835898568,-0.01216262771309562
2023-07-31,-0.10666024911113314,-0.031657201426752324,-0.02972386537341154,-0.03303398148835124,-0.03669815181979019,-0.03601194150219944,-0.11875678666280964,-0.09420457470566279,-0.03720220237245864,-0.013123202931224154,-0.062165027293227815,0.0
2023-08-31,-0.12553730713441702,-0.052119140097799055,-0.050226657142981135,-0.042916261255909416,-0.04358661361604643,-0.04291881414419718,-0.12381913588895854,-0.09801200026879942,-0.041249232026673854,-0.029161937193876275,-0.08198230864219347,-0.010330848022523154
