strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,exposure_BIL,exposure_SGOV,exposure_MUB,exposure_SPY,exposure_VNQ,exposure_XLE
A_original_cefs_ief,2021-02-28,2026-05-31,64,0.09709710510590353,0.11726399053839956,0.5841893478453053,1.1500573247921422,-0.1801637454257492,0.5389380914370484,0.2767791304787217,-0.11352643476539281,0.609375,0.6392317924408553,59,0.17578125,0.3359375,0.20703125,0.13671875,0.14453125,,,,,,
B_original_cefs_bil,2021-02-28,2026-05-31,64,0.10978993641826329,0.10452150925716511,0.7527202228996935,1.278131843345787,-0.08406815869939943,1.305963376821855,0.2767791304787217,-0.048172314871954836,0.640625,0.7429469645145632,59,0.17578125,,0.20703125,0.13671875,0.14453125,0.3359375,,,,,
B2_original_cefs_sgov,2021-02-28,2026-05-31,64,0.11031342783045561,0.1044773878620522,0.7575480791510387,1.272055312641413,-0.08347403469653825,1.3215298413631182,0.2767791304787217,-0.0473578480208342,0.640625,0.7473362673385042,59,0.17578125,,0.20703125,0.13671875,0.14453125,,0.3359375,,,,
C_etfs_ief,2021-02-28,2026-05-31,64,0.06989787960836025,0.09778787046172872,0.42080563719526404,0.686173256199845,-0.09661173862097205,0.7234926170057261,0.2862612204849002,-0.03999965319747156,0.59375,0.4338126564488849,71,,0.37890625,,,,,,0.11328125,0.19140625,0.1328125,0.18359375
D_etfs_bil,2021-02-28,2026-05-31,64,0.07805101935484515,0.08187029752793894,0.578236790085078,0.8866052802607158,-0.07961977249416319,0.9802969401924247,0.29370623850481703,-0.024722217284389503,0.640625,0.49305684994267707,71,,,,,,0.37890625,,0.11328125,0.19140625,0.1328125,0.18359375
D2_etfs_sgov,2021-02-28,2026-05-31,64,0.07858426352907699,0.0818634081694856,0.5843549427703517,0.8911309144978491,-0.07931225114279172,0.9908212463620018,0.2937405437993639,-0.023930233840992132,0.640625,0.4969998548989507,71,,,,,,,0.37890625,0.11328125,0.19140625,0.1328125,0.18359375
E_original_cefs_6m_ief,2021-01-31,2026-05-31,65,0.11236098423776464,0.1200613357040748,0.6932129691122663,1.322630509394559,-0.17961691234083266,0.6255590454898461,0.29455485671531334,-0.15257556618233759,0.5846153846153846,0.7803188903998908,55,0.17692307692307693,0.35384615384615387,0.2,0.12692307692307692,0.1423076923076923,,,,,,
F_original_cefs_12m_ief,2021-07-31,2026-05-31,59,0.07622045598079952,0.1225248305922817,0.38370475502896517,0.7248617224920005,-0.15435790525575166,0.4937904272185593,0.21427954360215185,-0.12757490976917563,0.5932203389830508,0.4349863691926179,28,0.1906779661016949,0.3389830508474576,0.2288135593220339,0.09745762711864407,0.1440677966101695,,,,,,
G_original_cefs_3_6_12m_ief,2021-07-31,2026-05-31,59,0.08655658460996629,0.11855398808021304,0.4736389328456021,0.8931875661186734,-0.11902867768728764,0.7271910122144506,0.2549847808410082,-0.0961451879705455,0.5932203389830508,0.5040330431137614,35,0.18220338983050846,0.3389830508474576,0.2330508474576271,0.11440677966101695,0.13135593220338984,,,,,,
SPY_buy_hold,2020-07-31,2026-05-31,71,0.17958727100193972,0.1570413659107893,0.9571571876905166,1.695208091478812,-0.23927173926552558,0.7505578032458209,0.28728764436508714,-0.1817537247030967,0.6619718309859155,1.6570697676617931,0,,,,,,,,,1.0,,
CEF_equal_weight_buy_hold,2020-07-31,2026-05-31,71,0.1573527891489519,0.1760587623735036,0.7614774135968935,1.3311263971153597,-0.20428222601848633,0.7702715611426341,0.3077265141650458,-0.1570912799944777,0.6056338028169014,1.3741369218046735,0,0.25,,0.25,0.25,0.25,,,,,,
ETF_equal_weight_buy_hold,2020-07-31,2026-05-31,71,0.1351033517552831,0.13124679406312684,0.8204191278115264,1.3461742931691745,-0.13449186675252955,1.0045466318337204,0.30557416980150776,-0.0031285733752531852,0.647887323943662,1.1165384017833158,0,,,,,,,,0.25,0.25,0.25,0.25
