Date,rotation_original_cefs_bil,rotation_top4_bil,winningstrat_top4_zero_cash,winningstrat_top4_bil_cash,hybrid_rotation_gate_plus_winning_daily_bil,hybrid_rotation_gate_or_winning_daily_bil
2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,-0.0014403076000000237,0.0,0.0,0.0,0.0,0.0
2017-05-31,-0.019218225895928698,0.0,0.0,0.0,0.0,0.0
2017-06-30,-0.011503573688092628,-0.00048327739999998176,-0.0003583794660984019,-0.0003583794660984019,-0.0003583794660985129,-0.0003583794660984019
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,-0.004070231200000052,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,-0.014817835800000068,0.0,0.0,0.0,0.0,0.0
2018-02-28,-0.04090539202303778,-0.02131316849999987,-0.02126383841006152,-0.02126383841006152,-0.02126383841006141,-0.02126383841006152
2018-03-31,-0.061985940669563866,-0.056481102527562776,-0.056339879133952886,-0.056339879133952886,-0.056339879133952886,-0.056339879133952886
2018-04-30,-0.05950828243362982,-0.05224278582491937,-0.05203358340203035,-0.05203358340203035,-0.05203358340203035,-0.05203358340203035
2018-05-31,-0.05809930536372643,-0.01820796730181906,-0.015470577136328267,-0.015390590084151334,-0.015390590084151334,-0.011733191201019122
2018-06-30,-0.04412690848520362,-0.013226070691831904,-0.010437882490056616,-0.010357486561923479,-0.009518169981501123,-0.006681391872093045
2018-07-31,-0.025834191163982334,0.0,0.0,0.0,0.0,0.0
2018-08-31,-0.004832853351917854,0.0,0.0,0.0,0.0,0.0
2018-09-30,-0.02406559892244209,0.0,0.0,0.0,0.0,0.0
2018-10-31,-0.08477165291383637,-0.08345302889999995,-0.07109445353251875,-0.07078949675545765,-0.07078949675545754,-0.08327284952970282
2018-11-30,-0.07278868751121381,-0.0771254393787768,-0.10071224618033126,-0.09884329404538184,-0.09884329404538184,-0.073653293447009
2018-12-31,-0.12421870476991559,-0.09704451490366894,-0.10975995835035435,-0.10631282365044004,-0.10181732075109029,-0.13800787662450065
2019-01-31,-0.12268616746209537,-0.09546442524458632,-0.08186778507106762,-0.07745610059692432,-0.09492044308676328,-0.10189044462731678
2019-02-28,-0.09968859901807003,-0.09379280632602627,-0.049176815676700514,-0.044608048987407,-0.0932478188306598,-0.06991240104047913
2019-03-31,-0.07208184689556352,-0.07939286318947947,-0.035459187301012496,-0.030692253340423692,-0.09166139161013631,-0.05636517683873021
2019-04-30,-0.05122675055732373,-0.04663657061848625,-0.0011900346695168373,0.0,-0.0779939544500119,-0.022838792721483148
2019-05-31,-0.049257593120380805,-0.10526911280927198,-0.05946655356137032,-0.05826903905936642,-0.13171836073113596,-0.08310132680245219
2019-06-30,-0.0245340226588463,-0.06150340326725601,-0.020490712606218153,-0.01901424147270847,-0.09552520003939635,-0.022673215134097036
2019-07-31,-0.0031095265701004404,-0.044384470228489015,-0.0025932554057269686,-0.0010898063974182914,-0.08338070532794517,-0.0048156363156542925
2019-08-31,0.0,-0.053625353150891675,-0.012197563696679792,-0.010708591819043933,-0.09220708868576699,-0.014398544679732228
2019-09-30,0.0,-0.043210317133460574,-0.0012989616058423081,0.0,-0.0821912460863885,-0.003524226408272213
2019-10-31,-0.0026186083999998333,-0.021341505700701258,0.0,0.0,-0.06126386251433902,0.0
2019-11-30,0.0,0.0,0.0,0.0,-0.027698383480225575,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,-0.0044875675000000115,0.0,0.0,0.0,0.0,0.0
2020-02-29,-0.030391464900891396,-0.07384502100000001,-0.07379440612742372,-0.07379440612742372,-0.07379440612742372,-0.07379440612742372
2020-03-31,-0.058857448109191024,-0.10979138444917413,-0.13677213881162553,-0.13573959240218259,-0.13573959240218259,-0.15400464839254913
2020-04-30,-0.059042416407655174,-0.10996634240061909,-0.08883466614447955,-0.0882227387075617,-0.10051810660044569,-0.08025095519183978
2020-05-31,-0.05920668831211995,-0.08215762722154063,-0.04798565594464077,-0.0473979064672011,-0.10067513770640324,-0.03906918629764722
2020-06-30,-0.05649403695825106,-0.04664730525730176,-0.022081771885029022,-0.021452108993890717,-0.07547832486617867,-0.01289654144682395
2020-07-31,-0.03214219249127426,0.0,0.0,0.0,-0.013463303665452453,0.0
2020-08-31,-0.01328873441807299,0.0,0.0,0.0,0.0,0.0
