,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
BuyAndHold,0.20667862402786707,0.22071232154194842,0.25586131341444285,0.7453738081654948,-0.35118730602679066,13.093163691925938,2.936680547363982
SMA50,0.1575693912836047,0.1575939143959858,0.1497620334807464,0.8519777104414746,-0.17759495107487933,7.389113438057511,2.3141247411507875
SMA100,0.14883407212066735,0.15143798927969596,0.1588141731377784,0.7646546078374447,-0.17174919793664423,6.346745103557856,2.215761705683713
SMA150,0.16446700622381383,0.16580449057584484,0.1640631159660593,0.8277575966796797,-0.1831800399775176,7.462453807044901,2.3943172372672805
SMA200,0.21386839106159594,0.20889692194829018,0.17302150283847015,1.0339577394337236,-0.1831800399775176,6.547282644592515,3.0384399513891136
SMA220,0.14624334903660308,0.15095538548210585,0.16955755471325681,0.7133588691265138,-0.26481485761808915,11.265258529933678,2.1872622784960503
SMA221,0.14624334903660308,0.15095538548210585,0.16955755471325681,0.7133588691265138,-0.26481485761808915,11.265258529933678,2.1872622784960503
SMA225,0.18976642106296948,0.18900749032784572,0.17401330176497856,0.9137662966857582,-0.1946387809565228,9.309200650763504,2.708363884161519
SMA230,0.18976642106296948,0.18900749032784572,0.17401330176497856,0.9137662966857582,-0.1946387809565228,9.309200650763504,2.708363884161519
SMA240,0.14747472165053677,0.15191909406857113,0.16890849539004077,0.7218055775527308,-0.2602745935535802,11.374870910232179,2.2007700981597327
SMA250,0.14812982773436723,0.15167972170583474,0.16403609766749583,0.7417862497099985,-0.19749856795596274,11.997257020089958,2.207984451468282
SMA252,0.14812982773436723,0.15167972170583474,0.16403609766749583,0.7417862497099985,-0.19749856795596274,11.997257020089958,2.207984451468282
SMA300,0.1130385450622009,0.12072580134430876,0.16470343296994072,0.5508434141798776,-0.23895593912144072,12.14085129497361,1.847972134473396
M10,0.12282898150012667,0.13088773579004676,0.1729799429771498,0.5832337209370787,-0.18904489750521244,10.028575924289614,1.9431424980590317
