scenario,strategy,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits,avg_trade_days,median_trade_days
base,SMA50,2012,0.08572337007943887,0.08763258808592617,0.09732831858756381,0.5921461391945819,-0.12333933252484355,6.654490142605899,0.568,6,6,23.666666666666668,5.5
base,SMA50,2013,0.17516749535116305,0.1673442480531547,0.10856124292220934,1.2651314995681302,-0.04401074164343194,1.7728856934260975,0.873015873015873,6,5,36.666666666666664,36.5
base,SMA50,2014,0.04055005063028294,0.04433311866999381,0.09573482558374755,0.14971687244006504,-0.06622156019880107,2.9153570514143157,0.7023809523809523,7,6,25.285714285714285,17.0
base,SMA50,2015,-0.08149618127694513,-0.07879425065519886,0.11150414202920628,-0.9756969443045659,-0.10319795779296377,6.593306426393543,0.5595238095238095,11,11,12.818181818181818,7.0
base,SMA50,2016,0.06597021160624439,0.0670693523954911,0.07984231492334593,0.4642820342957267,-0.05560034931713147,2.403836775898233,0.5634920634920635,7,6,20.285714285714285,14.0
base,SMA50,2017,0.23397086752284557,0.21564625351419284,0.0947810738344361,1.9586848513499688,-0.061041773665884445,2.4265370643825666,0.9043824701195219,5,4,45.4,21.0
base,SMA50,2018,0.08818034346220616,0.0914505903080303,0.11478986097676275,0.5353311676235056,-0.09704230822882548,5.013986679333629,0.6095617529880478,4,4,38.25,23.5
base,SMA50,2019,0.17318235711972085,0.16590624185599495,0.11074716256002251,1.2271758365126222,-0.1035522801896839,5.603285449919054,0.6984126984126984,4,3,44.0,43.0
base,SMA50,2020,0.31958769724939917,0.2956666905394712,0.19607612405674057,1.3549160654695136,-0.17759495107487933,8.310115851241154,0.7549407114624506,6,5,31.833333333333332,24.0
base,SMA50,2021,0.09474969324749094,0.10017213212114229,0.13891407483771945,0.5051477483697598,-0.09153460752915339,4.5203929498554425,0.7301587301587301,6,5,30.666666666666668,30.5
base,SMA50,2022,-0.08914044662515896,-0.08481164477646136,0.13382464015675358,-0.8579260489098152,-0.1177223102432874,6.955826936540234,0.2549800796812749,4,4,16.0,16.5
base,SMA50,2023,0.2988990993236036,0.2746389370696092,0.14813671447665772,1.6514402788928975,-0.07840290263047732,3.920208581257091,0.72,7,6,25.714285714285715,4.0
base,SMA50,2024,0.16819729136568906,0.16622149360601468,0.14646148442464432,0.9300840705059342,-0.09790028806339343,4.583418929311534,0.8015873015873016,5,4,40.4,52.0
base,SMA50,2025,0.15901924480310914,0.20543491167892633,0.11437318813591664,1.5338814501738498,-0.07586131792048142,4.160504353804132,0.6524064171122995,6,5,20.333333333333332,2.5
base,SMA100,2012,0.12231461680163536,0.12144944182856261,0.10131474969031483,0.9026271308777138,-0.08859152042426471,5.9395473481844565,0.592,3,3,49.333333333333336,52.0
base,SMA100,2013,0.2480438162045866,0.22839510116421502,0.11608053663742846,1.709115988874964,-0.05853823568723506,1.682246931566149,0.9325396825396826,4,3,58.75,52.0
base,SMA100,2014,0.08641346153788976,0.08988908080763025,0.1183755039286621,0.5059246112584396,-0.07815262090053676,3.601258860762534,0.8293650793650794,5,4,41.8,47.0
base,SMA100,2015,-0.05580264276822988,-0.04948788011228286,0.12599314136739873,-0.6308905330052411,-0.09021811243428665,4.437277124595865,0.7420634920634921,7,6,26.714285714285715,5.0
base,SMA100,2016,-0.06408279282183105,-0.06131583647651596,0.09891844193449262,-0.9231426889738986,-0.08796236387780909,3.7393197571473005,0.626984126984127,7,6,22.571428571428573,15.0
base,SMA100,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
base,SMA100,2018,0.0018820466256581625,0.011622258619403369,0.1392275970135199,-0.13199783501838386,-0.12757861313945743,7.794925660947416,0.6533864541832669,4,4,41.0,27.0
base,SMA100,2019,0.06719370909905908,0.0718913616612737,0.11691610468115185,0.35830274858641487,-0.15072094854094362,7.599643816019593,0.7579365079365079,5,4,38.2,39.0
base,SMA100,2020,0.25816976357131516,0.2525146279390844,0.2169567844939776,1.0256172834514936,-0.17174919793664423,8.662365552551563,0.8379446640316206,4,3,53.0,38.5
base,SMA100,2021,0.09313692768742343,0.10308048988862388,0.16752337030371453,0.43624056605434386,-0.1135754524581155,5.302869589682714,0.9126984126984127,5,4,46.0,43.0
base,SMA100,2022,-0.05666995040695222,-0.05500539290322505,0.0842172302473517,-1.0093586865010695,-0.08503856912484761,5.74986379717804,0.09561752988047809,3,3,8.0,5.0
base,SMA100,2023,0.3679739683040937,0.32854240390682876,0.1587077651529544,1.8810825268638172,-0.08250330039236657,3.832632572951306,0.82,3,2,68.33333333333333,36.0
base,SMA100,2024,0.08755476572883936,0.09724782554960992,0.16317958843657854,0.412109297455095,-0.13922306450594743,6.7173560944986495,0.9047619047619048,5,4,45.6,61.0
base,SMA100,2025,0.14793316886422891,0.19320700958363485,0.12038906530757007,1.3556630676272257,-0.08386411653813768,4.4656577109213655,0.7165775401069518,2,1,67.0,67.0
base,SMA150,2012,0.018195334943344355,0.026471110157412412,0.1290402616770078,-0.027347199988020182,-0.15562577041295553,10.0733847578653,0.768,7,7,27.428571428571427,6.0
base,SMA150,2013,0.3189568051419496,0.2837780582524904,0.1166402490715211,2.175733164774705,-0.058538235687235,1.3848479416325463,0.9642857142857143,2,1,121.5,121.5
base,SMA150,2014,0.1150920456399418,0.11779736310017014,0.13302891520362517,0.6599870634574457,-0.0805937554698436,3.2470852995074218,0.9523809523809523,3,2,80.0,70.0
base,SMA150,2015,-0.0035782027318168597,0.005056498015116734,0.13157614982197632,-0.18957464569857108,-0.09510401988435128,4.477050855113641,0.8055555555555556,4,3,50.75,36.5
base,SMA150,2016,0.06872448887261795,0.07098630642000775,0.09516155883498251,0.43070234369616806,-0.055054001121925315,2.056194170591598,0.6706349206349206,4,3,42.25,21.0
base,SMA150,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
base,SMA150,2018,0.05640520221587764,0.06845483257119254,0.1632832886255628,0.235509909770229,-0.13690526014444487,6.202849661332845,0.7569721115537849,3,3,63.333333333333336,62.0
base,SMA150,2019,0.08668814212253628,0.0922653746657501,0.1349653508726735,0.46134340601604734,-0.10983208538920251,4.5370317170679835,0.8055555555555556,6,5,33.833333333333336,31.5
base,SMA150,2020,0.12327146857485705,0.1403382986604183,0.22099447900915903,0.49928079269276854,-0.1831800399775176,12.889690309645257,0.8932806324110671,2,1,113.0,113.0
base,SMA150,2021,0.27419715702606173,0.2589816984349954,0.18218118217135468,1.2568899581495823,-0.10851539231447471,3.1514338595043148,1.0,1,0,252.0,252.0
base,SMA150,2022,-0.06912793032060949,-0.07020490825140785,0.05809745997052267,-1.7247726200465483,-0.08804614827089458,7.413380201376227,0.055776892430278883,2,2,7.0,7.0
base,SMA150,2023,0.3576620699141315,0.32181309862413027,0.16430527466802172,1.7760421825394088,-0.09045691468240284,3.7973335983272674,0.896,2,1,112.0,112.0
base,SMA150,2024,0.16083329095291066,0.16449166435587004,0.17506875336822858,0.7682219800411144,-0.13903074777691282,6.24275735349758,0.9682539682539683,3,2,81.33333333333333,77.0
