variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200]__x100_0_200_1",0.07504797493555483,0.07542069213579805,0.08221676654179946,0.519062815002501,-0.09854350809153183,4.061642507792198,1.446972160851716,9.0,0.046632124352331605,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07074444119587531,0.0707186123942038,0.07283246046332759,0.5171279381940721,-0.09016532871194195,3.5117007390646844,1.4173543184485384,21.0,0.10880829015544041,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.07731166254138104,0.07803768098036704,0.08817518618600845,0.5098173243807707,-0.11103471112817946,4.645251525212358,1.4628800389199466,18.0,0.09326424870466321,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.07707707225623178,0.07768586934906979,0.08859069251219602,0.4955108805135257,-0.11481679469699727,4.865171191674684,1.4660982777879967,6.0,0.031088082901554404,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07509371742586976,0.07572524733393901,0.08581317664822022,0.48985218753149523,-0.11186057906492226,4.460114313295797,1.4495693365818059,6.0,0.031088082901554404,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08138467058348038,0.08304431592010224,0.10172841229972944,0.48337251122860925,-0.1322840518175159,5.602218810267559,1.494162344904715,3.0,0.015544041450777202,strategy
sma200_3in_1out,0.08372103386660537,0.08578794954413402,0.10833095703295109,0.4818850860759935,-0.14952522054444145,6.398854084011008,1.5133394046624074,12.0,0.06217616580310881,strategy
"set_[100, 200]__x100_1_200_1",0.08129259811235322,0.08293064454540086,0.10197328795337196,0.479700604798063,-0.12898822203645618,5.464650466281507,1.4948863819578941,6.0,0.031088082901554404,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08110845608638913,0.08269250428880498,0.10278717015323759,0.4673473519028746,-0.1357332623564385,5.807396584982122,1.498198672160561,6.0,0.031088082901554404,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.0658547535578038,0.06622026374406204,0.07303347653812352,0.459978213520238,-0.08712589498149916,3.5579870757859235,1.3828776348814518,1.0,0.0051813471502590676,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.06548876821883848,0.06585449733133636,0.07309672801679647,0.4517168272298961,-0.09125845262723757,3.80995161450416,1.3821575385377005,0.0,0.0,strategy
sma100_3in_0out,0.06440823796276125,0.0650534347274621,0.07599773616868831,0.44453374917832966,-0.0932302392495648,3.9074028709197215,1.3743524115694803,29.0,0.15025906735751296,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.06983407097433302,0.07086113227107158,0.08571004039336516,0.4359177331593267,-0.11360332502944775,4.854341536527892,1.413206676810881,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.07003360098419491,0.07122689868379724,0.08732992437541913,0.4343629831164264,-0.1064924654097981,4.376000490339709,1.4131851777028175,2.0,0.010362694300518135,strategy
sma100_3in_1out,0.07777853438790133,0.08007333954666772,0.1059788759539062,0.4341381178699978,-0.13193356423546743,5.465138804986713,1.4714200253710503,34.0,0.17616580310880828,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.06522628965270175,0.06550268570003913,0.07367868862820759,0.43362966289961774,-0.09193567288143456,4.01256563221421,1.3843990049007717,25.0,0.12953367875647667,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06318323440957385,0.06354206368490835,0.0717938708123595,0.41879205799809877,-0.09370460141421676,3.8007771570264843,1.3689258798925608,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.058570372730548034,0.05853542874517314,0.060479583421084004,0.4179508236854976,-0.07882253358390234,2.9499256537962175,1.3371095661701216,8.0,0.04145077720207254,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.06953133464333265,0.07050932063977433,0.0870178422810336,0.4170838217634717,-0.11531288801315707,5.0089097094048896,1.4162005148298877,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.06372028322645398,0.06465586907185487,0.08039649079798789,0.3882277934752317,-0.10337656999490374,4.508928759510337,1.373643347223098,1.0,0.0051813471502590676,strategy
"set_[100, 200]__x100_0_200_0",0.05687564635337452,0.05714591666225207,0.06404709055196953,0.3827126800244939,-0.07975358172356319,3.1057992070452265,1.3264820934886736,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.05382517659574519,0.054037080095031366,0.059765621269088624,0.3685783129356228,-0.07178065575672035,3.0180456655866026,1.3048809997086201,1.0,0.0051813471502590676,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.05826769412359714,0.05904371503476658,0.07279691351904756,0.362667225719211,-0.08670913423283935,3.7035074466232603,1.3348055171241517,0.0,0.0,strategy
sma200_3in_0out,0.047870144978176266,0.04923839859704204,0.07574322664907139,0.21833563476271858,-0.1166839654859675,5.046722925944417,1.275133858092261,12.0,0.06217616580310881,strategy
baseline_buyhold,0.11579155407295852,0.12625743069831422,0.18750035438492155,0.5513135208586705,-0.2938287026750916,9.017778320795106,1.7868438713124508,,,baseline
