variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 221]__x100_0_200_1_221_0",0.0899581968196786,0.0890859266338479,0.08049630256066818,0.708522174622647,-0.10705463575207028,4.0311657717615645,2.507775906763515,167.0,0.34575569358178054,strategy
"set_[100, 200]__x100_0_200_1",0.09512907224229993,0.09476867344899978,0.09073013689547989,0.6960089871501796,-0.10496609995960235,4.363095506633374,2.688460834769172,139.0,0.28778467908902694,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.09972750495584694,0.09927739144571078,0.09618058555753403,0.6927953577661953,-0.13142163216273992,5.207120134949061,2.7369949579472395,57.0,0.11801242236024845,strategy
sma200_3in_1out,0.11436790296136842,0.11500733918510048,0.11987498661531969,0.6893615351371494,-0.1607343393883941,6.8606266978845305,3.2402513250432543,24.0,0.049689440993788817,strategy
"set_[100, 200]__x100_1_200_1",0.10955739449746955,0.1100558706667941,0.11354446549301497,0.6839417275387125,-0.14124680756436453,5.73791698978004,3.0568002822841005,29.0,0.060041407867494824,strategy
"set_[100, 200, 221]__x100_0_200_1_221_1",0.09849235869158326,0.09854102968216442,0.09868354187960669,0.6756785202484943,-0.13448309790652113,5.298803920689052,2.7680533611814964,6.0,0.012422360248447204,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.10798405618335195,0.10873249449402732,0.11443942029264433,0.6672963455636491,-0.15800264255290228,6.253160134654393,3.0106739314953046,1.0,0.002070393374741201,strategy
sma100_3in_1out,0.10360139859657268,0.10510440214848772,0.11668477360678223,0.6246331888060144,-0.14167563427182114,5.569996354154786,2.852815082035385,34.0,0.07039337474120083,strategy
"set_[100, 200, 221]__x100_1_200_0_221_0",0.08152864800997012,0.08129572653319277,0.0801876029420552,0.6120858120978508,-0.11569329559530707,4.712059679271332,2.2638391117490833,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.09018371516624565,0.0907508295815093,0.09649510482928055,0.6072903864949772,-0.13299238845054315,5.6289778017286,2.4979691970920457,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_0_221_1",0.0803764187357537,0.08055936476964644,0.0827430807787574,0.5898562239016596,-0.11742582855894984,4.702239226224952,2.289636840614659,2.0,0.004140786749482402,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.07145727082826939,0.0711042617213299,0.06743073552255406,0.5803530620027865,-0.10171070120733645,3.556306426563898,2.0684771797989603,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.08253095042564097,0.0830833732980171,0.08938302521766876,0.5711342486877826,-0.11313854851481239,4.897602605024155,2.3041429760401093,3.0,0.006211180124223602,strategy
sma100_3in_0out,0.07384136501188206,0.07453000771289908,0.08241391603591161,0.5334788520517815,-0.11884055017594537,4.184196844106955,2.185521090761929,27.0,0.055900621118012424,strategy
"set_[100, 200]__x100_0_200_0",0.06741797280339286,0.06779617608022279,0.07301680280330765,0.4977969295514408,-0.11903901724586008,3.693139353125713,2.0137464605041497,6.0,0.012422360248447204,strategy
sma200_3in_0out,0.05944191024497023,0.06106234444754647,0.08387897213331853,0.3496620858550954,-0.14519863150074855,5.946557681406781,1.8302842637225825,1.0,0.002070393374741201,strategy
baseline_buyhold,0.14356082211086982,0.1538383964406738,0.20008804116547896,0.6245545106264595,-0.3552570218570691,10.78780789347017,4.602300756827456,,,baseline
