variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200]__x100_0_200_1",0.08072017764611333,0.08088016288862784,0.08296516542387934,0.599564895626017,-0.0958667373414193,3.56845245500666,1.4821169460467314,41.0,0.21243523316062177,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.07556013325069037,0.0752640792507501,0.07296618176959224,0.5931859040709078,-0.08902406576415717,3.322340356085749,1.4476293012333938,10.0,0.05181347150259067,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.08252214766940685,0.08303151032195187,0.08923130526208356,0.5696798603629465,-0.1106199138172132,4.285551404596387,1.4965522038840198,1.0,0.0051813471502590676,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07325309660131799,0.07321436178065358,0.07398393424148333,0.559285519812407,-0.08536651224217544,3.3109468202321772,1.4318872629606174,1.0,0.0051813471502590676,strategy
sma200_3in_1out,0.09134712095008353,0.09322855802554335,0.11111035904700844,0.5430151491508916,-0.1461798436573985,5.404849577126437,1.565211263586779,9.0,0.046632124352331605,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.07892843642052562,0.07978770578820456,0.08918347281065518,0.5387909438467037,-0.11527937322368208,4.448720071831188,1.4699196456527759,2.0,0.010362694300518135,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.07176904397530018,0.07174821212510661,0.07319816175876938,0.5385068250118192,-0.09138613432968457,3.5277872472194733,1.4227133035005621,1.0,0.0051813471502590676,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.06438923515102912,0.06398078105390485,0.060247114817829475,0.5293409210833159,-0.07170004766941249,2.7800853992845647,1.3734443737956064,8.0,0.04145077720207254,strategy
"set_[100, 200]__x100_0_200_0",0.06417748306383356,0.06395521559335998,0.06176559080309514,0.5279811901236368,-0.07504875926934845,2.6079632959485326,1.3701384159366279,0.0,0.0,strategy
sma100_3in_0out,0.06806080053972624,0.06853176775171235,0.07628355633481908,0.5120775744087197,-0.10211597286136341,3.3838736482583807,1.397407230781826,62.0,0.32124352331606215,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.07735367104208296,0.0779201561912366,0.08712558710075374,0.5118568249606429,-0.11318641965220466,4.481324818860222,1.4655030292204017,1.0,0.0051813471502590676,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08407137029019301,0.08568758726243836,0.10358448044025369,0.5029599635407542,-0.13515239040088806,5.510186529233153,1.51386808325232,1.0,0.0051813471502590676,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.06824364704700076,0.06850440759135931,0.0728209724883236,0.5023842790434535,-0.0936365256451955,3.6287909866464645,1.3975906350165004,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_1",0.08319189509894744,0.0848642782993576,0.10295245859536747,0.5008700240831401,-0.12990603320666544,5.192961675338536,1.5061146120271227,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.06213555783274963,0.06193106358380833,0.060727184398556594,0.4898064684213205,-0.07346532444523808,2.7529375599922075,1.3588634534821775,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07509201480689437,0.07587043872114008,0.08723948525062739,0.4874301131679662,-0.10442238007020099,4.320956967458815,1.449364414283154,3.0,0.015544041450777202,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08053567032138431,0.08244378272869106,0.10270189616893001,0.47981746443155543,-0.13828176632572392,5.502910026799681,1.486388407338506,6.0,0.031088082901554404,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.07356855921121354,0.07440428906559311,0.08794803504088282,0.4622680143179316,-0.11987192238283152,4.907142137548621,1.4423472869638143,6.0,0.031088082901554404,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.06642532410502,0.06663685799439135,0.07419400044788195,0.44655388417556663,-0.09473599771663067,3.926913412401041,1.3933865013101707,4.0,0.02072538860103627,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.07009945580316838,0.07116048453184583,0.08664701295956777,0.4359122793831389,-0.11931641907130829,4.896609834144141,1.4163470647731162,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.06720213277601615,0.06793933100408973,0.0816103457833594,0.42048321365888924,-0.11257511244270996,4.487350309374545,1.3991544653457324,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06421529463176177,0.06458714052429483,0.07374214932342303,0.41661930850963025,-0.09214024058365061,3.7239738731859973,1.3784466247963627,7.0,0.03626943005181347,strategy
sma100_3in_1out,0.07376622283704527,0.07649999857317186,0.10714619239683917,0.4005982347987077,-0.15224614283623333,6.294705939045673,1.4431980709596985,12.0,0.06217616580310881,strategy
sma200_3in_0out,0.05855282938341411,0.05937866343500762,0.07830902874964922,0.32904898569350705,-0.11838311690772026,4.672512545133631,1.3482823012072556,25.0,0.12953367875647667,strategy
baseline_buyhold,0.1169853862819439,0.12767384310970767,0.19125533709444079,0.5510244667675825,-0.31291499629264646,9.836440792043312,1.8085045221250287,,,baseline
