variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 250]__x100_0_200_0_250_1",0.0745246307841314,0.07463876966082551,0.08256668287463016,0.5058893956611142,-0.09189928031955522,3.7589182798222533,1.2460977657957386,5.0,0.025,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.0817718695512238,0.08269978811175555,0.09925899950819556,0.49480189822235465,-0.11335727976363992,4.689016238821971,1.2733819713092043,1.0,0.005,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.0735953469618012,0.0740941027380748,0.08685761120524188,0.4824752471274128,-0.10300676511440508,4.405348946089684,1.2431722486168035,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.07791668482224182,0.07885952205667204,0.09534864296710736,0.4795577918416391,-0.10849905295511832,4.672411596325377,1.258597267051985,1.0,0.005,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.07549893318019193,0.0759383764544004,0.08854949791348267,0.47657608199585527,-0.1057180747293849,4.357588912623548,1.2504883741711208,12.0,0.06,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.07815928479600538,0.07925918407755653,0.09744534793713583,0.4752901887467729,-0.10988040874640831,4.686701564742848,1.2599501367981665,1.0,0.005,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.0808825782627956,0.08215512118900482,0.10324491070966534,0.4748662505992964,-0.1234117119211397,5.300880994659474,1.2711460710908227,4.0,0.02,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.06801152066025132,0.06787735800347036,0.07359032902773575,0.47425848978788954,-0.08838195223435162,3.56335890971337,1.2232176536726653,20.0,0.1,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08520823377018032,0.08732020252848655,0.11437271585886599,0.4695252679168182,-0.13173647168074865,5.584561885844062,1.2873868719990011,3.0,0.015,strategy
sma200_3in_1out,0.08876491387929648,0.09126937290911107,0.12372687550974858,0.4646141452623912,-0.1523306772726476,6.1047116587335655,1.3041679853945243,32.0,0.16,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.07936444162702984,0.08055879087113141,0.10160021073560067,0.4615641189229321,-0.12263894803852025,5.26512581732883,1.2658615097588206,4.0,0.02,strategy
"set_[100, 200]__x100_0_200_0",0.06673076669487224,0.066767994380277,0.074558698122065,0.4612612837704067,-0.0872499342162169,3.626074502183373,1.2186866835876848,2.0,0.01,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.0720690581757864,0.07249777242020138,0.08581050331216761,0.4603350938873066,-0.10319522998156991,4.4125538512083455,1.2384046808300384,6.0,0.03,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.0704178406335647,0.07095183314038554,0.08335124692673654,0.4559371532398041,-0.09655963695427695,3.984884930783507,1.2313269413934402,1.0,0.005,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.07715457343813613,0.0787145171548058,0.10282384636170255,0.4517802699151492,-0.12284198844543866,5.3951393628747075,1.2575515679721647,3.0,0.015,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.08424337705529976,0.08677553560573584,0.11932778611191269,0.4506802821875027,-0.14414746833942005,6.277685333108689,1.2856592530492383,6.0,0.03,strategy
"set_[100, 200]__x100_1_200_1",0.08307397734083538,0.08579014368176856,0.11787734259101418,0.4464637496232271,-0.1368165824385246,6.035193758747949,1.2793562823237563,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.06285042680345175,0.06289081468945552,0.07055595077383356,0.43896065482882085,-0.08615083600001042,3.4087552635963045,1.2051092586820236,18.0,0.09,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07400884181511223,0.07557224755711656,0.09844685314357647,0.4319440197110549,-0.11428538675685447,4.931706091298865,1.2449286370116612,2.0,0.01,strategy
"set_[100, 200]__x100_1_200_0",0.07232939210656171,0.07369861600537352,0.0956663140060055,0.43161046174773743,-0.11048299727394062,4.914059612315669,1.239123118715773,2.0,0.01,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06663605550625348,0.06751122910618652,0.08475009110294991,0.4193403277245662,-0.10076939375407211,4.298314102893198,1.2185752793299398,0.0,0.0,strategy
sma200_3in_0out,0.0661834433763304,0.06708631755632098,0.0881878001884247,0.3989267049598629,-0.10847391578812,4.294226528147764,1.2193630126698485,35.0,0.175,strategy
sma100_3in_1out,0.07582145270701178,0.08031091445442605,0.1281121884328157,0.3750660609831716,-0.15038296826912334,7.050171972068264,1.2543913540558569,21.0,0.105,strategy
sma100_3in_0out,0.06487015993273842,0.06644967120423302,0.09224515411970519,0.3663324973854427,-0.11407385300832522,5.130630599934689,1.2129582314083338,21.0,0.105,strategy
baseline_buyhold,0.12118966371925129,0.13602667787710515,0.22492545512544393,0.5618332123890899,-0.29667999788939126,11.926840252941334,1.4532100839584496,,,baseline
