variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 221]__x100_0_200_0_221_1",0.10355604700855944,0.10291210311879533,0.09523418312755044,0.7586198735198533,-0.11511680175923963,4.508069347147703,3.2335198615046017,66.0,0.13441955193482688,strategy
"set_[100, 200]__x100_0_200_0",0.09085265885665113,0.09001791194737498,0.07977677653231433,0.7491948661269257,-0.12215382238120803,3.8138730258186526,2.780791954950916,69.0,0.14052953156822812,strategy
sma200_3in_0out,0.10386605341924947,0.10359539523509972,0.10070755320394797,0.7258834967631351,-0.15023673038209354,5.119163506827548,3.275506069881916,109.0,0.2219959266802444,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.11152762871956981,0.11188574191567502,0.11293083655322339,0.7168734469701816,-0.1339932826925806,5.486588808889989,3.4802679706455866,2.0,0.004073319755600814,strategy
sma200_3in_1out,0.13210997618843098,0.13367274106801572,0.14257380611784867,0.7150796192864375,-0.18435031395376164,7.094193103994141,4.374922233048833,145.0,0.2953156822810591,strategy
"set_[100, 200, 221]__x100_0_200_1_221_1",0.11222449589511581,0.11293788506310065,0.1165487110602216,0.7021705091029202,-0.1413149466028001,5.8870238962549895,3.5241141452763762,2.0,0.004073319755600814,strategy
"set_[100, 200]__x100_1_200_0",0.10313864179773218,0.10347837014269448,0.10522150423123826,0.6921307295424772,-0.13471043741532412,4.948046817272258,3.115433890517057,7.0,0.014256619144602852,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.08604613834143297,0.08566456391446745,0.08022723226692066,0.690640862431215,-0.12631478208321162,4.156261100748737,2.672042775909012,55.0,0.1120162932790224,strategy
"set_[100, 200]__x100_0_200_1",0.10458323208786839,0.10505658486383296,0.10743285015381211,0.6899265112129405,-0.12314290206761648,5.123793250889701,3.1882747042524695,5.0,0.010183299389002037,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.11999344136658661,0.12191152385998033,0.1334927485687045,0.6784319606710618,-0.164779211483532,6.739615991711474,3.7872221113540223,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_0_221_0",0.09432415246971937,0.09463820271134712,0.09613767496531313,0.6700534592039301,-0.13066769082650156,4.776505734797128,2.881968948252485,4.0,0.008146639511201629,strategy
"set_[100, 200]__x100_1_200_1",0.11642981289673024,0.11851704305915248,0.1322045601416113,0.659694412977822,-0.16129632614505196,6.420127895121801,3.56101083192527,2.0,0.004073319755600814,strategy
"set_[100, 200, 221]__x100_0_200_1_221_0",0.0952123076006177,0.09569034585877277,0.09867524067977078,0.65932253377156,-0.12486054077751776,4.791691542878234,2.925897595021409,5.0,0.010183299389002037,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.10329804836619629,0.10466398465565245,0.11441135935691622,0.6452445032967261,-0.1368570850523598,5.589305998858193,3.151778013327652,7.0,0.014256619144602852,strategy
sma100_3in_1out,0.09914153508139148,0.10336134505028924,0.13488292008640598,0.5377250073234308,-0.17006033456857816,6.991025296317855,2.8694106464153295,8.0,0.016293279022403257,strategy
sma100_3in_0out,0.07442336457284271,0.07644042865965021,0.09705333160999968,0.4770448491910524,-0.14145778652245902,5.426967673627733,2.2899470329130445,14.0,0.028513238289205704,strategy
baseline_buyhold,0.16392445001392408,0.1754593612449375,0.22187933321408734,0.6741970858461406,-0.3953671965880331,12.63543746228304,6.533046021125765,,,baseline
