variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 221]__x100_0_200_0_221_1",0.10279110379063147,0.10224932007419812,0.09575653376998337,0.7488123083436038,-0.11621645145172078,4.566561318018533,3.2780389768875557,91.0,0.18724279835390947,strategy
"set_[100, 200]__x100_0_200_0",0.08972063855622525,0.08901800697040697,0.08043433300630713,0.7330792780663885,-0.12430888491120144,3.9785104026997797,2.8062229406306782,66.0,0.13580246913580246,strategy
sma200_3in_0out,0.10275426015696604,0.10261941575409272,0.10135357305462957,0.712640599966202,-0.15237188811892222,5.240687627896834,3.317394426259166,89.0,0.1831275720164609,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.11090070120079215,0.11134790700887881,0.11350873693528447,0.709142167252498,-0.13526587450455468,5.562093015130046,3.540727928179137,3.0,0.006172839506172839,strategy
sma200_3in_1out,0.13071490944327596,0.132477759494599,0.14322501097793489,0.7038031628528222,-0.18594896802277203,7.1995773387766535,4.439537654714574,138.0,0.2839506172839506,strategy
"set_[100, 200, 221]__x100_0_200_1_221_1",0.11136998249430816,0.11220210132103355,0.1170133056406306,0.6935108728974788,-0.14262473542741538,5.95219205199322,3.575376826969687,4.0,0.00823045267489712,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.08597229617571091,0.08566030413613362,0.08098690179023335,0.6868304134923342,-0.12619955346334202,4.192648705970849,2.7184045210360424,60.0,0.12345679012345678,strategy
"set_[100, 200]__x100_1_200_0",0.10220905570658544,0.10266588737242802,0.10587098969824965,0.681249062895701,-0.13613280818569343,5.0668520423617505,3.1611219377159614,7.0,0.01440329218106996,strategy
"set_[100, 200]__x100_0_200_1",0.10331963307938724,0.10394717884066013,0.10787790433860553,0.6771885865943923,-0.12459900203487335,5.227785256084146,3.221550137639062,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.11927569055822382,0.12130068825571425,0.1340593185469863,0.6712614247935249,-0.16553147428565496,6.81920883705245,3.8552825310332777,4.0,0.00823045267489712,strategy
"set_[100, 200, 221]__x100_1_200_0_221_0",0.09439441055025855,0.09475889107081432,0.09687388194918506,0.6677687244360967,-0.13100412043415288,4.846509290052844,2.9428501039754114,3.0,0.006172839506172839,strategy
"set_[100, 200, 221]__x100_0_200_1_221_0",0.09507053716053732,0.09561308538296906,0.09913620505821448,0.6562052901270706,-0.1255768171982388,4.852893516537267,2.9801262563736834,2.0,0.00411522633744856,strategy
"set_[100, 200]__x100_1_200_1",0.11536591892053119,0.11759505924268114,0.13279071359598874,0.6499669824573049,-0.16176635749829563,6.540872185587249,3.616641800086822,2.0,0.00411522633744856,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.10329902259594409,0.10471167231764975,0.11494280903601431,0.6430835480023165,-0.13784771954477637,5.663643245438525,3.221636018359226,5.0,0.0102880658436214,strategy
sma100_3in_1out,0.098365400866301,0.10271235899076331,0.13557188602665693,0.5307682569628114,-0.17167333389189546,7.136650237050388,2.9141243834973616,9.0,0.018518518518518517,strategy
sma100_3in_0out,0.07327037268900079,0.07541659818672125,0.09754747772247968,0.4656786414989231,-0.14448405545854281,5.677679611852821,2.3003309636482636,14.0,0.02880658436213992,strategy
baseline_buyhold,0.16315961268393497,0.1750493247139247,0.2228864665586912,0.6666649837437071,-0.40178265612505093,12.51379709925706,6.706495742801882,,,baseline
