variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 150, 200]__x100_1_150_0_200_0",0.08643620395858514,0.08581837606081137,0.0848536351276623,0.6307706447601661,-0.08673143649703458,3.8157866167774044,1.287851510250936,5.0,0.05263157894736842,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.09409135669767064,0.09393893092106916,0.0987144527159071,0.623329255109915,-0.10475403491030097,4.553060987844632,1.3169638274579591,2.0,0.021052631578947368,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.08307534584045212,0.08279939112348844,0.08315707136291964,0.6183663260677802,-0.08880102217328549,3.3457188683524537,1.274451458819271,9.0,0.09473684210526316,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.0751350110264855,0.07467883626323064,0.07134954199791671,0.6156057903855436,-0.07972339830924507,2.844782912781255,1.2454631182719411,3.0,0.031578947368421054,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.09341538117759297,0.09339907803823953,0.09887376920806754,0.6151035196479102,-0.1040272029733425,4.490842410417539,1.3138457956634537,3.0,0.031578947368421054,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.08244654719027597,0.0822595382406588,0.08314305986853428,0.6036355055768008,-0.09193596049070217,3.38202051911886,1.2717330865738972,3.0,0.031578947368421054,strategy
sma200_3in_1out,0.10505459194490713,0.10547324754900643,0.11903096049390223,0.5930447698337488,-0.13637456486036753,6.034192494967746,1.362905146530992,1.0,0.010526315789473684,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.08222055767800962,0.08147100054833806,0.08217808118459362,0.5905383827971793,-0.0985235786593968,4.196910702818747,1.2747989793449093,14.0,0.14736842105263157,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.10045234524710002,0.10151963289849732,0.11623797454081901,0.5899874974946064,-0.12080666614386702,5.4171830480951915,1.3411912054967723,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.08990664991001494,0.08959155540859584,0.09537564963795077,0.5893248076578188,-0.1143205787179035,4.841075499592487,1.3034593401149015,3.0,0.031578947368421054,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.08978313033657184,0.0903800931009166,0.09953961572223986,0.5804668052177332,-0.10548398583995587,4.164509806345369,1.2990614859835892,3.0,0.031578947368421054,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07879899997238263,0.07845201561101511,0.08010679185775343,0.5719488529605588,-0.09699312738156808,3.6540526354432505,1.2605477063222255,9.0,0.09473684210526316,strategy
sma200_3in_0out,0.08196075635070724,0.08111158296823309,0.08348443478885031,0.5652432437856644,-0.10728608745820348,4.241545646201931,1.2755941853293713,31.0,0.3263157894736842,strategy
"set_[100, 200]__x100_1_200_0",0.0842367267386496,0.08417096468544676,0.09129470345450906,0.5632198295429529,-0.10566784803100578,4.7301210158704725,1.2814903510146871,1.0,0.010526315789473684,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.07082832900133477,0.07033146075075733,0.0691737649340343,0.5565510089162149,-0.08750008532312545,3.2008780122047296,1.232008748852516,3.0,0.031578947368421054,strategy
"set_[100, 200]__x100_1_200_1",0.095042677263967,0.09635179697583343,0.11534440492689219,0.5456082812728478,-0.12732251987858528,5.956129370270682,1.322632111162725,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.08497545559295608,0.08488875032284941,0.09411480149738896,0.5369716029826912,-0.11789905767896157,4.9401140818462785,1.2863009960640737,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.09204599590413552,0.09300930518310718,0.1115680358123617,0.5231499458095615,-0.13791545241354838,5.866717371879286,1.3135692423385552,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.0788322724915772,0.07964248727946234,0.0921542477662388,0.5075946570821176,-0.10624547667666175,4.186091286115189,1.2597001129021679,1.0,0.010526315789473684,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.07383077933242845,0.07374921052526867,0.0794736334349913,0.504790336440899,-0.10277388844280541,3.831569531065042,1.2435047515658282,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.08119610632302891,0.08186976538552646,0.09577403158316658,0.49782574039691674,-0.11713208951907539,4.67269074258092,1.2707053751812345,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.06737002475008995,0.06746165498907566,0.07188795628693255,0.4931672493236646,-0.0925538476876267,3.4046757141654704,1.2186764158877461,0.0,0.0,strategy
sma100_3in_1out,0.08408376199458129,0.08723034640266043,0.12181087990565022,0.46084766296666274,-0.13905220655207048,6.932599815129496,1.281678515467474,4.0,0.042105263157894736,strategy
sma100_3in_0out,0.05152933384915276,0.05381172700991825,0.08646944694674008,0.2732118020978023,-0.13210835460404696,5.157831914805201,1.1641513713563845,5.0,0.05263157894736842,strategy
baseline_buyhold,0.16467312122525612,0.17622177951608783,0.21956383707293659,0.686300778188198,-0.2684589725092807,7.7458345539411,1.5901203193750575,,,baseline
