variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 221]__x100_0_200_1_221_1",0.08733951445628713,0.08725469505951144,0.08505116521390708,0.6673679311645779,-0.10237819067617245,4.288837519442784,2.645099260105004,231.0,0.4733606557377049,strategy
"set_[100, 200]__x100_0_200_1",0.08280871211470521,0.08254606919843464,0.07834096870465028,0.6656932628501966,-0.08864041376315557,3.746963786242688,2.4938024753427106,43.0,0.08811475409836066,strategy
sma100_3in_0out,0.07362348243043361,0.07360607599421405,0.07231407165290235,0.600190320028376,-0.09583522800370294,3.065225470938381,2.243969262867166,90.0,0.18442622950819673,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.0887180366280946,0.08966344800778858,0.09854140884665409,0.5963897610147275,-0.12230659717830539,5.285246049653587,2.649006146340234,5.0,0.010245901639344262,strategy
"set_[100, 200, 221]__x100_0_200_0_221_1",0.07212543820556587,0.07216451958005679,0.07140447767433776,0.5885141725683288,-0.0848456196366568,3.3354312566638376,2.2256395791588663,6.0,0.012295081967213115,strategy
sma200_3in_1out,0.09005563283388673,0.09148606240265524,0.10443035038120121,0.582984208389303,-0.1554695198835815,6.0235412035500815,2.722860241656355,16.0,0.03278688524590164,strategy
"set_[100, 200, 221]__x100_0_200_1_221_0",0.07156148379759301,0.07157046643906548,0.07158127616527538,0.5752529856294314,-0.08761065908505905,3.535201812111237,2.156958171947706,27.0,0.055327868852459015,strategy
"set_[100, 200]__x100_1_200_1",0.08501161501452924,0.08615919862085036,0.09799851156463771,0.5632829801777813,-0.1215974663505687,5.479061699603461,2.5048706902377877,1.0,0.0020491803278688526,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.0737345358161848,0.07457327252833394,0.0839191914509954,0.5244551214638704,-0.09955535157491074,4.239694402667472,2.2351865936456092,1.0,0.0020491803278688526,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.07318639800460233,0.07397921938734263,0.08429905841691739,0.512284562056519,-0.11366689109163775,4.6538966927675,2.16907503021388,16.0,0.03278688524590164,strategy
sma100_3in_1out,0.07900142875344342,0.0808323348390455,0.1019236226351128,0.48804615717364974,-0.16334866730260517,6.5227349408983555,2.292962974670061,53.0,0.10860655737704918,strategy
"set_[100, 200]__x100_0_200_0",0.05966596901382578,0.05991080597925268,0.06274173838159426,0.47885809474346025,-0.08251818781486976,2.6131599505709424,1.9234301792901425,2.0,0.004098360655737705,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.05620223636152843,0.05648029095961083,0.0606516283974974,0.4427681130945197,-0.08394719626392645,2.6267255847588618,1.818452724483399,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.062376113488949565,0.0635239354016684,0.07876488330965237,0.419934293686526,-0.09758968811937302,4.094285773776421,1.9435287668607861,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_0_221_0",0.05804929371978982,0.05888904390788799,0.07161365375077801,0.40161610816654014,-0.09412251862179183,3.781457164280823,1.8332920354213094,1.0,0.0020491803278688526,strategy
sma200_3in_0out,0.04441501148033642,0.0462155359642913,0.07471008032131134,0.2188734719419498,-0.1068688732978719,4.1582690142887735,1.6336783759695228,6.0,0.012295081967213115,strategy
baseline_buyhold,0.11652319887329755,0.1272230420460119,0.1870422612388478,0.5360422817002107,-0.39073646150150004,10.089838470724182,3.739889753382857,,,baseline
