window,variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
2022-06-24_2025-10-01,"set_[100, 200]__x100_0_200_0",0.1354589912745845,0.13025960639400455,0.07995873418695801,1.2538918657664018,-0.08844855572579881,2.645539165184714,1.5126731322085216
2022-06-24_2025-10-01,"set_[100, 200]__x100_0_200_1",0.15506690747769136,0.1500910571182809,0.10853838985722356,1.1064385354919517,-0.11018635976233165,4.3569919019538,1.5994478781179156
2022-06-24_2025-10-01,"set_[100, 200]__x100_1_200_0",0.1750225684489939,0.16689242413930547,0.10545435049565147,1.2981202150114273,-0.09562376087240787,3.006304023185498,1.691243337036889
2022-06-24_2025-10-01,"set_[100, 200]__x100_1_200_1",0.19463466717848266,0.18672387486358183,0.13282497710944863,1.179927738549056,-0.12150836771169825,4.143626507745443,1.7849542765243935
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_0",0.11554645438297695,0.11209546754513795,0.07387475477890916,1.1112790531871353,-0.10564066301865371,3.0737956351799425,1.4279459921272877
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_0_221_1",0.15493551159275754,0.1485316882357252,0.09433475883568518,1.2565006758769257,-0.09400340569447041,3.2074466399448083,1.5988551827201205
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_0",0.12794602283907008,0.12531643469465556,0.098837760377502,0.964372668204975,-0.12288812575091694,4.4179582757702995,1.480307766559481
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_0_200_1_221_1",0.16767363799057478,0.1617526553852428,0.11565991779343651,1.1391384145763204,-0.11707418569795783,4.377580027666095,1.6570251216287564
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_0",0.14172340453355248,0.13651734604200522,0.08883578017126084,1.1990365350161527,-0.0814156539875858,2.819202195250829,1.5400320891341563
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_0_221_1",0.18128145135888096,0.17295356673259255,0.11227339983038993,1.273263007520488,-0.1090320330912089,3.378116264974271,1.7207696332807707
2022-06-24_2025-10-01,"set_[100, 200, 221]__x100_1_200_1_221_0",0.1541224349440511,0.1497383131915228,0.11272762666193299,1.0621913787878698,-0.10442857533469511,4.031245013585708,1.595190973289868
