variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200, 221]__x100_0_200_0_221_1",0.1056494590968513,0.10507808877618934,0.09674001611605339,0.7724436112833564,-0.11764475982298855,4.329235950770994,3.3553223845975073,6.0,0.3157894736842105,strategy
"set_[100, 200]__x100_0_200_0",0.09088764354450068,0.09014495537208277,0.07959426656547697,0.7557765778344894,-0.12641742433970524,3.6629693972247304,2.8471782870415105,2.0,0.10526315789473684,strategy
sma200_3in_0out,0.1066235112607367,0.10656078656353245,0.10299116736238716,0.7426399949666419,-0.15384368601749898,5.005760330364381,3.3815441442186294,3.0,0.15789473684210525,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.11395283640275124,0.1144530673642593,0.11478733046659084,0.7301668250961327,-0.13598242428308457,5.348806263218288,3.6405374323918958,0.0,0.0,strategy
sma200_3in_1out,0.13572344592904698,0.137529146079512,0.14610219473935757,0.7238335287188239,-0.19145274694683442,7.143219666249192,4.672093815350823,7.0,0.3684210526315789,strategy
"set_[100, 200, 221]__x100_0_200_1_221_1",0.11451761156884452,0.11540087528151584,0.1190202708396446,0.7097401303261764,-0.14485089630810025,5.767415819594198,3.6987058063343063,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.10365777759830257,0.10420742325418772,0.10579895866664216,0.6978129236136432,-0.1391424671033559,4.7995844198233355,3.228496915930217,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.08658328560699835,0.08634071183593726,0.08132094413728756,0.6918482740595037,-0.1316552641201114,4.079939316643284,2.7361835527386846,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.12264519582408821,0.12477585386958581,0.13596669207388892,0.6881103345126661,-0.1710855927306105,6.700983197234413,4.008648828157624,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.10494647387969883,0.10562913513007255,0.10878458678716445,0.68767061391642,-0.12470337889792833,4.901817116158157,3.3209040253957567,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_0_221_0",0.09517305495119048,0.09571569042400722,0.09797193189930514,0.6676995937713337,-0.1381579487504759,4.723678399166106,2.978120445450599,1.0,0.05263157894736842,strategy
"set_[100, 200]__x100_1_200_1",0.11734016732973208,0.11969160301217749,0.13349061594406555,0.6625190030729463,-0.167466915642184,6.3289954603945295,3.757635741631509,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_1_221_0",0.09602984297829757,0.0966634983412638,0.10015661853605816,0.6600584773283246,-0.12524916008854226,4.647695491076469,3.0322039782222814,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.1044561581612204,0.10603847692933373,0.11626389914360806,0.646387328358261,-0.13832888212447325,5.489931137647353,3.2973973316957172,0.0,0.0,strategy
sma100_3in_1out,0.09745599572588146,0.10185405994484298,0.13353318412736528,0.5325964193317239,-0.17203245858032906,6.889991927935296,2.980134705929217,0.0,0.0,strategy
sma100_3in_0out,0.07153708298816096,0.07372912418063311,0.09613338619470199,0.4555278790589401,-0.13956656795581762,5.365886974020907,2.30259430640873,0.0,0.0,strategy
baseline_buyhold,0.17783008565984532,0.18639310934821562,0.2143338772471699,0.7402700250828321,-0.3834079885953417,10.217868109114072,6.999083102932502,,,baseline
