variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
"set_[100, 200]__x100_0_200_0",0.1025045474563429,0.10096722387469917,0.08300416399507834,0.8602268545608283,-0.11750581236936763,3.8757182078572976,2.5908158293796744,2.0,0.2,strategy
"set_[100, 200, 221]__x100_0_200_0_221_1",0.11410849776489626,0.1126630567102603,0.09761084374137331,0.8467334902231831,-0.11524405815277779,4.489471554675128,2.8777261846161926,1.0,0.1,strategy
sma200_3in_0out,0.11507803632795954,0.1140035967195685,0.10270255498962069,0.8193339616200956,-0.14746576041334297,4.9284844274103135,2.8915603246872954,2.0,0.2,strategy
"set_[100, 200, 221]__x100_1_200_0_221_1",0.12242597286613133,0.12178591748626491,0.11553740642427153,0.7908791052002121,-0.13522050827462045,5.418364547378978,3.0094963128556036,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_0_221_0",0.09538873625454188,0.09455517778863158,0.08289910699592998,0.7858900676371156,-0.1209995509280832,4.2476675920203375,2.559035465087141,3.0,0.3,strategy
"set_[100, 200]__x100_1_200_0",0.11528192125679719,0.114651515038706,0.1084279133450643,0.7797616071059494,-0.1337378598802307,4.957091869898168,2.7819832513276994,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_1_221_1",0.12047039572332094,0.12045321258329429,0.11862709649912154,0.756628879794564,-0.14196787238355757,5.976365035974858,2.994467815210689,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_0_221_0",0.10393858138276335,0.10367803856463616,0.09853551949788769,0.7556162073145658,-0.12505823323645238,4.793938187171013,2.679257725498453,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.11277309332399632,0.1126524576842501,0.11004754841066704,0.7455401433621958,-0.125272640905722,5.4056807180634445,2.772693538968733,0.0,0.0,strategy
sma200_3in_1out,0.136522254934645,0.13737406433867036,0.14465471248280987,0.7325053160323657,-0.18153162617758295,7.082831523719959,3.358510553874683,2.0,0.2,strategy
"set_[100, 200, 221]__x100_1_200_1_221_1",0.12859692344747764,0.12957607335929885,0.13607605131489267,0.7249877410019485,-0.16067628476064172,6.720767598738879,3.1312836550389376,0.0,0.0,strategy
"set_[100, 200, 221]__x100_0_200_1_221_0",0.10219757413434234,0.10234533366166554,0.1008088312828869,0.7167764947553767,-0.12718163582739206,4.940847085850775,2.6750422286683744,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_1",0.12513412728716744,0.12633674884825696,0.1354712517090112,0.7047894631486092,-0.15724606068958719,6.551563574556075,2.9762520198103415,0.0,0.0,strategy
"set_[100, 200, 221]__x100_1_200_1_221_0",0.11056209253207583,0.11146819443767012,0.11662755926886237,0.6964435475311125,-0.13634374133009383,5.659197827329244,2.799484280828518,0.0,0.0,strategy
sma100_3in_1out,0.11182426370389664,0.11529943335784354,0.1400019836636955,0.609264292388539,-0.17419137725215234,7.052860632827075,2.596195058396884,0.0,0.0,strategy
sma100_3in_0out,0.0863784907023127,0.08793085102982981,0.10097137073240645,0.5713118473745198,-0.14417623695613369,5.3879780617483055,2.246671457052867,0.0,0.0,strategy
baseline_buyhold,0.15114576723451956,0.16607034254572392,0.23371819325925425,0.5943326503978776,-0.4131347886961853,14.06859065130221,4.609811913682689,,,baseline
