variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,group
"set_[100, 200]__x100_0_200_1",0.07403927841125597,0.07444764037945133,0.08191508291297599,0.5108206213826127,0.8842288474264726,-0.09865674246281055,4.032481898661673,1.4404422251839772,0.4404422251839772,3.0,0.0,0.006211180124223602,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.07590887315892048,0.07665771303291445,0.08755354642047176,0.4991660928777285,0.8495549030754209,-0.11129007352537505,4.624946786887717,1.4539412234648255,0.45394122346482546,15.0,0.0,0.031055900621118012,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.06892996747732744,0.06897717879921994,0.07229579467453685,0.49808424062732337,0.9240350643980589,-0.091504668795709,3.5225947642356337,1.4055503631933337,0.40555036319333354,24.0,7.0,0.049689440993788817,0.014492753623188406,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.07548188269287322,0.07615778810783223,0.08809927983410969,0.4831690456139784,0.8307649524210196,-0.11539788501382517,4.856513807521654,1.4553231298191256,0.45532312981912565,14.0,1.0,0.028985507246376812,0.002070393374741201,strategy
"set_[100, 200]__x100_1_200_1",0.08075810966436604,0.08238365341567634,0.10137643513765303,0.4796569820059488,0.782852271966314,-0.1289185435382553,5.332138290944356,1.4908072526263612,0.49080725262636116,14.0,0.0,0.028985507246376812,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.080303481906995,0.0819483883903978,0.10087655404552853,0.47851759726082166,0.7836110020907914,-0.1322059070763096,5.491116069476478,1.4867968667753435,0.4867968667753435,2.0,1.0,0.004140786749482402,0.002070393374741201,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07357387319027833,0.07426785415670328,0.08519012791592724,0.4782482505224156,0.8394280015549518,-0.11202930085800318,4.3897062526329504,1.4389620253771618,0.4389620253771619,2.0,2.0,0.004140786749482402,0.004140786749482402,strategy
sma200_3in_1out,0.08250090368148476,0.08459333006458801,0.10753640562211272,0.4771182748528608,0.762198137488051,-0.14933241976181166,6.2135775948199745,1.504135951286653,0.5041359512866529,7.0,31.0,0.014492753623188406,0.06418219461697723,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.07982148200523623,0.08144846346531556,0.10209424861339166,0.4609752692658604,0.7618949589900242,-0.13606128233542616,5.715571196737879,1.4886294499348651,0.48862944993486496,6.0,7.0,0.012422360248447204,0.014492753623188406,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.06492647415123506,0.06526821117145444,0.07256772973391878,0.44805235188368103,0.8723895674658734,-0.09256164159090965,3.8252012750878697,1.3788932565783034,0.37889325657830336,1.0,0.0,0.002070393374741201,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.06455905499874283,0.06493746211448063,0.07241712891036498,0.4472858440060639,0.8699797398480674,-0.08786721815187082,3.5695509988846523,1.375090997806391,0.375090997806391,1.0,0.0,0.002070393374741201,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.06958835853709607,0.07055888652893777,0.08500408977392446,0.4376196381430101,0.7994858605871201,-0.11379974290202896,4.770492139081224,1.4117398997845712,0.4117398997845711,1.0,1.0,0.002070393374741201,0.002070393374741201,strategy
sma100_3in_1out,0.07791053252660993,0.08017397676676466,0.10585394168205192,0.4375573004968697,0.7277388081456498,-0.13097165487089246,5.413101131457368,1.4724954306978304,0.47249543069783034,84.0,106.0,0.17391304347826086,0.2194616977225673,strategy
sma100_3in_0out,0.06361664454103132,0.06430195069431464,0.0761362898810553,0.43300549095657787,0.8340760768906422,-0.09525856721202247,4.030283574506504,1.3697661547299036,0.36976615472990354,15.0,3.0,0.031055900621118012,0.006211180124223602,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.06904084742646624,0.07022813747196398,0.08660040713387362,0.4285820934089186,0.783639503876271,-0.10612219313187958,4.3178628386313385,1.4067536304829038,0.4067536304829039,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.06448247541524507,0.06476828624637221,0.07329279250616745,0.42835643491462555,0.8473940892828771,-0.09282369523987534,4.0198835371833646,1.3796588799769613,0.3796588799769613,58.0,0.0,0.12008281573498965,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.06909079286103653,0.07005896160385555,0.08648966327728423,0.41700592866083874,0.7718552454513732,-0.11542126430006665,4.928567700613578,1.412932026843242,0.4129320268432418,0.0,1.0,0.0,0.002070393374741201,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06251538798000608,0.06287835229524327,0.07129767451749172,0.4143878715565152,0.8471331744334085,-0.09263858606354992,3.727890865750515,1.3644847106097004,0.3644847106097004,3.0,0.0,0.006211180124223602,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.057612208392315026,0.05758767693775993,0.05997094568358131,0.4070593539496476,0.9275254616589743,-0.07863116463715127,2.9251591767065714,1.3312185732259436,0.3312185732259437,10.0,2.0,0.020703933747412008,0.004140786749482402,strategy
"set_[100, 200]__x100_1_200_0",0.06443184387279181,0.06529940062348631,0.08005365739105204,0.40007813625071864,0.7835395397247693,-0.10278776186374942,4.394074746054932,1.378007041965294,0.3780070419652941,5.0,0.0,0.010351966873706004,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.057123217808272175,0.05736338758726131,0.06383563349497906,0.38859975367603045,0.8749813249777105,-0.07980016014292618,3.0617293493436826,1.3279139536936952,0.32791395369369525,1.0,0.0,0.002070393374741201,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.05810679510147237,0.05883863561050397,0.07226039223591185,0.3644293919233028,0.7869371985455109,-0.08576406948374354,3.6526765405255213,1.3341015918257753,0.3341015918257753,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.05336575330272875,0.05354796025302062,0.05925573849682972,0.36421248279826035,0.8796089848467981,-0.07220626915397452,2.990595076402705,1.3025816611747827,0.30258166117478275,0.0,0.0,0.0,0.0,strategy
sma200_3in_0out,0.04912636901317486,0.050424824480207964,0.07525779038106203,0.23765146902576928,0.6446123699786753,-0.1143278886011752,4.858117436041922,1.281909212207339,0.28190921220733883,30.0,16.0,0.062111801242236024,0.033126293995859216,strategy
baseline_buyhold,0.11316124989633239,0.12411464497021235,0.1881284910769076,0.5389072767704666,0.7075295479226112,-0.294767242082353,9.335609365407231,1.7656865746396244,0.7656865746396245,,,,,baseline
