variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,group
"set_[100, 200, 250]__x100_0_200_0_250_1",0.08495710195838245,0.08516958054088496,0.08876762832993317,0.614926812846122,0.9572842545830054,-0.10233998268771598,4.327443489007034,1.51352754114648,0.51352754114648,2.0,0.0,0.004210526315789474,0.0,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.08408445559396857,0.08444438060790854,0.0904451743141219,0.5965036008251183,0.9326707967253902,-0.1083413919171019,4.486881905997565,1.5095908642211735,0.5095908642211734,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.07587423435122943,0.07568685911457977,0.07567861910959435,0.5883255473617255,0.9909288764191185,-0.09172766871625573,3.760097328433057,1.450990324988768,0.4509903249887679,38.0,0.0,0.08,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.07466624048831619,0.07461472558959034,0.07654290012507048,0.5784512563504847,0.9757201597508506,-0.09773958306554101,3.8908143124301096,1.4429692095101783,0.4429692095101783,8.0,0.0,0.016842105263157894,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.092030486625817,0.09351668437438615,0.10777785273069102,0.5781835072618644,0.8603108176985884,-0.12959331606428964,5.579212820009425,1.5655634685793756,0.5655634685793755,7.0,3.0,0.014736842105263158,0.00631578947368421,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.09121431012542412,0.09279148444140972,0.10904128046149003,0.5634222706805001,0.8425019059106117,-0.1345246444693166,5.672907726020284,1.5634282973937814,0.5634282973937813,2.0,0.0,0.004210526315789474,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.08329657911907459,0.08403396294808095,0.09351496620118378,0.5615726931750572,0.8871883226576127,-0.11828983313316377,4.836852027776928,1.5039717379512645,0.5039717379512644,20.0,1.0,0.042105263157894736,0.002105263157894737,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.07139714215157046,0.0714645256582522,0.074339207528792,0.5605240029800338,0.9724898301108102,-0.09825952714891316,3.9708968072614224,1.420123869206816,0.42012386920681605,43.0,16.0,0.09052631578947369,0.03368421052631579,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.08802689135053166,0.08949110597107633,0.10484355410180782,0.5580711313623792,0.8486275646848697,-0.12343607690175076,5.411617431296588,1.538231362147561,0.538231362147561,0.0,0.0,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.08588942178749047,0.08713538133984211,0.10061430062399146,0.5572012210099507,0.8591497794314054,-0.11938207766015567,5.16365384569978,1.5212705798377415,0.5212705798377416,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.07908784993962845,0.07981162949175338,0.08890006425493424,0.5515677192937007,0.8941781204326603,-0.10704576734401193,4.5581271598639574,1.4719877537218637,0.47198775372186375,3.0,2.0,0.00631578947368421,0.004210526315789474,strategy
sma200_3in_1out,0.10196986667325598,0.10529716077378798,0.13340840078711239,0.5492337166657862,0.7776337820892157,-0.17263030885106756,7.237032644936523,1.6532873771467986,0.6532873771467986,49.0,36.0,0.1031578947368421,0.07578947368421053,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.07948711620306152,0.08000838454477115,0.08873467961985503,0.5477798059433401,0.890576009154071,-0.1098800628697701,4.677297069556892,1.479021576949301,0.47902157694930075,13.0,1.0,0.02736842105263158,0.002105263157894737,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.0870771111262922,0.08876590603809992,0.10728970709298283,0.5387459118257847,0.8228304520200397,-0.12998237010656608,5.582934246632554,1.5349726527349326,0.5349726527349327,2.0,0.0,0.004210526315789474,0.0,strategy
sma200_3in_0out,0.07938605736861175,0.08025584927328443,0.09444989248840616,0.5363299068028816,0.8600742590495154,-0.12976940316531413,5.127282634770065,1.4843131520413346,0.48431315204133474,71.0,2.0,0.14947368421052631,0.004210526315789474,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.09485933340286973,0.09783820980457751,0.12367527163349293,0.5344094871286402,0.7804762747276656,-0.15136513874590285,6.597084255799535,1.5907652399634784,0.5907652399634786,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.08667703891444016,0.08835548837827234,0.1069821367003191,0.5267023022851586,0.8110125563126345,-0.13957986141821008,5.871700580963816,1.5327174337438068,0.5327174337438068,15.0,20.0,0.031578947368421054,0.042105263157894736,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.09396612151449785,0.0971130098716011,0.12565153608800633,0.5193045548278636,0.7616787506049182,-0.1587617845408354,6.746805008222543,1.5893481957579878,0.5893481957579877,1.0,5.0,0.002105263157894737,0.010526315789473684,strategy
"set_[100, 200]__x100_1_200_0",0.07957056056625139,0.0810970137348774,0.09930799620274988,0.5077362149843312,0.8147146465734758,-0.1234654860635616,5.260562230322608,1.4797234070722156,0.4797234070722156,2.0,0.0,0.004210526315789474,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.07468700115483692,0.07578605108844357,0.09019657521678286,0.5043700064652733,0.8441046402586719,-0.11431373438537973,4.9276355061824795,1.444596686854914,0.44459668685491405,15.0,0.0,0.031578947368421054,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.08214503844300383,0.08413315492194476,0.10525727277418868,0.5015004585217462,0.791066573469668,-0.12639658248229485,5.649215205924746,1.497021596649001,0.4970215966490011,0.0,0.0,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_1",0.09026159667675106,0.09361766948512917,0.12401687896132015,0.49789693551593484,0.7432318885803304,-0.1540906522565679,6.701767839115198,1.5592357541845614,0.5592357541845613,0.0,0.0,0.0,0.0,strategy
sma100_3in_0out,0.06711385488459826,0.06897360190589624,0.09248303059173874,0.4207786587379278,0.7494993204133609,-0.1233711193585719,5.30754838804208,1.3919980938822485,0.39199809388224843,8.0,13.0,0.016842105263157894,0.02736842105263158,strategy
sma100_3in_1out,0.0769291750204795,0.0819381781964704,0.1287177627846943,0.3918824429294172,0.6285212071664151,-0.16439770324467973,7.3645118608286255,1.4655370166407073,0.4655370166407074,3.0,48.0,0.00631578947368421,0.10105263157894737,strategy
baseline_buyhold,0.14591505345853806,0.15728639080298062,0.21133993112160762,0.6481896288032523,0.7963408931430589,-0.3125861656488301,10.28750901969099,2.0547321887871774,1.0547321887871777,,,,,baseline
