variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,group
sma200_3in_1out,0.06228442524225306,0.06479026650226051,0.09763638324830673,0.31838717567330244,0.6343032760267351,-0.1395852324617113,5.598366988256169,1.3670968758068098,0.36709687580680983,0.0,1.0,0.0,0.2,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.061160368992884705,0.06313800572751826,0.0910113755079979,0.3180451653602655,0.6579482879202216,-0.12059469118750932,5.069051929232854,1.3590429977900413,0.3590429977900413,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.05498733903580244,0.05650525420838468,0.07911809334252864,0.30212473550334334,0.6923999217653172,-0.10306191210042621,4.242397294591074,1.312930976705936,0.312930976705936,0.0,0.0,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_1",0.05832369739775696,0.06057721091042323,0.09292896370796726,0.27648786618729454,0.6102172044702164,-0.12298217274286696,5.007874803747129,1.3434705933462427,0.3434705933462427,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.0532501454169191,0.05458290321147532,0.07742173527734338,0.26519127914676704,0.6652290578583478,-0.09850168161335054,3.9079656166281382,1.306492362850538,0.30649236285053805,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.05016321252100577,0.05177738911834597,0.07706895002733075,0.25008191814807784,0.6508649451009285,-0.10449005297843403,4.411521383935157,1.2828294015741797,0.2828294015741797,1.0,0.0,0.2,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.04903552609671018,0.05062808363172285,0.07554689172213398,0.242419551288637,0.6515442941775089,-0.0984572325560903,3.8890107832504777,1.2748101002923684,0.27481010029236846,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.04703644785709997,0.04795015169234173,0.0643686601068262,0.23977263902403606,0.7213740539518596,-0.07695583754988286,3.12125008669627,1.2619739911284102,0.26197399112841036,0.0,0.0,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.05489459056000734,0.05717834120839869,0.09351659671756399,0.2288120998815796,0.5601102850760991,-0.1368406540535681,5.5506592933072305,1.3274421538403307,0.3274421538403306,0.0,0.0,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.04395634695119295,0.04514463759921238,0.06591115741127523,0.21458633819666834,0.6849631554732877,-0.08793380828456313,3.6991353246407486,1.2427582232540493,0.24275822325404933,0.0,0.0,0.0,0.0,strategy
