variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.09005207339334095,0.09146917214808599,0.10664664930573796,0.5403330302829166,0.8284926750094272,-0.13538579726290853,5.079718413036131,1.556917531258081,0.556917531258081,48.0,29.0,0.48484848484848486,0.29292929292929293,48.0,0.48,-0.03404188200138471,29.0,0.29,-0.030800612735780636,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09061487108832084,0.09191450292357985,0.10695258581818066,0.5393056945440557,0.8263476379017642,-0.13461996071072974,5.2283972216427195,1.5640761379945127,0.5640761379945127,53.0,30.0,0.5353535353535354,0.30303030303030304,53.0,0.53,-0.03506921774024567,30.0,0.3,-0.030237815040800746,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08939043562806306,0.09087765138844056,0.10654741079159988,0.5347785784110394,0.8238799666681693,-0.13620038399460196,5.194286983021479,1.551889615939768,0.5518896159397678,51.0,28.0,0.5151515151515151,0.2828282828282828,51.0,0.51,-0.039596333873262016,28.0,0.28,-0.03146225050105851,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08949204579976958,0.0907339419293583,0.10606981938047301,0.5297235145984348,0.8192489389531338,-0.13168303979879975,5.326518380865553,1.5578989860870718,0.5578989860870718,53.0,32.0,0.5353535353535354,0.32323232323232326,53.0,0.53,-0.044651397685866574,32.0,0.32,-0.03136064032935201,strategy
sma100_3in_2out,0.09090258485422195,0.09247400461264554,0.11020667714385446,0.5283542568983649,0.8065695649285952,-0.12425730031047609,5.0875959293757225,1.5683017080271986,0.5683017080271986,49.0,34.0,0.494949494949495,0.3434343434343434,49.0,0.49,-0.04602065538593646,34.0,0.34,-0.02995010127489963,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08833599165292737,0.08969709039421898,0.10506551442008683,0.5279517354152148,0.8211589196801197,-0.1339948206764216,5.307626187983299,1.5460279169847198,0.5460279169847199,52.0,28.0,0.5252525252525253,0.2828282828282828,52.0,0.52,-0.04642317686908653,28.0,0.28,-0.032516694476194215,strategy
"set_[100, 200]__x100_2_200_1",0.08837875522518052,0.08969833065675367,0.10522698454189182,0.5261276792709558,0.8182958909659881,-0.13134320919379658,5.282137430468285,1.54768753529819,0.54768753529819,49.0,31.0,0.494949494949495,0.31313131313131315,49.0,0.49,-0.04824723301334552,31.0,0.31,-0.03247393090394106,strategy
sma150_3in_2out,0.09135860532570028,0.09280516447456755,0.1113701658260243,0.5213132639366713,0.7960530455453879,-0.1392794014324135,5.746518782965568,1.578057028675011,0.5780570286750112,53.0,31.0,0.5353535353535354,0.31313131313131315,53.0,0.53,-0.05306164834763006,31.0,0.31,-0.029494080803421304,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08739505588062474,0.08900015168972628,0.10599520443002483,0.52038580410536,0.8110577626151843,-0.13856203508801618,5.3941638648962105,1.5372904332295676,0.5372904332295677,46.0,27.0,0.46464646464646464,0.2727272727272727,46.0,0.46,-0.0539891081789414,27.0,0.27,-0.033457630248496836,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.0868690461600546,0.08836516834582003,0.10515725505631916,0.5170219595520639,0.8092365535305919,-0.13402486510894518,5.225179072536706,1.534890377407186,0.5348903774071859,48.0,26.0,0.48484848484848486,0.26262626262626265,48.0,0.48,-0.05735295273223752,26.0,0.26,-0.03398363996906698,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08565418538414882,0.08732831681068073,0.10476970295994148,0.5127086436487094,0.8070114006874052,-0.13508461517435033,5.182093053304155,1.5232394832396077,0.5232394832396076,43.0,27.0,0.43434343434343436,0.2727272727272727,43.0,0.43,-0.061666268635591936,27.0,0.27,-0.035198500744972765,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08632456123183845,0.08781959069550473,0.10464469656391769,0.5126075756585705,0.8070493467280387,-0.13658407103097123,5.49616293273957,1.5312835004374818,0.5312835004374818,46.0,27.0,0.46464646464646464,0.2727272727272727,46.0,0.46,-0.06176733662573076,27.0,0.27,-0.03452812489728314,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08697207423870941,0.0884304150097649,0.10596696982827915,0.5081382046545545,0.7981872747588165,-0.1397068217558502,5.56553935807667,1.5392239242416557,0.5392239242416556,47.0,31.0,0.47474747474747475,0.31313131313131315,47.0,0.47,-0.06623670762974684,31.0,0.31,-0.03388061189041218,strategy
