variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.08661569673035158,0.08808746728204907,0.1044878325286894,0.5183515673958139,0.8125724076014319,-0.12912342693356055,4.888285862735085,1.5320727314630451,0.532072731463045,42.0,23.0,0.42857142857142855,0.23469387755102042,42.0,0.42,-0.08779160746011785,23.0,0.23,-0.03714138636089314,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.08632333010956435,0.08783611331383562,0.10424328664292284,0.5172529634457426,0.8127315902370554,-0.12950356682851719,5.052696601826045,1.5291103317551853,0.5291103317551853,45.0,23.0,0.45918367346938777,0.23469387755102042,45.0,0.45,-0.08889021141018918,23.0,0.23,-0.037433752981680384,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.08671405055215844,0.08810051469065269,0.10478285178620324,0.5131413906280258,0.806227422383616,-0.12990190521531625,5.104097551952717,1.5360396234525298,0.5360396234525296,47.0,24.0,0.47959183673469385,0.24489795918367346,47.0,0.47,-0.09300178422790602,24.0,0.24,-0.03704303253908628,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.08510933232836022,0.08650911852193484,0.10278581965819625,0.5084904491050521,0.8082144702829077,-0.12878204398120774,5.225507997069623,1.5223231960817456,0.5223231960817456,45.0,23.0,0.45918367346938777,0.23469387755102042,45.0,0.45,-0.09765272575087963,23.0,0.23,-0.0386477507628845,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.08444065741129818,0.08605582271954909,0.10366713293936151,0.5033931786313451,0.8006072421072149,-0.13196739290637804,5.2265534523939445,1.5154876643696613,0.5154876643696613,40.0,21.0,0.40816326530612246,0.21428571428571427,40.0,0.4,-0.1027499962245866,21.0,0.21,-0.03931642567994655,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.08543901397859047,0.08677351989875196,0.10386444410279207,0.5019971311081589,0.7977836319837991,-0.1285425960977311,5.268347685071993,1.528937221023319,0.528937221023319,47.0,25.0,0.47959183673469385,0.25510204081632654,47.0,0.47,-0.10414604374777282,25.0,0.25,-0.03831806911265425,strategy
"set_[100, 200]__x100_2_200_1",0.08470955775338068,0.08609697509419795,0.10302671282070008,0.5017343144124485,0.8002721083136382,-0.12717472748817407,5.168654864388085,1.521345173268487,0.5213451732684872,44.0,23.0,0.4489795918367347,0.23469387755102042,44.0,0.44,-0.10440886044348324,23.0,0.23,-0.039047525337864056,strategy
sma200_3in_2out,0.08589706245194927,0.08820230164845994,0.11064227210370486,0.5010352870682576,0.7784466193490884,-0.15040320778646124,5.647747192450521,1.5237306389067813,0.5237306389067815,35.0,19.0,0.35714285714285715,0.19387755102040816,35.0,0.35,-0.10510788778767406,19.0,0.19,-0.037860020639295444,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08321119005803033,0.08472882792764834,0.10234017647743872,0.4936590370824797,0.7947721174089181,-0.1316413459053455,5.3977499927440125,1.5085615997217503,0.5085615997217502,44.0,23.0,0.4489795918367347,0.23469387755102042,44.0,0.44,-0.11248413777345201,23.0,0.23,-0.04054589303321438,strategy
sma100_3in_2out,0.08627145596496245,0.08797263291563821,0.10827888750312752,0.4934652003764894,0.7771809417399212,-0.12309600328782656,5.026052902992358,1.5363530433866626,0.5363530433866628,43.0,23.0,0.4387755102040816,0.23469387755102042,43.0,0.43,-0.11267797447944236,23.0,0.23,-0.037485627126282284,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.0821446321021001,0.08385996515548275,0.1023405876270084,0.4907478879655028,0.7920181190830086,-0.1288201452201283,5.065053967008929,1.4977503184113576,0.4977503184113577,41.0,21.0,0.41836734693877553,0.21428571428571427,41.0,0.41,-0.1153952868904289,21.0,0.21,-0.041612450989144616,strategy
sma150_3in_2out,0.0865554798667259,0.08812660950785997,0.10899222717386275,0.48855948859608206,0.7694775619663495,-0.13856888307999532,5.762559479727744,1.5436661667893272,0.5436661667893274,44.0,25.0,0.4489795918367347,0.25510204081632654,44.0,0.44,-0.11758368625984968,25.0,0.25,-0.03720160322451881,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.08252907884461096,0.08412436653229984,0.10283657704186741,0.4864375625016335,0.7853639325676336,-0.12956527101890924,5.149758670274882,1.50418176983941,0.50418176983941,42.0,20.0,0.42857142857142855,0.20408163265306123,42.0,0.42,-0.1197056123542983,20.0,0.2,-0.04122800424663376,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.08359238046337396,0.08507692377450268,0.10370913152241579,0.48622294746318223,0.7826951312098973,-0.13449699122701886,5.414804679233414,1.5152022521606554,0.5152022521606555,40.0,22.0,0.40816326530612246,0.22448979591836735,40.0,0.4,-0.11992022739274948,22.0,0.22,-0.04016470262787078,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.08091868310052734,0.08253297036358198,0.1010019369865307,0.4806041232545406,0.7859003039171409,-0.12838561942211094,5.26207193849926,1.4909320153503354,0.49093201535033515,42.0,22.0,0.42857142857142855,0.22448979591836735,42.0,0.42,-0.12553905160139117,22.0,0.22,-0.042838399990717396,strategy
