variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.1020734777894217,0.10266398363213149,0.10903156075212472,0.6331883424085369,0.9157901520651162,-0.12261945611516963,4.740400743966865,1.6469749914355416,0.6469749914355417,63.0,29.0,0.6363636363636364,0.29292929292929293,63.0,0.63,0.0392465888973128,29.0,0.29,-0.025093843357474745,strategy
"set_[100, 200]__x100_2_200_1",0.09808479764352442,0.09900919030431972,0.10799746473183586,0.6093567725626127,0.8947685589911765,-0.12462029863682667,4.8500235336486055,1.6145700720371614,0.6145700720371613,50.0,26.0,0.5050505050505051,0.26262626262626265,50.0,0.5,0.01541501905138866,26.0,0.26,-0.029082523503372038,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09955489456002782,0.1005471742292288,0.11003626530182896,0.6088606119027326,0.8887278638081925,-0.1310727204490885,5.081265190577939,1.6263376583339697,0.6263376583339698,53.0,27.0,0.5353535353535354,0.2727272727272727,53.0,0.53,0.01491885839150855,27.0,0.27,-0.02761242658686861,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09850637842778426,0.09933871272157122,0.10842011502295834,0.6033157726727247,0.8874654727821425,-0.12934858056673096,5.150806137290008,1.6210054673613152,0.621005467361315,54.0,28.0,0.5454545454545454,0.2828282828282828,54.0,0.54,0.009374019161500668,28.0,0.28,-0.02866094271911217,strategy
sma200_3in_2out,0.10353913244273646,0.10476978414008002,0.11710823975319246,0.6000584692464187,0.8642914147891765,-0.14425412955751768,5.244364463408392,1.6643781351456692,0.6643781351456692,58.0,32.0,0.5858585858585859,0.32323232323232326,58.0,0.58,0.006116715735194556,32.0,0.32,-0.023628188704159978,strategy
sma100_3in_2out,0.09916763441008242,0.10055818312418298,0.11301590191581752,0.5988589942255518,0.8700384396704102,-0.12144964294803952,4.846144759905417,1.6215545376384122,0.6215545376384121,50.0,25.0,0.5050505050505051,0.25252525252525254,50.0,0.5,0.00491724071432768,25.0,0.25,-0.027999686736814033,strategy
sma150_3in_3out,0.10465308965922782,0.10597839411293566,0.1199131274035585,0.5944538634317454,0.8513749209373703,-0.15461715760537353,5.938083688848833,1.6770115276902868,0.6770115276902869,55.0,30.0,0.5555555555555556,0.30303030303030304,55.0,0.55,0.0005121099205214163,30.0,0.3,-0.022514231487668623,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09689824160261434,0.09811064534402096,0.10931170508568823,0.5932384346349487,0.8750945571684672,-0.13175072315671335,5.149115056032838,1.6047293028063419,0.6047293028063419,47.0,25.0,0.47474747474747475,0.25252525252525254,47.0,0.47,-0.0007033188762753389,25.0,0.25,-0.0302690795442821,strategy
sma100_3in_3out,0.10141194190262746,0.10337035426141705,0.11961623254592783,0.588945373501347,0.8459409683946781,-0.14976388574850413,5.493312385719329,1.639427114375346,0.6394271143753458,40.0,25.0,0.40404040404040403,0.25252525252525254,40.0,0.4,-0.0049963800098770115,25.0,0.25,-0.02575537924426897,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09582486514805749,0.09690218383636334,0.10790515754007939,0.5862256840871236,0.8717725962287481,-0.1302959662246687,5.212391225460206,1.599171953049603,0.599171953049603,47.0,25.0,0.47474747474747475,0.25252525252525254,47.0,0.47,-0.007716069424100472,25.0,0.25,-0.03134245599883893,strategy
