variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.10272208321185668,0.10333608741229205,0.10958829153647566,0.6360812325446691,0.9173543344263377,-0.12388372697096083,4.7735694629363765,1.6512019873502957,0.6512019873502958,308.0,151.0,0.6497890295358649,0.31856540084388185,308.0,0.616,0.06050995187555138,151.0,0.302,-0.02213734467882402,strategy
"set_[100, 200]__x100_2_200_1",0.09919873359467608,0.1001110328795063,0.1086134380046479,0.6159276885767955,0.8998568432759684,-0.12549727151591206,4.851564216450089,1.622242624889853,0.622242624889853,268.0,146.0,0.5654008438818565,0.3080168776371308,268.0,0.536,0.04035640790767781,146.0,0.292,-0.0256606942960046,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09994683141944023,0.10095924689747698,0.11057378536292574,0.6084172502661256,0.8870931682957044,-0.1323669350846219,5.134381925292557,1.6294910431440373,0.6294910431440375,276.0,144.0,0.5822784810126582,0.3037974683544304,276.0,0.552,0.032845969597007904,144.0,0.288,-0.024912596471240462,strategy
sma200_3in_2out,0.10371795257071426,0.10502461261535553,0.11694543208889259,0.6066085492445475,0.8716544774975449,-0.14423741929204084,5.245423653118183,1.6624237399591075,0.6624237399591076,291.0,169.0,0.6139240506329114,0.35654008438818563,291.0,0.582,0.031037268575429836,169.0,0.338,-0.021141475319966428,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09925306470905089,0.10007609671424102,0.10893712963022388,0.6064067279865883,0.8894219767733572,-0.12982446612701726,5.16267288048269,1.626682529368995,0.6266825293689953,288.0,148.0,0.6075949367088608,0.31223628691983124,288.0,0.576,0.030835447317470576,148.0,0.296,-0.025606363181629795,strategy
sma100_3in_2out,0.1002576169755582,0.10164756220922859,0.11437124455542991,0.5994038973388324,0.8674061229207669,-0.12749192813026725,4.9846413153735405,1.6314174435526925,0.6314174435526926,258.0,145.0,0.5443037974683544,0.3059071729957806,258.0,0.516,0.02383261666971465,145.0,0.29,-0.024601810915122493,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09760222147858506,0.09880921054228647,0.1098923101691176,0.5951214653635641,0.8756754497087093,-0.13281264918414895,5.184633745708404,1.6102591999063438,0.6102591999063438,250.0,141.0,0.5274261603375527,0.2974683544303797,250.0,0.5,0.019550184694446388,141.0,0.282,-0.027257206412095628,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.0968832509222247,0.0979260603590505,0.10845679499354208,0.5917692076586312,0.8760895989325168,-0.1307338288330394,5.20764479631933,1.6071794773457184,0.6071794773457183,254.0,143.0,0.5358649789029536,0.30168776371308015,254.0,0.508,0.016197926989513497,143.0,0.286,-0.027976176968455987,strategy
sma150_3in_3out,0.10464839944834266,0.10602722799403963,0.12029856622936992,0.590978518051994,0.8472797567627297,-0.15515847314376924,6.0453125611786005,1.6767501354667875,0.6767501354667875,297.0,170.0,0.6265822784810127,0.35864978902953587,297.0,0.594,0.015407237382876315,170.0,0.34,-0.020211028442338026,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09633020261588711,0.09761441256705884,0.10930893818365056,0.5874131201989116,0.870426709555846,-0.13946997333191155,5.234530018632814,1.600858055218662,0.600858055218662,251.0,139.0,0.5295358649789029,0.29324894514767935,251.0,0.502,0.011841839529793802,139.0,0.278,-0.028529225274793582,strategy
