variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
"set_[100, 200]__x100_2_200_2",0.0994635887961955,0.10016961547411991,0.10815735800792903,0.6118211294568892,0.8969992105791216,-0.1231087837374146,4.826071094861241,1.6286864219909605,0.6286864219909605,311.0,171.0,0.6506276150627615,0.3577405857740586,311.0,0.622,0.06343118731101753,171.0,0.342,-0.01860396453677593,strategy
"set_[100, 200]__x100_2_200_1",0.09642790828311004,0.09737249875118491,0.10717160257078427,0.5947724856310371,0.8827333624788494,-0.12418024320296545,4.879996923774184,1.6038354773457508,0.6038354773457507,279.0,162.0,0.5836820083682008,0.3389121338912134,279.0,0.558,0.04638254348516547,162.0,0.324,-0.021639645049861392,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09696558667181748,0.09806525569652205,0.10915506267333985,0.5875633035527622,0.8700804990363727,-0.13028356613735517,5.157775991388608,1.608328474347562,0.6083284743475622,296.0,163.0,0.6192468619246861,0.3410041841004184,296.0,0.592,0.03917336140689055,163.0,0.326,-0.021101966661153958,strategy
sma200_3in_2out,0.10027731875256914,0.10162600126363432,0.11510646195405286,0.5839204804485896,0.853058342521981,-0.14355546091751586,5.33347923026751,1.6385218881603705,0.6385218881603705,301.0,182.0,0.6297071129707112,0.3807531380753138,301.0,0.602,0.03553053830271795,182.0,0.364,-0.017790234580402315,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.09599217962866277,0.09692341794543906,0.10755846144056218,0.5822218061370198,0.8690699616162443,-0.12967503618281068,5.232248901719167,1.6037645893197192,0.6037645893197192,298.0,165.0,0.6234309623430963,0.34518828451882844,298.0,0.596,0.03383186399114818,165.0,0.33,-0.022075373704308666,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.09494693014675475,0.0962005112145654,0.10846382769329331,0.576372938533224,0.8608476657518683,-0.13034416576827718,5.190215012694246,1.5918595396071644,0.5918595396071645,277.0,155.0,0.5794979079497908,0.32426778242677823,277.0,0.554,0.027982996387352375,155.0,0.31,-0.023120623186216698,strategy
sma100_3in_2out,0.09722308974363511,0.09871322968460551,0.11315650759385305,0.5760720991254238,0.8474391221046913,-0.126269670421947,4.9905006081438446,1.6105484046283163,0.6105484046283164,283.0,159.0,0.5920502092050209,0.33263598326359833,283.0,0.566,0.02768215697955207,159.0,0.318,-0.02084446358933632,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.09394878329904617,0.09505867346348239,0.10707399558150871,0.5696963963744952,0.8579089017661842,-0.13016142420336463,5.2599114937667455,1.5870559411339227,0.5870559411339227,281.0,160.0,0.5878661087866108,0.33472803347280333,281.0,0.562,0.021306454228623525,160.0,0.32,-0.024118770033925267,strategy
sma150_3in_3out,0.10088399437097295,0.10246561298756017,0.11887791841058169,0.5678580092305416,0.8273782713394665,-0.15440203902776858,6.145759624163972,1.6476161317866895,0.6476161317866896,291.0,183.0,0.608786610878661,0.38284518828451886,291.0,0.582,0.019468067084669954,183.0,0.366,-0.01718355896199848,strategy
sma200_3in_3out,0.09806847956734065,0.10003827379712697,0.11749087429997972,0.565675576919069,0.8290737778861285,-0.1559366826516269,5.786161848283194,1.6178689650364015,0.6178689650364015,269.0,175.0,0.5627615062761506,0.36610878661087864,269.0,0.538,0.01728563477319745,175.0,0.35,-0.019999073765630794,strategy
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09292830430921763,0.09432963415120173,0.10781124671449578,0.5636690296802009,0.8506096793682446,-0.13850130342993677,5.311295632350479,1.5765366304431105,0.5765366304431108,262.0,155.0,0.5481171548117155,0.32426778242677823,262.0,0.524,0.01527908753432932,155.0,0.31,-0.02513924902375382,strategy
sma100_3in_3out,0.0981774978668015,0.1003249695176253,0.11946113208989423,0.5590561586807632,0.8166950138379608,-0.15162695481856805,5.722280174362021,1.6184147308905017,0.6184147308905016,265.0,157.0,0.5543933054393305,0.3284518828451883,265.0,0.53,0.010666216534891589,157.0,0.314,-0.019890055466169947,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09197936097677946,0.09333044240604993,0.10686320848563594,0.5582656504798981,0.8476007719374525,-0.13521856917717237,5.425847265313233,1.570348191591706,0.5703481915917059,269.0,159.0,0.5627615062761506,0.33263598326359833,269.0,0.538,0.009875708334026484,159.0,0.318,-0.026088192356191985,strategy
sma200_3in_1out,0.09429688442555276,0.09603176781776432,0.11264338680656688,0.5548108166928024,0.8297561458389917,-0.14688310621761846,5.452604950083821,1.5895134560089987,0.5895134560089985,266.0,154.0,0.5564853556485355,0.32217573221757323,266.0,0.532,0.0064208745469307195,154.0,0.308,-0.023770668907418673,strategy
"set_[100, 200, 250]__x100_2_200_1_250_2",0.090957638765693,0.09246488966924507,0.10684038609607878,0.5538542863101124,0.8434037259148082,-0.140124276953621,5.335158559318153,1.5608166897112425,0.5608166897112424,251.0,148.0,0.5251046025104602,0.30962343096234307,251.0,0.502,0.005464344164240727,148.0,0.296,-0.02710991456727844,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.08997892903386916,0.09146569792409326,0.10612538339597845,0.5469668715405795,0.8384298411031513,-0.13696483280401806,5.456693440158312,1.5544638353128288,0.5544638353128288,252.0,150.0,0.5271966527196653,0.3138075313807531,252.0,0.504,-0.0014230706052920832,150.0,0.3,-0.028088624299102288,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.08956094300172279,0.0910825036941317,0.10711171684561717,0.532155430223411,0.8203507960576676,-0.13511184146995112,5.4115439487112,1.5545220894146143,0.5545220894146143,279.0,153.0,0.5836820083682008,0.3200836820083682,279.0,0.558,-0.016234511922460605,153.0,0.306,-0.028506610331248648,strategy
"set_[100, 200]__x100_1_200_2",0.0883139196459008,0.08969548747053438,0.10531577931116679,0.5264158466780903,0.8197472587458234,-0.12848552795377707,5.201373931889244,1.547230703839232,0.5472307038392318,276.0,153.0,0.5774058577405857,0.3200836820083682,276.0,0.552,-0.021974095467781365,153.0,0.306,-0.02975363368707065,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.08857432122466745,0.0899406659430487,0.10564573751523426,0.5251683436745067,0.8174344906237434,-0.13452772561029244,5.507954339983644,1.5499074709417688,0.549907470941769,281.0,160.0,0.5878661087866108,0.33472803347280333,281.0,0.562,-0.023221598471364957,160.0,0.32,-0.029493232108303995,strategy
sma150_3in_2out,0.09155683353487759,0.09385653614132634,0.11539547317985481,0.521736375676771,0.7887170332624092,-0.1642183127251448,6.486786712031783,1.5685026229373615,0.5685026229373616,263.0,143.0,0.5502092050209205,0.29916317991631797,263.0,0.526,-0.026653566469100633,143.0,0.286,-0.02651071979809384,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.08754123284613562,0.08921775921217504,0.10650945657237378,0.51993698727479,0.8098861784109953,-0.1352529831055486,5.442929287626064,1.5384088888129537,0.5384088888129535,254.0,147.0,0.5313807531380753,0.3075313807531381,254.0,0.508,-0.028452954871081692,147.0,0.294,-0.030526320486835828,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.0865302711375357,0.08807592146109204,0.10525751568868313,0.5117437338842283,0.8051026271248881,-0.13508880746069335,5.540178439983347,1.5335685350231236,0.5335685350231235,258.0,147.0,0.5397489539748954,0.3075313807531381,258.0,0.516,-0.03664620826164324,147.0,0.294,-0.031537282195435744,strategy
"set_[100, 200]__x100_1_200_1",0.08527637307241086,0.08689837074759937,0.10454091742131898,0.5071943442800025,0.8027511458553577,-0.12972058969491174,5.2439367416228855,1.523195233247414,0.5231952332474139,252.0,147.0,0.5271966527196653,0.3075313807531381,252.0,0.504,-0.04119559786586912,147.0,0.294,-0.032791180260560576,strategy
"set_[100, 200, 250]__x100_1_200_2_250_2",0.08554186188956646,0.08734688214881138,0.10581990112463185,0.5067873844631691,0.7994541519742486,-0.1402866840770226,5.468251598518249,1.5237221725980898,0.5237221725980897,245.0,146.0,0.5125523012552301,0.3054393305439331,245.0,0.49,-0.04160255768270258,146.0,0.292,-0.03252569144340498,strategy
sma150_3in_1out,0.08856645255420284,0.09043102288807733,0.11120866226951875,0.5005900704895905,0.7777374375319421,-0.16390446054477806,6.641307093114611,1.5532604335092302,0.5532604335092299,279.0,160.0,0.5836820083682008,0.33472803347280333,279.0,0.558,-0.04779987165628113,160.0,0.32,-0.029501100778768597,strategy
"set_[100, 200, 250]__x100_1_200_2_250_1",0.08459364961322374,0.08634769040365957,0.10491488396598736,0.500571246000123,0.7955720782139477,-0.13729410509066206,5.577413580351286,1.5177071335336847,0.5177071335336847,247.0,146.0,0.5167364016736402,0.3054393305439331,247.0,0.494,-0.04781869614574868,146.0,0.292,-0.0334739037197477,strategy
"set_[100, 200, 250]__x100_1_200_1_250_2",0.0835698926393991,0.08548213766685471,0.10493488743724956,0.49589722270296316,0.7909911777243965,-0.1419144307103247,5.48794099246271,1.508334841223869,0.5083348412238692,221.0,144.0,0.46234309623430964,0.301255230125523,221.0,0.442,-0.052492719442908446,144.0,0.288,-0.03449766069357235,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.0825921461384167,0.08448294592170291,0.10426825209537201,0.4882617359577957,0.7851675493597664,-0.1390093556572751,5.610348183003698,1.5021634267362802,0.5021634267362801,222.0,145.0,0.46443514644351463,0.303347280334728,222.0,0.444,-0.060128206188075996,145.0,0.29,-0.03547540719455475,strategy
sma250_3in_3out,0.08216774929460466,0.08586380461505294,0.11957587201158204,0.4405664653210914,0.7022366511760356,-0.18314626739133677,7.152511581388059,1.5021902237123075,0.5021902237123075,160.0,105.0,0.33472803347280333,0.2196652719665272,160.0,0.32,-0.10782347682478023,105.0,0.21,-0.03589980403836678,strategy
sma250_3in_2out,0.07885734912926298,0.08264967150536537,0.11666637689793212,0.4308371392870804,0.6982748386699182,-0.18172653022606927,6.8954044458757755,1.472800780956469,0.47280078095646894,177.0,131.0,0.3702928870292887,0.27405857740585776,177.0,0.354,-0.11755280285879127,131.0,0.262,-0.03921020420370846,strategy
sma250_3in_1out,0.07624868649087928,0.07965209626990995,0.1127160432352313,0.41551983571443085,0.6905969265258495,-0.1725230137669217,7.1302840746957665,1.4562273242446488,0.4562273242446489,185.0,135.0,0.38702928870292885,0.2824267782426778,185.0,0.37,-0.13287010643144084,135.0,0.27,-0.041818866842092156,strategy
sma100_3in_1out,0.07498566794122755,0.07776497367743444,0.10871977545726677,0.40146984880080255,0.684725816752838,-0.1508077891219253,6.293326852642391,1.4535358905468798,0.4535358905468796,205.0,138.0,0.42887029288702927,0.28870292887029286,205.0,0.41,-0.1469200933450691,138.0,0.276,-0.043081885391743895,strategy
baseline_buyhold,0.11806755333297145,0.12925252511841565,0.1930975024571336,0.5483899421458716,0.7124506387414009,-0.3093576011177869,9.806610939854622,1.8104941351800918,0.8104941351800921,,,,,,,,,,,baseline
