variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_2out,0.11656973928469044,0.11980278141959085,0.14125133405076848,0.622005687558493,0.8387187205816781,-0.18363207518866909,6.616589664194347,1.7590513290364953,0.7590513290364954,46.0,23.0,0.46464646464646464,0.23232323232323232,46.0,0.46,-0.05336828108737114,23.0,0.23,-0.038903157606061896,strategy
sma150_3in_3out,0.11573177395256674,0.11916451827493293,0.14488856112884102,0.5914696707051289,0.8028058785082959,-0.20809277296646767,7.4899113013402685,1.7679260573032787,0.7679260573032785,44.0,20.0,0.4444444444444444,0.20202020202020202,44.0,0.44,-0.08390429794073524,20.0,0.2,-0.03974112293818561,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.1062164829127977,0.10905454733910716,0.13118953978565273,0.5853721234643283,0.8174187490081707,-0.16569694521300296,6.474849398341985,1.6776911769232818,0.6776911769232818,39.0,22.0,0.3939393939393939,0.2222222222222222,39.0,0.39,-0.0900018451815358,22.0,0.22,-0.04925641397795464,strategy
sma250_3in_1out,0.10635506394316815,0.10982118882133456,0.13556737203994568,0.5738172013466408,0.7990351397256158,-0.16847481768766454,7.00351245600373,1.6782721789767954,0.6782721789767951,37.0,20.0,0.37373737373737376,0.20202020202020202,37.0,0.37,-0.1015567672992233,20.0,0.2,-0.0491178329475842,strategy
sma150_3in_1out,0.1069623192622699,0.11032809386890519,0.1363233669130863,0.5725391192997162,0.796395347411908,-0.18013580465049792,7.222662907309196,1.6873244254472397,0.6873244254472397,37.0,23.0,0.37373737373737376,0.23232323232323232,37.0,0.37,-0.10283484934614791,23.0,0.23,-0.04851057762848244,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.10291919290420841,0.10572734980635506,0.12842835223312665,0.5716469731817505,0.8087561862588334,-0.15641864984806395,6.636578235362431,1.6522114714233265,0.6522114714233266,37.0,21.0,0.37373737373737376,0.21212121212121213,37.0,0.37,-0.10372699546411358,21.0,0.21,-0.05255370398654394,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.1047641216729542,0.10798519393554543,0.13267761609070983,0.571065378393216,0.8007618589961005,-0.17690254111125703,6.612839075236089,1.6658040097858227,0.6658040097858227,39.0,20.0,0.3939393939393939,0.20202020202020202,39.0,0.39,-0.10430859025264808,20.0,0.2,-0.050708775217798145,strategy
sma200_3in_1out,0.10716772403439713,0.11034280162502386,0.1363399040987745,0.5691453069886258,0.7927764973188671,-0.17681296648615835,7.350098659090378,1.6948984056780247,0.6948984056780247,39.0,21.0,0.3939393939393939,0.21212121212121213,39.0,0.39,-0.10622866165723836,21.0,0.21,-0.048305172856355216,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.10297233240311215,0.10589631815554527,0.12980599299266335,0.5660410165265558,0.8006687096328136,-0.1619051033632811,6.731492308559937,1.6545727103961352,0.6545727103961352,39.0,23.0,0.3939393939393939,0.23232323232323232,39.0,0.39,-0.1093329521193083,23.0,0.23,-0.0525005644876402,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.10161674636669592,0.104597816013175,0.12864363854671987,0.5626481848674667,0.799478812008129,-0.16260304383309016,6.421425888430528,1.6418532047424659,0.641853204742466,39.0,21.0,0.3939393939393939,0.21212121212121213,39.0,0.39,-0.1127257837783974,21.0,0.21,-0.05385615052405642,strategy
